date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
05-01-2021,83.75,,,,,,,,45,,,actual
05-08-2021,84.0,,,,,,,,48,,,actual
05-15-2021,82.34,,,,,,,,28,,,actual
05-22-2021,82.34,21,19,22,81.83,82.5,21 [19 - 22],82.34% [81.83% - 82.5%],28,22,30,projected
05-29-2021,81.83,12,11,15,80.75,82.0,12 [11 - 15],81.83% [80.75% - 82.0%],22,9,24,projected
06-05-2021,81.08,7,7,10,80.5,82.34,7 [7 - 10],81.08% [80.5% - 82.34%],13,6,28,projected
06-12-2021,80.83,7,6,10,80.33,82.25,7 [6 - 10],80.83% [80.33% - 82.25%],10,4,27,projected
06-19-2021,81.0,7,6,10,80.17,82.25,7 [6 - 10],81.0% [80.17% - 82.25%],12,2,27,projected
06-26-2021,81.0,7,6,10,80.0,82.5,7 [6 - 10],81.0% [80.0% - 82.5%],12,0,30,projected
07-03-2021,81.0,7,6,10,80.0,82.92,7 [6 - 10],81.0% [80.0% - 82.92%],12,0,35,projected
