date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
04-24-2021,86.6,,,,,,,,232,,,actual
05-01-2021,85.52,,,,,,,,194,,,actual
05-08-2021,84.78,,,,,,,,168,,,actual
05-15-2021,84.98,130,124,135,84.3,85.47,130 [124 - 135],84.98% [84.3% - 85.47%],175,151,192,projected
05-22-2021,84.18,105,99,112,82.99,85.04,105 [99 - 112],84.18% [82.99% - 85.04%],147,105,177,projected
05-29-2021,83.33,76,71,85,82.11,84.7,76 [71 - 85],83.33% [82.11% - 84.7%],117,74,165,projected
06-05-2021,82.48,63,58,72,81.45,84.36,63 [58 - 72],82.48% [81.45% - 84.36%],87,51,153,projected
06-12-2021,82.05,56,51,64,81.08,83.96,56 [51 - 64],82.05% [81.08% - 83.96%],72,38,139,projected
06-19-2021,81.76,43,38,51,80.74,83.39,43 [38 - 51],81.76% [80.74% - 83.39%],62,26,119,projected
06-26-2021,81.45,34,29,41,80.48,82.99,34 [29 - 41],81.45% [80.48% - 82.99%],51,17,105,projected
