date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
04-17-2021,86.13,,,,,,,,118,,,actual
04-24-2021,86.86,,,,,,,,132,,,actual
05-01-2021,85.67,,,,,,,,109,,,actual
05-08-2021,85.35,90,85,109,84.78,87.22,90 [85 - 109],85.35% [84.78% - 87.22%],103,92,139,projected
05-15-2021,85.3,82,76,116,83.59,91.17,82 [76 - 116],85.3% [83.59% - 91.17%],102,69,215,projected
05-22-2021,84.89,74,68,128,82.86,96.48,74 [68 - 128],84.89% [82.86% - 96.48%],94,55,317,projected
05-29-2021,84.31,64,59,139,82.13,103.8,64 [59 - 139],84.31% [82.13% - 103.8%],83,41,458,projected
06-05-2021,84.0,67,62,142,82.08,113.78,67 [62 - 142],84.0% [82.08% - 113.78%],77,40,650,projected
06-12-2021,84.0,63,58,128,82.08,113.26,63 [58 - 128],84.0% [82.08% - 113.26%],77,40,640,projected
06-19-2021,83.69,60,54,110,81.92,107.65,60 [54 - 110],83.69% [81.92% - 107.65%],71,37,532,projected
