date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
01-16-2021,95.76,,,,,,,,2820,,,actual
01-23-2021,100.81,,,,,,,,3724,,,actual
01-30-2021,94.37,,,,,,,,2572,,,actual
02-06-2021,90.35,1717,1683,1754,89.98,90.73,1717 [1683 - 1754],90.35% [89.98% - 90.73%],1853,1787,1921,projected
02-13-2021,89.44,1517,1460,1579,88.38,90.53,1517 [1460 - 1579],89.44% [88.38% - 90.53%],1689,1500,1885,projected
02-20-2021,88.31,1351,1283,1426,86.41,90.47,1351 [1283 - 1426],88.31% [86.41% - 90.47%],1488,1148,1874,projected
02-27-2021,87.41,1182,1110,1272,84.98,90.13,1182 [1110 - 1272],87.41% [84.98% - 90.13%],1326,891,1813,projected
03-06-2021,86.44,998,923,1098,83.74,89.77,998 [923 - 1098],86.44% [83.74% - 89.77%],1153,670,1749,projected
03-13-2021,85.41,818,752,924,82.77,89.21,818 [752 - 924],85.41% [82.77% - 89.21%],969,495,1649,projected
03-20-2021,84.44,667,603,772,81.93,88.44,667 [603 - 772],84.44% [81.93% - 88.44%],794,346,1511,projected
