date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
01-16-2021,95.94,,,,,,,,658,,,actual
01-23-2021,96.66,,,,,,,,688,,,actual
01-30-2021,96.37,,,,,,,,676,,,actual
02-06-2021,89.76,334,327,342,89.32,90.08,334 [327 - 342],89.76% [89.32% - 90.08%],403,385,416,projected
02-13-2021,89.13,297,287,310,88.11,90.17,297 [287 - 310],89.13% [88.11% - 90.17%],377,335,420,projected
02-20-2021,88.16,263,251,279,86.37,90.17,263 [251 - 279],88.16% [86.37% - 90.17%],337,263,420,projected
02-27-2021,87.24,233,219,251,84.92,89.88,233 [219 - 251],87.24% [84.92% - 89.88%],299,203,408,projected
03-06-2021,86.39,198,184,218,83.75,89.64,198 [184 - 218],86.39% [83.75% - 89.64%],264,155,398,projected
03-13-2021,85.43,160,148,182,82.95,89.15,160 [148 - 182],85.43% [82.95% - 89.15%],224,122,378,projected
03-20-2021,84.34,129,117,149,82.03,88.36,129 [117 - 149],84.34% [82.03% - 88.36%],179,84,345,projected
