date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
01-30-2021,86.51,,,,,,,,78,,,actual
02-06-2021,84.59,,,,,,,,55,,,actual
02-13-2021,84.25,,,,,,,,51,,,actual
02-20-2021,83.0,20,19,21,82.84,83.09,20 [19 - 21],83.0% [82.84% - 83.09%],36,34,37,projected
02-27-2021,81.75,14,14,15,81.5,82.17,14 [14 - 15],81.75% [81.5% - 82.17%],21,18,26,projected
03-06-2021,81.33,14,13,14,81.17,81.42,14 [13 - 14],81.33% [81.17% - 81.42%],16,14,17,projected
03-13-2021,81.08,8,7,9,80.67,81.33,8 [7 - 9],81.08% [80.67% - 81.33%],13,8,16,projected
03-20-2021,80.75,7,6,8,80.33,81.08,7 [6 - 8],80.75% [80.33% - 81.08%],9,4,13,projected
03-27-2021,80.58,7,6,7,80.0,80.83,7 [6 - 7],80.58% [80.0% - 80.83%],7,0,10,projected
04-03-2021,80.33,5,4,6,80.0,80.67,5 [4 - 6],80.33% [80.0% - 80.67%],4,0,8,projected
