date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
12-05-2020,88.37,,,,,,,,280,,,actual
12-12-2020,88.9,,,,,,,,298,,,actual
12-19-2020,89.92,,,,,,,,332,,,actual
12-26-2020,87.86,232,228,238,87.05,88.78,232 [228 - 238],87.86% [87.05% - 88.78%],263,236,294,projected
01-02-2021,88.69,257,247,269,86.99,90.73,257 [247 - 269],88.69% [86.99% - 90.73%],291,234,359,projected
01-09-2021,89.32,275,261,294,86.51,92.88,275 [261 - 294],89.32% [86.51% - 92.88%],312,218,431,projected
01-16-2021,89.77,287,271,315,86.21,95.42,287 [271 - 315],89.77% [86.21% - 95.42%],327,208,516,projected
01-23-2021,90.43,307,288,343,86.21,98.05,307 [288 - 343],90.43% [86.21% - 98.05%],349,208,604,projected
01-30-2021,90.76,317,293,362,85.77,100.02,317 [293 - 362],90.76% [85.77% - 100.02%],360,193,670,projected
02-06-2021,90.76,313,286,366,85.44,100.65,313 [286 - 366],90.76% [85.44% - 100.65%],360,182,691,projected
