date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
01-23-2021,125.0,,,,,,,,1581,,,actual
01-30-2021,95.97,,,,,,,,561,,,actual
02-06-2021,92.89,,,,,,,,453,,,actual
02-13-2021,92.75,358,351,363,92.38,93.18,358 [351 - 363],92.75% [92.38% - 93.18%],448,435,463,projected
02-20-2021,91.47,301,291,311,90.39,92.47,301 [291 - 311],91.47% [90.39% - 92.47%],403,365,438,projected
02-27-2021,89.59,249,238,262,87.74,91.7,249 [238 - 262],89.59% [87.74% - 91.7%],337,272,411,projected
03-06-2021,88.06,203,193,219,85.84,90.79,203 [193 - 219],88.06% [85.84% - 90.79%],283,205,379,projected
03-13-2021,86.58,170,159,183,84.41,89.62,170 [159 - 183],86.58% [84.41% - 89.62%],231,155,338,projected
03-20-2021,85.47,137,126,150,83.07,88.31,137 [126 - 150],85.47% [83.07% - 88.31%],192,108,292,projected
03-27-2021,84.38,110,101,122,82.05,87.12,110 [101 - 122],84.38% [82.05% - 87.12%],154,72,250,projected
