date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
01-02-2021,96.06,,,,,,,,309,,,actual
01-09-2021,97.46,,,,,,,,336,,,actual
01-16-2021,96.63,,,,,,,,320,,,actual
01-23-2021,95.49,257,252,261,95.23,95.85,257 [252 - 261],95.49% [95.23% - 95.85%],298,293,305,projected
01-30-2021,95.18,253,243,261,93.83,96.74,253 [243 - 261],95.18% [93.83% - 96.74%],292,266,322,projected
02-06-2021,94.97,244,233,256,91.49,97.83,244 [233 - 256],94.97% [91.49% - 97.83%],288,221,343,projected
02-13-2021,94.4,215,203,232,89.93,98.97,215 [203 - 232],94.4% [89.93% - 98.97%],277,191,365,projected
02-20-2021,92.73,208,193,227,87.8,99.33,208 [193 - 227],92.73% [87.8% - 99.33%],245,150,372,projected
02-27-2021,92.32,192,174,215,86.44,99.85,192 [174 - 215],92.32% [86.44% - 99.85%],237,124,382,projected
03-06-2021,91.23,163,148,190,84.73,100.27,163 [148 - 190],91.23% [84.73% - 100.27%],216,91,390,projected
