date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
01-10-2021,82,79,82
01-11-2021,83,81,84
01-12-2021,83,81,84
01-13-2021,87,85,88
01-14-2021,109,106,111
01-15-2021,114,112,115
01-16-2021,115,114,116
01-17-2021,114,113,116
01-18-2021,109,107,111
01-19-2021,105,104,107
01-20-2021,101,100,102
01-21-2021,103,101,105
01-22-2021,104,102,108
01-23-2021,105,101,111
01-24-2021,107,102,114
01-25-2021,107,101,116
01-26-2021,109,100,118
01-27-2021,110,98,120
01-28-2021,111,98,123
01-29-2021,111,97,125
01-30-2021,111,97,128
01-31-2021,111,95,130
02-01-2021,112,93,133
02-02-2021,113,91,136
02-03-2021,114,90,139
02-04-2021,113,88,143
02-05-2021,113,88,146
02-06-2021,114,87,149
02-07-2021,115,85,151
02-08-2021,115,84,154
02-09-2021,116,82,157
02-10-2021,116,81,160
02-11-2021,117,80,162
02-12-2021,117,78,165
02-13-2021,118,77,168
02-14-2021,118,76,172
02-15-2021,119,74,175
02-16-2021,119,74,178
02-17-2021,118,73,180
02-18-2021,118,72,183
02-19-2021,118,70,187
02-20-2021,118,69,190
02-21-2021,118,68,193
02-22-2021,119,67,197
02-23-2021,118,66,200
02-24-2021,119,65,203
02-25-2021,119,65,206
02-26-2021,119,63,210
02-27-2021,119,63,212
02-28-2021,119,62,215
03-01-2021,119,61,217
03-02-2021,118,60,221
03-03-2021,118,58,223
03-04-2021,117,57,225
03-05-2021,117,57,227
03-06-2021,117,56,229
03-07-2021,118,55,231
03-08-2021,117,54,232
03-09-2021,116,53,234
03-10-2021,116,52,236
03-11-2021,116,51,237
03-12-2021,116,50,238
03-13-2021,116,49,238
