date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
01-17-2021,32,31,32
01-18-2021,29,28,31
01-19-2021,30,29,33
01-20-2021,30,30,31
01-21-2021,29,29,29
01-22-2021,29,29,29
01-23-2021,29,28,29
01-24-2021,28,28,28
01-25-2021,31,30,31
01-26-2021,29,27,31
01-27-2021,27,25,27
01-28-2021,26,25,28
01-29-2021,25,25,28
01-30-2021,26,25,27
01-31-2021,26,24,27
02-01-2021,25,23,26
02-02-2021,25,23,26
02-03-2021,24,23,26
02-04-2021,24,22,26
02-05-2021,24,22,26
02-06-2021,24,22,26
02-07-2021,23,21,26
02-08-2021,23,20,27
02-09-2021,23,19,28
02-10-2021,23,18,28
02-11-2021,22,17,28
02-12-2021,22,17,27
02-13-2021,22,16,27
02-14-2021,21,15,27
02-15-2021,21,15,27
02-16-2021,21,15,27
02-17-2021,21,14,27
02-18-2021,21,14,27
02-19-2021,20,12,27
02-20-2021,19,12,26
02-21-2021,19,12,26
02-22-2021,19,12,26
02-23-2021,18,11,26
02-24-2021,18,10,26
02-25-2021,18,10,26
02-26-2021,17,10,26
02-27-2021,17,10,26
02-28-2021,17,9,26
03-01-2021,17,9,27
03-02-2021,16,8,27
03-03-2021,16,8,27
03-04-2021,16,7,28
03-05-2021,16,7,28
03-06-2021,15,7,28
03-07-2021,15,7,28
03-08-2021,15,7,28
03-09-2021,15,7,28
03-10-2021,15,7,28
03-11-2021,15,6,28
03-12-2021,14,6,29
03-13-2021,14,6,29
03-14-2021,14,6,29
03-15-2021,14,6,29
03-16-2021,14,6,29
03-17-2021,14,6,29
03-18-2021,13,6,29
03-19-2021,13,6,29
03-20-2021,13,6,28
