date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
10-04-2020,12,11,13
10-05-2020,17,15,17
10-06-2020,16,14,16
10-07-2020,19,16,19
10-08-2020,17,13,17
10-09-2020,16,14,17
10-10-2020,16,14,17
10-11-2020,18,17,18
10-12-2020,18,15,18
10-13-2020,17,16,17
10-14-2020,17,15,17
10-15-2020,16,16,17
10-16-2020,16,16,18
10-17-2020,17,16,19
10-18-2020,18,16,20
10-19-2020,18,16,20
10-20-2020,18,16,22
10-21-2020,18,16,23
10-22-2020,19,16,24
10-23-2020,19,16,24
10-24-2020,19,17,25
10-25-2020,19,17,26
10-26-2020,18,16,27
10-27-2020,19,16,28
10-28-2020,19,16,29
10-29-2020,19,16,33
10-30-2020,21,16,34
10-31-2020,22,15,36
11-01-2020,22,15,37
11-02-2020,24,15,40
11-03-2020,25,16,43
11-04-2020,26,16,45
11-05-2020,26,15,47
11-06-2020,28,15,49
11-07-2020,28,15,50
11-08-2020,28,15,52
11-09-2020,28,16,56
11-10-2020,28,16,58
11-11-2020,28,16,62
11-12-2020,30,16,65
11-13-2020,30,16,66
11-14-2020,31,16,67
11-15-2020,31,16,68
11-16-2020,31,15,69
11-17-2020,31,15,72
11-18-2020,30,16,72
11-19-2020,31,14,74
11-20-2020,31,14,75
11-21-2020,31,14,74
11-22-2020,31,14,75
11-23-2020,31,14,76
11-24-2020,31,14,76
11-25-2020,31,14,78
11-26-2020,31,12,80
11-27-2020,32,12,85
11-28-2020,31,12,85
11-29-2020,35,12,91
11-30-2020,35,12,94
12-01-2020,34,13,97
12-02-2020,33,13,98
12-03-2020,33,14,105
12-04-2020,34,13,104
12-05-2020,35,13,109
