date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
10-18-2020,19,18,19
10-19-2020,18,17,18
10-20-2020,17,17,18
10-21-2020,16,16,17
10-22-2020,15,15,17
10-23-2020,16,15,16
10-24-2020,18,18,19
10-25-2020,19,18,20
10-26-2020,20,18,20
10-27-2020,21,20,22
10-28-2020,21,21,22
10-29-2020,21,21,22
10-30-2020,21,20,23
10-31-2020,20,20,24
11-01-2020,21,19,24
11-02-2020,21,19,23
11-03-2020,23,19,24
11-04-2020,23,19,24
11-05-2020,23,19,25
11-06-2020,23,16,25
11-07-2020,24,16,26
11-08-2020,23,16,26
11-09-2020,23,15,29
11-10-2020,23,14,29
11-11-2020,23,14,30
11-12-2020,23,14,30
11-13-2020,23,14,32
11-14-2020,22,14,33
11-15-2020,22,14,34
11-16-2020,22,15,36
11-17-2020,24,15,37
11-18-2020,24,15,39
11-19-2020,24,16,41
11-20-2020,24,15,42
11-21-2020,25,15,42
11-22-2020,27,15,43
11-23-2020,29,15,44
11-24-2020,29,15,46
11-25-2020,29,15,47
11-26-2020,29,15,49
11-27-2020,29,15,49
11-28-2020,29,15,50
11-29-2020,27,14,51
11-30-2020,28,14,54
12-01-2020,27,14,53
12-02-2020,27,14,54
12-03-2020,27,13,53
12-04-2020,27,13,55
12-05-2020,27,12,52
12-06-2020,27,12,53
12-07-2020,27,12,54
12-08-2020,26,13,54
12-09-2020,26,13,54
12-10-2020,26,13,54
12-11-2020,26,13,54
12-12-2020,26,13,56
12-13-2020,25,13,58
12-14-2020,26,13,58
12-15-2020,26,13,59
12-16-2020,26,13,60
12-17-2020,26,12,60
12-18-2020,26,12,60
12-19-2020,26,12,60
