date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
11-01-2020,37,37,38
11-02-2020,37,36,37
11-03-2020,36,36,36
11-04-2020,37,35,37
11-05-2020,35,34,35
11-06-2020,34,34,35
11-07-2020,34,32,35
11-08-2020,34,34,34
11-09-2020,35,35,35
11-10-2020,34,31,34
11-11-2020,29,29,29
11-12-2020,30,30,31
11-13-2020,30,30,32
11-14-2020,31,30,32
11-15-2020,31,30,34
11-16-2020,32,30,35
11-17-2020,32,30,35
11-18-2020,32,31,36
11-19-2020,32,31,37
11-20-2020,32,31,38
11-21-2020,32,31,38
11-22-2020,34,30,38
11-23-2020,34,29,41
11-24-2020,35,29,43
11-25-2020,35,29,43
11-26-2020,36,28,43
11-27-2020,35,25,47
11-28-2020,36,25,48
11-29-2020,34,25,48
11-30-2020,35,25,48
12-01-2020,34,25,50
12-02-2020,34,25,50
12-03-2020,34,23,49
12-04-2020,34,22,49
12-05-2020,34,20,48
12-06-2020,32,20,49
12-07-2020,32,19,49
12-08-2020,32,19,52
12-09-2020,32,19,52
12-10-2020,32,19,53
12-11-2020,32,19,52
12-12-2020,32,19,52
12-13-2020,32,18,53
12-14-2020,34,18,54
12-15-2020,34,18,54
12-16-2020,32,18,55
12-17-2020,31,17,55
12-18-2020,30,17,56
12-19-2020,30,17,56
12-20-2020,30,17,59
12-21-2020,30,17,59
12-22-2020,29,17,60
12-23-2020,29,16,61
12-24-2020,29,16,61
12-25-2020,29,16,64
12-26-2020,29,17,65
12-27-2020,29,16,67
12-28-2020,30,16,67
12-29-2020,30,16,69
12-30-2020,30,14,70
12-31-2020,31,13,70
01-01-2021,31,13,71
01-02-2021,31,11,72
