date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
11-29-2020,50,49,51
11-30-2020,49,48,49
12-01-2020,52,51,54
12-02-2020,51,50,51
12-03-2020,56,54,56
12-04-2020,64,62,65
12-05-2020,71,70,72
12-06-2020,76,75,77
12-07-2020,78,78,80
12-08-2020,81,80,82
12-09-2020,84,83,85
12-10-2020,89,87,91
12-11-2020,93,91,94
12-12-2020,96,95,98
12-13-2020,99,97,102
12-14-2020,103,99,108
12-15-2020,108,101,113
12-16-2020,112,104,120
12-17-2020,116,106,126
12-18-2020,121,109,132
12-19-2020,126,111,140
12-20-2020,130,115,148
12-21-2020,135,116,157
12-22-2020,140,118,163
12-23-2020,144,119,172
12-24-2020,151,120,184
12-25-2020,150,109,193
12-26-2020,156,110,203
12-27-2020,158,111,213
12-28-2020,162,113,225
12-29-2020,163,113,229
12-30-2020,168,115,240
12-31-2020,168,115,243
01-01-2021,173,116,255
01-02-2021,171,116,247
01-03-2021,177,116,257
01-04-2021,181,118,267
01-05-2021,184,118,276
01-06-2021,188,119,287
01-07-2021,191,119,298
01-08-2021,194,120,308
01-09-2021,198,119,316
01-10-2021,201,120,328
01-11-2021,204,120,338
01-12-2021,207,120,349
01-13-2021,211,119,360
01-14-2021,213,118,371
01-15-2021,216,119,381
01-16-2021,220,118,390
01-17-2021,222,118,401
01-18-2021,223,118,410
01-19-2021,226,117,420
01-20-2021,227,116,429
01-21-2021,227,116,439
01-22-2021,229,114,447
01-23-2021,230,113,459
01-24-2021,230,113,468
01-25-2021,230,111,476
01-26-2021,230,110,484
01-27-2021,230,109,493
01-28-2021,230,108,499
01-29-2021,230,107,505
01-30-2021,229,104,508
