date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
01-10-2021,16,16,17
01-11-2021,16,16,16
01-12-2021,15,15,15
01-13-2021,14,12,15
01-14-2021,13,13,14
01-15-2021,14,13,14
01-16-2021,14,14,14
01-17-2021,12,11,12
01-18-2021,11,11,12
01-19-2021,11,11,12
01-20-2021,11,11,12
01-21-2021,11,11,11
01-22-2021,11,10,11
01-23-2021,11,9,11
01-24-2021,10,9,11
01-25-2021,10,9,11
01-26-2021,10,9,11
01-27-2021,9,8,11
01-28-2021,9,8,11
01-29-2021,9,8,12
01-30-2021,9,8,12
01-31-2021,9,6,12
02-01-2021,9,6,12
02-02-2021,9,6,12
02-03-2021,9,6,12
02-04-2021,9,6,12
02-05-2021,8,6,12
02-06-2021,8,6,12
02-07-2021,8,6,12
02-08-2021,8,6,12
02-09-2021,8,6,12
02-10-2021,8,5,12
02-11-2021,8,5,11
02-12-2021,8,5,12
02-13-2021,8,4,12
02-14-2021,7,4,12
02-15-2021,7,4,12
02-16-2021,7,4,12
02-17-2021,7,4,12
02-18-2021,7,4,12
02-19-2021,7,4,12
02-20-2021,7,4,12
02-21-2021,7,4,12
02-22-2021,7,4,12
02-23-2021,7,4,12
02-24-2021,6,4,12
02-25-2021,6,4,12
02-26-2021,6,4,12
02-27-2021,6,4,13
02-28-2021,6,4,13
03-01-2021,6,4,13
03-02-2021,6,4,13
03-03-2021,6,4,14
03-04-2021,6,4,14
03-05-2021,6,4,14
03-06-2021,6,4,14
03-07-2021,6,4,15
03-08-2021,6,4,15
03-09-2021,6,4,15
03-10-2021,5,4,15
03-11-2021,5,4,16
03-12-2021,5,4,16
03-13-2021,5,3,16
