date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
02-07-2021,50,49,52
02-08-2021,50,50,51
02-09-2021,45,43,47
02-10-2021,43,40,44
02-11-2021,41,40,44
02-12-2021,41,40,43
02-13-2021,37,36,39
02-14-2021,37,36,39
02-15-2021,35,35,38
02-16-2021,33,32,33
02-17-2021,32,30,33
02-18-2021,30,29,32
02-19-2021,29,28,30
02-20-2021,28,27,31
02-21-2021,28,26,31
02-22-2021,27,26,31
02-23-2021,27,24,31
02-24-2021,26,24,30
02-25-2021,27,23,30
02-26-2021,26,22,30
02-27-2021,26,21,29
02-28-2021,25,20,29
03-01-2021,25,20,29
03-02-2021,24,19,29
03-03-2021,24,19,29
03-04-2021,24,18,29
03-05-2021,22,18,29
03-06-2021,22,17,29
03-07-2021,22,17,29
03-08-2021,21,17,29
03-09-2021,21,16,29
03-10-2021,21,16,28
03-11-2021,21,15,28
03-12-2021,20,14,28
03-13-2021,20,13,28
03-14-2021,19,13,28
03-15-2021,19,12,29
03-16-2021,19,11,29
03-17-2021,19,11,29
03-18-2021,19,11,29
03-19-2021,19,11,29
03-20-2021,18,10,29
03-21-2021,18,10,29
03-22-2021,18,9,29
03-23-2021,18,9,29
03-24-2021,17,9,29
03-25-2021,16,9,29
03-26-2021,16,9,29
03-27-2021,16,9,29
03-28-2021,15,8,30
03-29-2021,15,8,29
03-30-2021,14,8,29
03-31-2021,14,8,29
04-01-2021,14,8,29
04-02-2021,13,8,30
04-03-2021,13,8,30
04-04-2021,13,8,30
04-05-2021,13,8,31
04-06-2021,13,7,31
04-07-2021,13,7,31
04-08-2021,13,7,31
04-09-2021,12,6,31
04-10-2021,12,6,31
