date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
03-07-2021,13,12,15
03-08-2021,13,12,13
03-09-2021,13,11,13
03-10-2021,12,11,13
03-11-2021,13,12,15
03-12-2021,13,13,15
03-13-2021,13,13,13
03-14-2021,13,12,13
03-15-2021,13,13,14
03-16-2021,13,13,13
03-17-2021,14,12,14
03-18-2021,13,13,15
03-19-2021,14,13,15
03-20-2021,14,11,15
03-21-2021,15,12,16
03-22-2021,14,12,17
03-23-2021,15,12,17
03-24-2021,15,13,18
03-25-2021,15,12,19
03-26-2021,16,12,19
03-27-2021,16,12,20
03-28-2021,16,12,20
03-29-2021,17,13,21
03-30-2021,17,13,22
03-31-2021,17,13,22
04-01-2021,17,13,23
04-02-2021,18,13,24
04-03-2021,18,13,25
04-04-2021,19,13,26
04-05-2021,18,13,27
04-06-2021,19,13,28
04-07-2021,19,13,30
04-08-2021,19,13,30
04-09-2021,20,13,32
04-10-2021,20,13,33
04-11-2021,21,13,34
04-12-2021,20,14,36
04-13-2021,21,14,37
04-14-2021,22,13,38
04-15-2021,22,13,40
04-16-2021,22,13,42
04-17-2021,23,13,44
04-18-2021,23,13,45
04-19-2021,22,13,46
04-20-2021,22,12,48
04-21-2021,22,12,49
04-22-2021,23,11,50
04-23-2021,23,11,52
04-24-2021,23,10,52
04-25-2021,23,9,53
04-26-2021,23,9,52
04-27-2021,23,9,52
04-28-2021,22,8,52
04-29-2021,22,7,52
04-30-2021,21,7,52
05-01-2021,20,7,52
