date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
02-21-2021,37,35,39
02-22-2021,37,35,39
02-23-2021,39,37,40
02-24-2021,39,36,39
02-25-2021,36,35,40
02-26-2021,36,36,39
02-27-2021,37,35,38
02-28-2021,35,35,37
03-01-2021,34,33,35
03-02-2021,32,31,35
03-03-2021,33,31,34
03-04-2021,32,31,33
03-05-2021,31,29,33
03-06-2021,29,29,31
03-07-2021,29,28,33
03-08-2021,29,27,33
03-09-2021,29,26,32
03-10-2021,28,26,32
03-11-2021,28,25,32
03-12-2021,28,23,32
03-13-2021,27,21,32
03-14-2021,27,21,33
03-15-2021,27,21,33
03-16-2021,27,21,34
03-17-2021,27,21,35
03-18-2021,25,21,35
03-19-2021,25,20,35
03-20-2021,25,19,35
03-21-2021,25,19,35
03-22-2021,25,19,36
03-23-2021,25,19,36
03-24-2021,24,17,37
03-25-2021,24,17,37
03-26-2021,24,17,37
03-27-2021,24,17,37
03-28-2021,24,16,37
03-29-2021,23,16,37
03-30-2021,23,16,38
03-31-2021,22,16,39
04-01-2021,22,16,40
04-02-2021,21,15,41
04-03-2021,21,15,41
04-04-2021,21,15,42
04-05-2021,21,14,43
04-06-2021,21,13,44
04-07-2021,21,12,44
04-08-2021,22,11,45
04-09-2021,21,11,47
04-10-2021,21,11,47
04-11-2021,21,11,48
04-12-2021,21,11,49
04-13-2021,21,11,50
04-14-2021,21,11,51
04-15-2021,21,10,53
04-16-2021,21,10,53
04-17-2021,20,10,53
04-18-2021,20,9,55
04-19-2021,20,9,56
04-20-2021,19,9,57
04-21-2021,19,9,58
04-22-2021,19,9,59
04-23-2021,19,9,60
04-24-2021,19,9,61
