date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
02-07-2021,20,20,21
02-08-2021,22,21,22
02-09-2021,19,19,19
02-10-2021,18,18,19
02-11-2021,17,17,17
02-12-2021,15,15,16
02-13-2021,14,14,15
02-14-2021,14,14,15
02-15-2021,14,14,15
02-16-2021,15,15,15
02-17-2021,16,16,16
02-18-2021,16,16,16
02-19-2021,16,15,18
02-20-2021,17,15,18
02-21-2021,18,14,19
02-22-2021,16,15,20
02-23-2021,17,14,21
02-24-2021,18,14,20
02-25-2021,18,13,21
02-26-2021,18,12,22
02-27-2021,18,13,23
02-28-2021,18,13,24
03-01-2021,18,13,25
03-02-2021,18,13,26
03-03-2021,18,13,28
03-04-2021,18,13,29
03-05-2021,18,13,30
03-06-2021,19,13,30
03-07-2021,19,13,32
03-08-2021,20,12,33
03-09-2021,21,12,35
03-10-2021,21,12,37
03-11-2021,22,11,38
03-12-2021,22,12,40
03-13-2021,23,12,41
03-14-2021,22,11,44
03-15-2021,23,11,45
03-16-2021,23,11,47
03-17-2021,23,11,48
03-18-2021,24,11,50
03-19-2021,24,11,51
03-20-2021,24,11,52
03-21-2021,24,11,53
03-22-2021,25,11,54
03-23-2021,24,11,55
03-24-2021,25,11,56
03-25-2021,25,10,58
03-26-2021,25,11,58
03-27-2021,25,11,58
03-28-2021,24,10,59
03-29-2021,24,10,60
03-30-2021,24,11,60
03-31-2021,23,10,60
04-01-2021,23,10,60
04-02-2021,23,10,60
04-03-2021,23,10,59
04-04-2021,23,10,59
04-05-2021,23,10,59
04-06-2021,23,10,59
04-07-2021,22,9,58
04-08-2021,23,9,58
04-09-2021,22,8,57
04-10-2021,21,8,56
