date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
11-22-2020,26,26,28
11-23-2020,27,27,28
11-24-2020,27,26,27
11-25-2020,28,26,28
11-26-2020,28,27,28
11-27-2020,25,25,25
11-28-2020,26,25,26
11-29-2020,27,25,27
11-30-2020,25,25,26
12-01-2020,25,25,26
12-02-2020,28,27,28
12-03-2020,26,25,26
12-04-2020,27,27,28
12-05-2020,27,27,28
12-06-2020,28,27,30
12-07-2020,28,28,30
12-08-2020,30,28,31
12-09-2020,30,28,31
12-10-2020,31,28,33
12-11-2020,31,28,33
12-12-2020,31,28,34
12-13-2020,31,28,36
12-14-2020,31,28,36
12-15-2020,31,28,38
12-16-2020,32,28,39
12-17-2020,32,28,40
12-18-2020,33,27,41
12-19-2020,34,26,43
12-20-2020,34,26,44
12-21-2020,35,26,44
12-22-2020,35,26,45
12-23-2020,36,26,46
12-24-2020,36,26,47
12-25-2020,37,26,48
12-26-2020,37,26,50
12-27-2020,37,25,51
12-28-2020,38,25,52
12-29-2020,38,25,54
12-30-2020,39,25,56
12-31-2020,39,25,56
01-01-2021,40,25,57
01-02-2021,40,25,59
01-03-2021,41,25,61
01-04-2021,41,25,61
01-05-2021,41,25,63
01-06-2021,42,25,64
01-07-2021,41,25,65
01-08-2021,42,26,67
01-09-2021,42,26,68
01-10-2021,43,25,70
01-11-2021,43,25,70
01-12-2021,43,23,72
01-13-2021,43,23,75
01-14-2021,43,22,75
01-15-2021,43,22,77
01-16-2021,43,22,79
01-17-2021,44,22,81
01-18-2021,44,22,83
01-19-2021,44,22,84
01-20-2021,45,21,86
01-21-2021,45,21,89
01-22-2021,45,21,90
01-23-2021,46,21,91
