date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
11-29-2020,13,12,14
11-30-2020,11,11,11
12-01-2020,13,13,13
12-02-2020,13,13,15
12-03-2020,16,16,16
12-04-2020,17,17,18
12-05-2020,19,19,19
12-06-2020,20,19,20
12-07-2020,22,21,22
12-08-2020,22,20,22
12-09-2020,21,21,21
12-10-2020,22,22,22
12-11-2020,22,22,22
12-12-2020,23,22,23
12-13-2020,23,23,24
12-14-2020,25,23,26
12-15-2020,25,24,27
12-16-2020,26,25,27
12-17-2020,27,25,27
12-18-2020,27,25,29
12-19-2020,27,25,31
12-20-2020,28,25,33
12-21-2020,28,25,34
12-22-2020,29,26,35
12-23-2020,30,26,36
12-24-2020,32,25,36
12-25-2020,31,25,39
12-26-2020,32,24,40
12-27-2020,33,25,42
12-28-2020,33,24,43
12-29-2020,34,24,44
12-30-2020,34,24,47
12-31-2020,35,24,49
01-01-2021,35,24,50
01-02-2021,36,24,51
01-03-2021,36,23,54
01-04-2021,36,23,55
01-05-2021,37,23,56
01-06-2021,37,23,58
01-07-2021,38,23,59
01-08-2021,39,23,61
01-09-2021,39,22,63
01-10-2021,39,22,64
01-11-2021,40,21,65
01-12-2021,40,21,68
01-13-2021,40,20,68
01-14-2021,40,20,70
01-15-2021,40,19,71
01-16-2021,40,19,72
01-17-2021,40,19,74
01-18-2021,40,18,74
01-19-2021,40,18,74
01-20-2021,40,17,75
01-21-2021,40,17,76
01-22-2021,39,16,76
01-23-2021,39,16,76
01-24-2021,39,16,76
01-25-2021,39,14,75
01-26-2021,38,14,75
01-27-2021,37,13,74
01-28-2021,36,13,74
01-29-2021,34,12,74
01-30-2021,33,12,74
