date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
12-20-2020,28,28,29
12-21-2020,29,29,30
12-22-2020,31,30,31
12-23-2020,28,27,29
12-24-2020,28,27,29
12-25-2020,27,26,27
12-26-2020,27,26,28
12-27-2020,26,25,27
12-28-2020,25,23,27
12-29-2020,27,26,28
12-30-2020,30,29,30
12-31-2020,29,28,30
01-01-2021,29,27,30
01-02-2021,29,27,30
01-03-2021,29,27,30
01-04-2021,28,27,31
01-05-2021,28,26,32
01-06-2021,28,26,32
01-07-2021,28,26,32
01-08-2021,28,26,32
01-09-2021,28,26,34
01-10-2021,28,26,34
01-11-2021,28,25,35
01-12-2021,28,25,35
01-13-2021,28,24,37
01-14-2021,28,23,37
01-15-2021,28,23,38
01-16-2021,28,22,38
01-17-2021,28,21,38
01-18-2021,28,21,38
01-19-2021,28,21,38
01-20-2021,28,21,39
01-21-2021,28,21,39
01-22-2021,28,21,40
01-23-2021,28,21,40
01-24-2021,28,20,40
01-25-2021,28,19,41
01-26-2021,28,18,41
01-27-2021,29,18,41
01-28-2021,29,18,42
01-29-2021,29,18,42
01-30-2021,28,17,42
01-31-2021,27,17,42
02-01-2021,27,17,42
02-02-2021,27,17,42
02-03-2021,27,16,42
02-04-2021,26,16,42
02-05-2021,26,16,43
02-06-2021,26,14,44
02-07-2021,26,14,44
02-08-2021,26,14,44
02-09-2021,25,14,45
02-10-2021,25,13,45
02-11-2021,25,13,45
02-12-2021,24,13,46
02-13-2021,24,13,46
02-14-2021,24,13,46
02-15-2021,24,13,46
02-16-2021,24,13,45
02-17-2021,24,13,45
02-18-2021,23,12,45
02-19-2021,22,11,45
02-20-2021,22,11,45
