date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
09-13-2020,28,26,29
09-14-2020,28,28,31
09-15-2020,28,26,30
09-16-2020,27,24,29
09-17-2020,29,25,30
09-18-2020,29,26,31
09-19-2020,28,26,31
09-20-2020,27,26,28
09-21-2020,25,24,26
09-22-2020,24,22,26
09-23-2020,24,21,25
09-24-2020,24,21,25
09-25-2020,25,21,25
09-26-2020,25,20,25
09-27-2020,25,20,25
09-28-2020,26,21,26
09-29-2020,26,21,26
09-30-2020,25,22,26
10-01-2020,25,21,26
10-02-2020,24,21,26
10-03-2020,24,21,26
10-04-2020,23,21,26
10-05-2020,23,21,26
10-06-2020,23,21,26
10-07-2020,23,20,26
10-08-2020,23,19,25
10-09-2020,23,19,24
10-10-2020,23,19,24
10-11-2020,22,19,24
10-12-2020,22,19,24
10-13-2020,21,19,23
10-14-2020,20,19,23
10-15-2020,20,19,23
10-16-2020,20,18,23
10-17-2020,19,18,23
10-18-2020,19,18,23
10-19-2020,19,16,23
10-20-2020,19,16,22
10-21-2020,19,15,22
10-22-2020,19,15,22
10-23-2020,19,15,22
10-24-2020,19,15,22
10-25-2020,19,15,22
10-26-2020,19,15,22
10-27-2020,19,15,22
10-28-2020,19,15,22
10-29-2020,19,15,22
10-30-2020,19,14,22
10-31-2020,19,14,22
11-01-2020,19,14,21
11-02-2020,19,14,21
11-03-2020,19,14,21
11-04-2020,18,14,21
11-05-2020,16,14,21
11-06-2020,16,14,21
11-07-2020,16,14,22
11-08-2020,16,13,22
11-09-2020,16,13,22
11-10-2020,16,13,22
11-11-2020,16,13,22
11-12-2020,16,13,22
11-13-2020,16,13,21
11-14-2020,16,13,21
