HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound,Last Update
1,AL- BIRMINGHAM,80,292,249,294,04-08-2020
2,AL- DOTHAN,80,0,0,0,04-08-2020
5,AL- HUNTSVILLE,80,28,25,28,04-08-2020
6,AL- MOBILE,80,106,90,107,04-08-2020
7,AL- MONTGOMERY,80,14,13,14,04-08-2020
9,AL- TUSCALOOSA,80,22,19,22,04-08-2020
11,AZ- MESA,84,523,446,527,04-08-2020
12,AZ- PHOENIX,82,1277,1092,1288,04-08-2020
14,AZ- SUN CITY,81,83,71,83,04-08-2020
15,AZ- TUCSON,81,245,210,247,04-08-2020
16,AR- FORT SMITH,80,0,0,0,04-08-2020
18,AR- JONESBORO,80,0,0,0,04-08-2020
19,AR- LITTLE ROCK,82,861,739,868,04-08-2020
21,AR- SPRINGDALE,80,0,0,0,04-08-2020
22,AR- TEXARKANA,80,0,0,0,04-08-2020
23,CA- ORANGE CO.,82,1016,869,1025,04-08-2020
25,CA- BAKERSFIELD,80,134,115,135,04-08-2020
31,CA- CHICO,80,17,15,17,04-08-2020
33,CA- CONTRA COSTA CO.,86,918,787,926,04-08-2020
43,CA- FRESNO,80,101,85,102,04-08-2020
56,CA- LOS ANGELES,82,3335,2857,3365,04-08-2020
58,CA- MODESTO,82,241,205,243,04-08-2020
62,CA- NAPA,82,73,62,73,04-08-2020
65,CA- ALAMEDA CO.,86,1459,1251,1472,04-08-2020
69,CA- PALM SPR/RANCHO MIR.,81,76,65,76,04-08-2020
73,CA- REDDING,80,0,0,0,04-08-2020
77,CA- SACRAMENTO,83,1150,984,1160,04-08-2020
78,CA- SALINAS,83,152,130,153,04-08-2020
79,CA- SAN BERNARDINO,81,726,618,732,04-08-2020
80,CA- SAN DIEGO,83,1405,1203,1417,04-08-2020
81,CA- SAN FRANCISCO,83,1342,1153,1354,04-08-2020
82,CA- SAN JOSE,90,2054,1768,2072,04-08-2020
83,CA- SAN LUIS OBISPO,83,111,96,112,04-08-2020
85,CA- SAN MATEO CO.,85,952,820,960,04-08-2020
86,CA- SANTA BARBARA,81,122,105,123,04-08-2020
87,CA- SANTA CRUZ,87,178,152,179,04-08-2020
89,CA- SANTA ROSA,81,238,204,240,04-08-2020
91,CA- STOCKTON,84,306,261,308,04-08-2020
96,CA- VENTURA,82,266,228,268,04-08-2020
101,CO- BOULDER,88,280,241,282,04-08-2020
102,CO- COLORADO SPRINGS,85,408,350,411,04-08-2020
103,CO- DENVER,89,3051,2620,3078,04-08-2020
104,CO- FORT COLLINS,84,189,161,190,04-08-2020
105,CO- GRAND JUNCTION,91,647,558,652,04-08-2020
106,CO- GREELEY,84,246,211,248,04-08-2020
107,CO- PUEBLO,80,20,17,20,04-08-2020
110,CT- HARTFORD,85,1154,982,1165,04-08-2020
111,CT- NEW HAVEN,92,3125,2674,3153,04-08-2020
112,DE- WILMINGTON,86,743,638,749,04-08-2020
113,DC- WASHINGTON,85,2164,1859,2183,04-08-2020
115,FL- BRADENTON,82,95,81,95,04-08-2020
116,FL- CLEARWATER,81,148,127,149,04-08-2020
118,FL- FORT LAUDERDALE,83,1705,1459,1720,04-08-2020
119,FL- FORT MYERS,81,488,418,492,04-08-2020
120,FL- GAINESVILLE,81,147,127,148,04-08-2020
122,FL- HUDSON,81,105,90,106,04-08-2020
123,FL- JACKSONVILLE,81,383,328,386,04-08-2020
124,FL- LAKELAND,81,103,88,103,04-08-2020
127,FL- MIAMI,83,2265,1940,2285,04-08-2020
129,FL- OCALA,81,120,103,121,04-08-2020
130,FL- ORLANDO,81,1031,879,1040,04-08-2020
131,FL- ORMOND BEACH,81,113,97,114,04-08-2020
133,FL- PANAMA CITY,80,0,0,0,04-08-2020
134,FL- PENSACOLA,80,143,122,144,04-08-2020
137,FL- SARASOTA,81,109,94,110,04-08-2020
139,FL- ST PETERSBURG,81,121,104,122,04-08-2020
140,FL- TALLAHASSEE,80,77,67,77,04-08-2020
141,FL- TAMPA,81,454,389,458,04-08-2020
142,GA- ALBANY,85,385,333,388,04-08-2020
144,GA- ATLANTA,84,3820,3272,3854,04-08-2020
145,GA- AUGUSTA,81,191,161,192,04-08-2020
146,GA- COLUMBUS,80,48,41,48,04-08-2020
147,GA- MACON,80,39,32,39,04-08-2020
148,GA- ROME,83,182,158,183,04-08-2020
149,GA- SAVANNAH,83,420,359,423,04-08-2020
154,IL- AURORA,86,215,184,216,04-08-2020
155,IL- BLUE ISLAND,83,670,576,676,04-08-2020
156,IL- CHICAGO,83,2263,1945,2283,04-08-2020
158,IL- ELGIN,87,563,483,568,04-08-2020
161,IL- EVANSTON,85,896,771,904,04-08-2020
163,IL- HINSDALE,85,379,325,382,04-08-2020
164,IL- JOLIET,85,458,392,462,04-08-2020
166,IL- MELROSE PARK,85,1121,962,1131,04-08-2020
170,IL- PEORIA,80,16,14,16,04-08-2020
171,IL- ROCKFORD,81,143,121,144,04-08-2020
172,IL- SPRINGFIELD,80,35,31,35,04-08-2020
173,IL- URBANA,80,0,0,0,04-08-2020
175,IL- BLOOMINGTON,81,35,31,35,04-08-2020
179,IN- EVANSVILLE,80,0,0,0,04-08-2020
180,IN- FORT WAYNE,80,28,24,28,04-08-2020
181,IN- GARY,81,178,151,179,04-08-2020
183,IN- INDIANAPOLIS,81,672,571,678,04-08-2020
184,IN- LAFAYETTE,80,0,0,0,04-08-2020
185,IN- MUNCIE,80,0,0,0,04-08-2020
186,IN- MUNSTER,82,169,145,170,04-08-2020
187,IN- SOUTH BEND,80,61,51,61,04-08-2020
188,IN- TERRE HAUTE,80,0,0,0,04-08-2020
191,IA- DAVENPORT,80,0,0,0,04-08-2020
192,IA- DES MOINES,80,72,61,72,04-08-2020
193,IA- DUBUQUE,80,1,1,1,04-08-2020
