HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Last Update
1,AL- BIRMINGHAM,103,13802,13046,15237,98.88,107.12,04-21-2020
2,AL- DOTHAN,80,0,0,0,76.8,83.2,04-21-2020
5,AL- HUNTSVILLE,90,1356,1332,1585,86.4,93.6,04-21-2020
6,AL- MOBILE,95,3100,2990,3324,91.2,98.8,04-21-2020
7,AL- MONTGOMERY,92,1302,1279,1523,88.32,95.68,04-21-2020
9,AL- TUSCALOOSA,96,1134,1134,1261,92.16,99.84,04-21-2020
11,AZ- MESA,117,5179,4935,5513,112.32,121.68,04-21-2020
12,AZ- PHOENIX,101,11469,11010,12299,96.96,105.04,04-21-2020
14,AZ- SUN CITY,95,875,834,930,91.2,98.8,04-21-2020
15,AZ- TUCSON,91,2014,1927,2145,87.36,94.64,04-21-2020
16,AR- FORT SMITH,80,0,0,0,76.8,83.2,04-21-2020
18,AR- JONESBORO,80,0,0,0,76.8,83.2,04-21-2020
19,AR- LITTLE ROCK,98,7403,6994,7700,94.08,101.92,04-21-2020
21,AR- SPRINGDALE,80,0,0,131,76.8,83.2,04-21-2020
22,AR- TEXARKANA,80,0,0,0,76.8,83.2,04-21-2020
23,CA- ORANGE CO.,92,6838,6515,7265,88.32,95.68,04-21-2020
25,CA- BAKERSFIELD,83,995,942,1050,79.68,86.32,04-21-2020
31,CA- CHICO,84,217,216,221,80.64,87.36,04-21-2020
33,CA- CONTRA COSTA CO.,128,6718,6414,7116,122.88,133.12,04-21-2020
43,CA- FRESNO,86,1041,973,1124,82.56,89.44,04-21-2020
56,CA- LOS ANGELES,92,20932,19954,22220,88.32,95.68,04-21-2020
58,CA- MODESTO,99,2268,2165,2427,95.04,102.96,04-21-2020
62,CA- NAPA,105,1038,951,1082,100.8,109.2,04-21-2020
65,CA- ALAMEDA CO.,125,10587,10106,11206,120.0,130.0,04-21-2020
69,CA- PALM SPR/RANCHO MIR.,87,572,545,609,83.52,90.48,04-21-2020
73,CA- REDDING,89,713,676,760,85.44,92.56,04-21-2020
77,CA- SACRAMENTO,105,8412,8001,8940,100.8,109.2,04-21-2020
78,CA- SALINAS,104,1340,1281,1430,99.84,108.16,04-21-2020
79,CA- SAN BERNARDINO,93,5311,5054,5654,89.28,96.72,04-21-2020
80,CA- SAN DIEGO,99,9433,8984,10001,95.04,102.96,04-21-2020
81,CA- SAN FRANCISCO,107,9601,9167,10145,102.72,111.28,04-21-2020
82,CA- SAN JOSE,146,13547,12953,14317,140.16,151.84,04-21-2020
83,CA- SAN LUIS OBISPO,101,671,642,715,96.96,105.04,04-21-2020
85,CA- SAN MATEO CO.,115,6418,6134,6779,110.4,119.6,04-21-2020
86,CA- SANTA BARBARA,91,777,739,839,87.36,94.64,04-21-2020
87,CA- SANTA CRUZ,139,1477,1408,1567,133.44,144.56,04-21-2020
89,CA- SANTA ROSA,97,2289,2180,2421,93.12,100.88,04-21-2020
91,CA- STOCKTON,112,2354,2240,2519,107.52,116.48,04-21-2020
96,CA- VENTURA,95,1727,1650,1842,91.2,98.8,04-21-2020
101,CO- BOULDER,149,2279,2157,2396,143.04,154.96,04-21-2020
102,CO- COLORADO SPRINGS,124,3166,3026,3372,119.04,128.96,04-21-2020
103,CO- DENVER,147,22058,21106,23470,141.12,152.88,04-21-2020
104,CO- FORT COLLINS,118,1675,1630,1777,113.28,122.72,04-21-2020
105,CO- GRAND JUNCTION,169,4792,4532,5028,162.24,175.76,04-21-2020
106,CO- GREELEY,116,1925,1847,2052,111.36,120.64,04-21-2020
107,CO- PUEBLO,87,434,423,436,83.52,90.48,04-21-2020
110,CT- HARTFORD,151,16174,15397,17220,144.96,157.04,04-21-2020
111,CT- NEW HAVEN,215,35960,34296,38099,206.4,223.6,04-21-2020
112,DE- WILMINGTON,153,9450,8962,9969,146.88,159.12,04-21-2020
113,DC- WASHINGTON,156,28641,27093,30317,149.76,162.24,04-21-2020
115,FL- BRADENTON,118,1872,1787,1983,113.28,122.72,04-21-2020
116,FL- CLEARWATER,101,2435,2319,2583,96.96,105.04,04-21-2020
118,FL- FORT LAUDERDALE,117,22757,21690,24129,112.32,121.68,04-21-2020
119,FL- FORT MYERS,108,7624,7308,8127,103.68,112.32,04-21-2020
120,FL- GAINESVILLE,96,2128,2026,2321,92.16,99.84,04-21-2020
122,FL- HUDSON,99,1678,1630,1828,95.04,102.96,04-21-2020
123,FL- JACKSONVILLE,96,5756,5490,6248,92.16,99.84,04-21-2020
124,FL- LAKELAND,102,1687,1596,1791,97.92,106.08,04-21-2020
127,FL- MIAMI,119,29319,27898,31100,114.24,123.76,04-21-2020
129,FL- OCALA,103,2173,2048,2259,98.88,107.12,04-21-2020
130,FL- ORLANDO,101,15314,14556,16330,96.96,105.04,04-21-2020
131,FL- ORMOND BEACH,96,1876,1719,1977,92.16,99.84,04-21-2020
133,FL- PANAMA CITY,80,0,0,47,76.8,83.2,04-21-2020
134,FL- PENSACOLA,94,2246,2189,2493,90.24,97.76,04-21-2020
137,FL- SARASOTA,100,2080,1990,2223,96.0,104.0,04-21-2020
139,FL- ST PETERSBURG,97,1977,1883,2098,93.12,100.88,04-21-2020
140,FL- TALLAHASSEE,88,1561,1453,1681,84.48,91.52,04-21-2020
141,FL- TAMPA,104,7120,6780,7586,99.84,108.16,04-21-2020
