HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound,Last Update
1,AL- BIRMINGHAM,94,7116,7101,7118,01-22-2020
2,AL- DOTHAN,84,256,255,256,01-22-2020
5,AL- HUNTSVILLE,91,1249,1248,1249,01-22-2020
6,AL- MOBILE,93,2202,2199,2202,01-22-2020
7,AL- MONTGOMERY,90,907,904,907,01-22-2020
9,AL- TUSCALOOSA,91,646,645,646,01-22-2020
11,AZ- MESA,117,4289,4284,4289,01-22-2020
12,AZ- PHOENIX,102,10013,9997,10013,01-22-2020
14,AZ- SUN CITY,95,732,732,732,01-22-2020
15,AZ- TUCSON,93,2050,2046,2050,01-22-2020
16,AR- FORT SMITH,80,57,57,57,01-22-2020
18,AR- JONESBORO,81,70,70,70,01-22-2020
19,AR- LITTLE ROCK,87,2455,2452,2455,01-22-2020
21,AR- SPRINGDALE,83,224,224,224,01-22-2020
22,AR- TEXARKANA,81,94,94,94,01-22-2020
23,CA- ORANGE CO.,103,10730,10716,10731,01-22-2020
25,CA- BAKERSFIELD,88,1852,1851,1852,01-22-2020
31,CA- CHICO,95,579,578,579,01-22-2020
33,CA- CONTRA COSTA CO.,144,7858,7847,7858,01-22-2020
43,CA- FRESNO,95,2059,2057,2059,01-22-2020
56,CA- LOS ANGELES,101,31335,31287,31335,01-22-2020
58,CA- MODESTO,120,4111,4102,4111,01-22-2020
62,CA- NAPA,118,1330,1328,1330,01-22-2020
65,CA- ALAMEDA CO.,137,11825,11811,11827,01-22-2020
69,CA- PALM SPR/RANCHO MIR.,96,1006,1005,1007,01-22-2020
73,CA- REDDING,97,1116,1115,1116,01-22-2020
77,CA- SACRAMENTO,123,12386,12370,12386,01-22-2020
78,CA- SALINAS,126,2169,2167,2170,01-22-2020
79,CA- SAN BERNARDINO,108,9471,9459,9473,01-22-2020
80,CA- SAN DIEGO,112,13424,13405,13424,01-22-2020
81,CA- SAN FRANCISCO,113,10383,10374,10385,01-22-2020
82,CA- SAN JOSE,151,13325,13307,13328,01-22-2020
83,CA- SAN LUIS OBISPO,112,886,884,886,01-22-2020
85,CA- SAN MATEO CO.,118,6433,6424,6434,01-22-2020
86,CA- SANTA BARBARA,103,1330,1328,1330,01-22-2020
87,CA- SANTA CRUZ,165,1856,1855,1857,01-22-2020
89,CA- SANTA ROSA,107,3110,3107,3110,01-22-2020
91,CA- STOCKTON,134,3460,3455,3460,01-22-2020
96,CA- VENTURA,109,2705,2703,2705,01-22-2020
101,CO- BOULDER,126,1309,1309,1310,01-22-2020
102,CO- COLORADO SPRINGS,118,2375,2372,2376,01-22-2020
103,CO- DENVER,123,12385,12373,12386,01-22-2020
104,CO- FORT COLLINS,109,1112,1111,1113,01-22-2020
105,CO- GRAND JUNCTION,115,1768,1767,1768,01-22-2020
106,CO- GREELEY,109,1340,1340,1341,01-22-2020
107,CO- PUEBLO,86,310,310,310,01-22-2020
110,CT- HARTFORD,121,7888,7874,7889,01-22-2020
111,CT- NEW HAVEN,131,12099,12089,12099,01-22-2020
112,DE- WILMINGTON,107,3038,3034,3039,01-22-2020
113,DC- WASHINGTON,280,76846,76846,76846,01-22-2020
115,FL- BRADENTON,102,920,919,920,01-22-2020
116,FL- CLEARWATER,94,1341,1338,1341,01-22-2020
118,FL- FORT LAUDERDALE,101,11278,11265,11279,01-22-2020
119,FL- FORT MYERS,98,4067,4064,4068,01-22-2020
120,FL- GAINESVILLE,92,1351,1351,1351,01-22-2020
122,FL- HUDSON,94,1062,1062,1062,01-22-2020
123,FL- JACKSONVILLE,92,3617,3613,3617,01-22-2020
124,FL- LAKELAND,96,1015,1014,1015,01-22-2020
127,FL- MIAMI,101,13773,13754,13774,01-22-2020
129,FL- OCALA,95,1234,1230,1234,01-22-2020
130,FL- ORLANDO,95,9215,9199,9216,01-22-2020
131,FL- ORMOND BEACH,90,991,990,991,01-22-2020
133,FL- PANAMA CITY,84,171,171,171,01-22-2020
134,FL- PENSACOLA,90,1404,1402,1404,01-22-2020
137,FL- SARASOTA,94,1205,1204,1205,01-22-2020
139,FL- ST PETERSBURG,91,1089,1087,1089,01-22-2020
140,FL- TALLAHASSEE,91,1772,1770,1772,01-22-2020
141,FL- TAMPA,95,3953,3949,3953,01-22-2020
142,GA- ALBANY,112,2131,2129,2131,01-22-2020
144,GA- ATLANTA,133,37978,37927,37984,01-22-2020
145,GA- AUGUSTA,89,1267,1265,1267,01-22-2020
146,GA- COLUMBUS,96,1190,1190,1190,01-22-2020
147,GA- MACON,95,1941,1937,1943,01-22-2020
148,GA- ROME,122,1893,1891,1893,01-22-2020
149,GA- SAVANNAH,93,1625,1625,1625,01-22-2020
154,IL- AURORA,128,1526,1526,1526,01-22-2020
155,IL- BLUE ISLAND,103,3575,3571,3576,01-22-2020
156,IL- CHICAGO,103,11942,11926,11943,01-22-2020
158,IL- ELGIN,134,3529,3524,3530,01-22-2020
161,IL- EVANSTON,112,4767,4762,4768,01-22-2020
163,IL- HINSDALE,114,2291,2288,2292,01-22-2020
164,IL- JOLIET,120,3177,3172,3178,01-22-2020
166,IL- MELROSE PARK,114,6313,6306,6314,01-22-2020
170,IL- PEORIA,88,847,847,847,01-22-2020
171,IL- ROCKFORD,105,2282,2279,2282,01-22-2020
172,IL- SPRINGFIELD,84,569,569,569,01-22-2020
173,IL- URBANA,86,405,404,405,01-22-2020
175,IL- BLOOMINGTON,103,359,359,359,01-22-2020
179,IN- EVANSVILLE,81,140,137,140,01-22-2020
180,IN- FORT WAYNE,81,123,123,123,01-22-2020
181,IN- GARY,80,75,75,75,01-22-2020
183,IN- INDIANAPOLIS,80,201,201,201,01-22-2020
184,IN- LAFAYETTE,80,7,7,7,01-22-2020
185,IN- MUNCIE,80,15,15,15,01-22-2020
186,IN- MUNSTER,84,340,340,340,01-22-2020
187,IN- SOUTH BEND,81,137,137,137,01-22-2020
188,IN- TERRE HAUTE,80,0,0,0,01-22-2020
191,IA- DAVENPORT,85,599,599,599,01-22-2020
192,IA- DES MOINES,88,1567,1566,1567,01-22-2020
193,IA- DUBUQUE,92,392,392,392,01-22-2020
194,IA- IOWA CITY,89,1057,1057,1057,01-22-2020
195,IA- MASON CITY,80,28,28,28,01-22-2020
196,IA- SIOUX CITY,84,258,258,258,01-22-2020
197,IA- WATERLOO,88,261,260,261,01-22-2020
200,KS- TOPEKA,90,852,852,852,01-22-2020
201,KS- WICHITA,85,1397,1397,1397,01-22-2020
203,KY- COVINGTON,108,1811,1811,1811,01-22-2020
204,KY- LEXINGTON,102,6659,6647,6659,01-22-2020
205,KY- LOUISVILLE,103,6496,6477,6496,01-22-2020
207,KY- OWENSBORO,93,369,369,369,01-22-2020
208,KY- PADUCAH,84,269,269,269,01-22-2020
209,LA- ALEXANDRIA,86,334,333,334,01-22-2020
210,LA- BATON ROUGE,110,4439,4433,4442,01-22-2020
212,LA- HOUMA,112,1359,1357,1359,01-22-2020
213,LA- LAFAYETTE,89,1247,1247,1247,01-22-2020
214,LA- LAKE CHARLES,86,310,308,310,01-22-2020
216,LA- METAIRIE,144,4094,4092,4094,01-22-2020
217,LA- MONROE,82,146,146,146,01-22-2020
218,LA- NEW ORLEANS,121,6343,6338,6344,01-22-2020
219,LA- SHREVEPORT,87,1145,1142,1145,01-22-2020
221,ME- BANGOR,84,273,273,273,01-22-2020
222,ME- PORTLAND,95,2424,2422,2424,01-22-2020
223,MD- BALTIMORE,121,16197,16167,16201,01-22-2020
225,MD- SALISBURY,110,1632,1629,1632,01-22-2020
226,MD- TAKOMA PARK,171,6897,6888,6897,01-22-2020
227,MA- BOSTON,116,24261,24229,24263,01-22-2020
230,MA- SPRINGFIELD,110,2825,2821,2825,01-22-2020
231,MA- WORCESTER,119,3822,3818,3822,01-22-2020
232,MI- ANN ARBOR,111,6226,6220,6226,01-22-2020
233,MI- DEARBORN,105,2512,2509,2513,01-22-2020
234,MI- DETROIT,109,8336,8327,8338,01-22-2020
235,MI- FLINT,104,1945,1944,1945,01-22-2020
238,MI- KALAMAZOO,89,775,774,775,01-22-2020
239,MI- LANSING,96,1473,1472,1473,01-22-2020
240,MI- MARQUETTE,81,21,21,21,01-22-2020
242,MI- MUSKEGON,87,228,228,228,01-22-2020
243,MI- PETOSKEY,88,119,119,119,01-22-2020
244,MI- PONTIAC,110,2185,2183,2185,01-22-2020
245,MI- ROYAL OAK,103,3665,3662,3665,01-22-2020
246,MI- SAGINAW,87,854,854,855,01-22-2020
248,MI- ST JOSEPH,92,227,227,227,01-22-2020
249,MI- TRAVERSE CITY,84,118,118,118,01-22-2020
250,MN- DULUTH,81,103,103,103,01-22-2020
251,MN- MINNEAPOLIS,91,5761,5754,5762,01-22-2020
253,MN- ROCHESTER,85,851,850,851,01-22-2020
254,MN- ST CLOUD,89,375,375,375,01-22-2020
256,MN- ST PAUL,96,2166,2162,2166,01-22-2020
257,MS- GULFPORT,122,1942,1940,1942,01-22-2020
258,MS- HATTIESBURG,110,2048,2046,2051,01-22-2020
259,MS- JACKSON,104,6341,6329,6341,01-22-2020
261,MS- OXFORD,96,613,613,613,01-22-2020
262,MS- TUPELO,96,1495,1491,1495,01-22-2020
263,MO- CAPE GIRARDEAU,80,35,35,35,01-22-2020
264,MO- COLUMBIA,85,506,505,506,01-22-2020
267,MO- JOPLIN,82,103,103,103,01-22-2020
268,MO- KANSAS CITY,96,7314,7294,7315,01-22-2020
270,MO- SPRINGFIELD,86,642,641,642,01-22-2020
273,MO- ST LOUIS,86,4198,4192,4198,01-22-2020
274,MT- BILLINGS,87,991,989,991,01-22-2020
275,MT- GREAT FALLS,82,104,104,104,01-22-2020
276,MT- MISSOULA,88,553,553,553,01-22-2020
277,NE- LINCOLN,101,2315,2311,2315,01-22-2020
278,NE- OMAHA,108,9737,9722,9737,01-22-2020
279,NV- LAS VEGAS,117,9160,9148,9162,01-22-2020
280,NV- RENO,100,2295,2292,2296,01-22-2020
281,NH- LEBANON,96,948,947,948,01-22-2020
282,NH- MANCHESTER,95,1837,1835,1838,01-22-2020
283,NJ- CAMDEN,117,18116,18101,18116,01-22-2020
284,NJ- HACKENSACK,145,15669,15657,15671,01-22-2020
285,NJ- MORRISTOWN,169,10692,10683,10693,01-22-2020
288,NJ- NEW BRUNSWICK,139,10145,10138,10145,01-22-2020
289,NJ- NEWARK,132,16166,16151,16167,01-22-2020
291,NJ- PATERSON,136,4160,4157,4160,01-22-2020
293,NM- ALBUQUERQUE,97,3517,3514,3518,01-22-2020
295,NY- ALBANY,166,26277,26257,26279,01-22-2020
296,NY- BINGHAMTON,119,2150,2145,2150,01-22-2020
297,NY- BRONX,206,29643,29620,29643,01-22-2020
299,NY- BUFFALO,109,6177,6164,6179,01-22-2020
300,NY- ELMIRA,105,1590,1590,1590,01-22-2020
301,NY- EAST LONG ISLAND,222,100519,100437,100526,01-22-2020
304,NY- ROCHESTER,121,7188,7180,7188,01-22-2020
307,NY- SYRACUSE,107,4451,4448,4451,01-22-2020
308,NY- WHITE PLAINS,195,22187,22168,22187,01-22-2020
309,NC- ASHEVILLE,84,397,397,397,01-22-2020
311,NC- CHARLOTTE,95,5343,5338,5343,01-22-2020
312,NC- DURHAM,89,2394,2390,2394,01-22-2020
313,NC- GREENSBORO,90,1034,1034,1034,01-22-2020
314,NC- GREENVILLE,85,710,710,710,01-22-2020
315,NC- HICKORY,88,379,379,379,01-22-2020
318,NC- RALEIGH,97,4402,4397,4403,01-22-2020
319,NC- WILMINGTON,88,578,578,578,01-22-2020
