HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Last Update
1,AL- BIRMINGHAM,89,4377,4286,4468,81.88,96.12,01-22-2020
2,AL- DOTHAN,83,198,193,203,76.36,89.64,01-22-2020
5,AL- HUNTSVILLE,87,784,769,799,80.04,93.96,01-22-2020
6,AL- MOBILE,88,1388,1360,1416,80.96,95.04,01-22-2020
7,AL- MONTGOMERY,86,557,545,569,79.12,92.88,01-22-2020
9,AL- TUSCALOOSA,87,407,399,415,80.04,93.96,01-22-2020
11,AZ- MESA,102,2605,2552,2658,93.84,110.16,01-22-2020
12,AZ- PHOENIX,93,6097,5972,6222,85.56,100.44,01-22-2020
14,AZ- SUN CITY,89,444,435,453,81.88,96.12,01-22-2020
15,AZ- TUCSON,88,1249,1224,1274,80.96,95.04,01-22-2020
16,AR- FORT SMITH,80,37,37,37,73.6,86.4,01-22-2020
18,AR- JONESBORO,81,44,43,45,74.52,87.48,01-22-2020
19,AR- LITTLE ROCK,84,1504,1473,1535,77.28,90.72,01-22-2020
21,AR- SPRINGDALE,82,146,143,149,75.44,88.56,01-22-2020
22,AR- TEXARKANA,81,58,57,59,74.52,87.48,01-22-2020
23,CA- ORANGE CO.,94,6497,6365,6629,86.48,101.52,01-22-2020
25,CA- BAKERSFIELD,85,1146,1123,1169,78.2,91.8,01-22-2020
31,CA- CHICO,90,370,363,377,82.8,97.2,01-22-2020
33,CA- CONTRA COSTA CO.,117,4594,4504,4684,107.64,126.36,01-22-2020
43,CA- FRESNO,89,1274,1248,1300,81.88,96.12,01-22-2020
56,CA- LOS ANGELES,92,18946,18561,19331,84.64,99.36,01-22-2020
58,CA- MODESTO,104,2495,2445,2545,95.68,112.32,01-22-2020
62,CA- NAPA,102,793,778,808,93.84,110.16,01-22-2020
65,CA- ALAMEDA CO.,113,6884,6750,7018,103.96,122.04,01-22-2020
69,CA- PALM SPR/RANCHO MIR.,89,611,599,623,81.88,96.12,01-22-2020
73,CA- REDDING,90,674,661,687,82.8,97.2,01-22-2020
77,CA- SACRAMENTO,106,7431,7282,7580,97.52,114.48,01-22-2020
78,CA- SALINAS,107,1299,1273,1325,98.44,115.56,01-22-2020
79,CA- SAN BERNARDINO,97,5779,5661,5897,89.24,104.76,01-22-2020
80,CA- SAN DIEGO,99,8086,7922,8250,91.08,106.92,01-22-2020
81,CA- SAN FRANCISCO,99,6045,5927,6163,91.08,106.92,01-22-2020
82,CA- SAN JOSE,121,7703,7554,7852,111.32,130.68,01-22-2020
83,CA- SAN LUIS OBISPO,99,533,523,543,91.08,106.92,01-22-2020
85,CA- SAN MATEO CO.,102,3725,3653,3797,93.84,110.16,01-22-2020
86,CA- SANTA BARBARA,94,806,790,822,86.48,101.52,01-22-2020
87,CA- SANTA CRUZ,130,1093,1072,1114,119.6,140.4,01-22-2020
89,CA- SANTA ROSA,96,1838,1802,1874,88.32,103.68,01-22-2020
91,CA- STOCKTON,112,2065,2024,2106,103.03999999999999,120.96000000000001,01-22-2020
96,CA- VENTURA,97,1635,1602,1668,89.24,104.76,01-22-2020
101,CO- BOULDER,107,781,766,796,98.44,115.56,01-22-2020
102,CO- COLORADO SPRINGS,103,1419,1390,1448,94.76,111.24,01-22-2020
103,CO- DENVER,105,7337,7191,7483,96.6,113.4,01-22-2020
104,CO- FORT COLLINS,97,674,661,687,89.24,104.76,01-22-2020
105,CO- GRAND JUNCTION,100,1008,989,1027,92.0,108.0,01-22-2020
106,CO- GREELEY,97,809,793,825,89.24,104.76,01-22-2020
107,CO- PUEBLO,84,191,188,194,77.28,90.72,01-22-2020
110,CT- HARTFORD,104,4762,4666,4858,95.68,112.32,01-22-2020
111,CT- NEW HAVEN,109,7013,6877,7149,100.28,117.72,01-22-2020
112,DE- WILMINGTON,96,1839,1802,1876,88.32,103.68,01-22-2020
113,DC- WASHINGTON,280,76846,75529,78163,257.6,302.4,01-22-2020
115,FL- BRADENTON,93,559,548,570,85.56,100.44,01-22-2020
116,FL- CLEARWATER,88,818,802,834,80.96,95.04,01-22-2020
118,FL- FORT LAUDERDALE,93,6800,6663,6937,85.56,100.44,01-22-2020
119,FL- FORT MYERS,91,2463,2413,2513,83.72,98.28,01-22-2020
120,FL- GAINESVILLE,87,823,806,840,80.04,93.96,01-22-2020
122,FL- HUDSON,88,646,633,659,80.96,95.04,01-22-2020
123,FL- JACKSONVILLE,87,2230,2184,2276,80.04,93.96,01-22-2020
124,FL- LAKELAND,90,623,611,635,82.8,97.2,01-22-2020
127,FL- MIAMI,92,8279,8112,8446,84.64,99.36,01-22-2020
129,FL- OCALA,89,758,743,773,81.88,96.12,01-22-2020
130,FL- ORLANDO,89,5638,5522,5754,81.88,96.12,01-22-2020
131,FL- ORMOND BEACH,86,603,591,615,79.12,92.88,01-22-2020
133,FL- PANAMA CITY,82,106,104,108,75.44,88.56,01-22-2020
134,FL- PENSACOLA,86,883,865,901,79.12,92.88,01-22-2020
137,FL- SARASOTA,88,725,711,739,80.96,95.04,01-22-2020
139,FL- ST PETERSBURG,87,664,651,677,80.04,93.96,01-22-2020
140,FL- TALLAHASSEE,87,1182,1157,1207,80.04,93.96,01-22-2020
141,FL- TAMPA,89,2406,2357,2455,81.88,96.12,01-22-2020
142,GA- ALBANY,98,1242,1218,1266,90.16,105.84,01-22-2020
144,GA- ATLANTA,112,23004,22537,23471,103.03999999999999,120.96000000000001,01-22-2020
145,GA- AUGUSTA,85,801,784,818,78.2,91.8,01-22-2020
146,GA- COLUMBUS,89,724,709,739,81.88,96.12,01-22-2020
147,GA- MACON,89,1252,1227,1277,81.88,96.12,01-22-2020
148,GA- ROME,104,1102,1081,1123,95.68,112.32,01-22-2020
149,GA- SAVANNAH,88,1009,989,1029,80.96,95.04,01-22-2020
154,IL- AURORA,109,912,894,930,100.28,117.72,01-22-2020
