HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,89.54,419,369,553,81.97,109.88,419 [369 - 553],89.54% [81.97% - 109.88%],805,166,2523,05-26-2020
2,AL- DOTHAN,83.13,16,13,28,80.0,93.48,16 [13 - 28],83.13% [80.0% - 93.48%],41,0,179,05-26-2020
5,AL- HUNTSVILLE,88.27,78,69,111,82.07,108.72,78 [69 - 111],88.27% [82.07% - 108.72%],155,39,540,05-26-2020
6,AL- MOBILE,89.0,137,122,178,82.35,106.25,137 [122 - 178],89.0% [82.35% - 106.25%],257,67,750,05-26-2020
7,AL- MONTGOMERY,88.02,66,58,95,81.49,110.21,66 [58 - 95],88.02% [81.49% - 110.21%],123,23,467,05-26-2020
9,AL- TUSCALOOSA,90.63,52,46,70,81.4,112.87,52 [46 - 70],90.63% [81.4% - 112.87%],106,14,328,05-26-2020
11,AZ- MESA,98.43,191,173,274,86.72,149.75,191 [173 - 274],98.43% [86.72% - 149.75%],364,133,1381,05-26-2020
12,AZ- PHOENIX,91.99,479,433,683,84.36,124.63,479 [433 - 683],91.99% [84.36% - 124.63%],908,330,3381,05-26-2020
14,AZ- SUN CITY,87.74,29,26,44,82.84,109.26,29 [26 - 44],87.74% [82.84% - 109.26%],62,23,237,05-26-2020
15,AZ- TUCSON,89.11,121,109,191,82.89,121.56,121 [109 - 191],89.11% [82.89% - 121.56%],229,73,1049,05-26-2020
16,AR- FORT SMITH,81.35,7,6,14,80.0,87.49,7 [6 - 14],81.35% [80.0% - 87.49%],17,0,96,05-26-2020
18,AR- JONESBORO,82.4,9,8,13,80.22,87.85,9 [8 - 13],82.4% [80.22% - 87.85%],21,2,71,05-26-2020
19,AR- LITTLE ROCK,87.17,216,188,256,80.9,96.56,216 [188 - 256],87.17% [80.9% - 96.56%],413,52,956,05-26-2020
21,AR- SPRINGDALE,84.19,21,19,31,80.66,93.91,21 [19 - 31],84.19% [80.66% - 93.91%],44,7,147,05-26-2020
22,AR- TEXARKANA,81.93,7,6,12,80.0,87.96,7 [6 - 12],81.93% [80.0% - 87.96%],18,0,78,05-26-2020
23,CA- ORANGE CO.,103.87,1066,938,1335,85.28,145.4,1066 [938 - 1335],103.87% [85.28% - 145.4%],1826,404,5004,05-26-2020
25,CA- BAKERSFIELD,92.48,242,211,331,82.13,121.18,242 [211 - 331],92.48% [82.13% - 121.18%],451,77,1489,05-26-2020
31,CA- CHICO,101.14,69,60,94,82.81,147.5,69 [60 - 94],101.14% [82.81% - 147.5%],135,18,432,05-26-2020
33,CA- CONTRA COSTA CO.,128.78,486,434,552,92.23,175.16,486 [434 - 552],128.78% [92.23% - 175.16%],977,245,1906,05-26-2020
43,CA- FRESNO,102.15,272,238,368,83.68,151.57,272 [238 - 368],102.15% [83.68% - 151.57%],505,84,1634,05-26-2020
56,CA- LOS ANGELES,101.37,3089,2715,3866,84.71,138.48,3089 [2715 - 3866],101.37% [84.71% - 138.48%],5299,1167,14505,05-26-2020
58,CA- MODESTO,119.82,354,313,426,88.26,177.38,354 [313 - 426],119.82% [88.26% - 177.38%],684,142,1674,05-26-2020
62,CA- NAPA,116.35,105,94,125,87.39,162.99,105 [94 - 125],116.35% [87.39% - 162.99%],211,43,483,05-26-2020
65,CA- ALAMEDA CO.,122.08,706,630,801,90.71,161.09,706 [630 - 801],122.08% [90.71% - 161.09%],1421,362,2740,05-26-2020
69,CA- PALM SPR/RANCHO MIR.,99.08,103,91,131,83.8,133.28,103 [91 - 131],99.08% [83.8% - 133.28%],200,40,561,05-26-2020
73,CA- REDDING,99.64,106,93,130,83.33,127.87,106 [93 - 130],99.64% [83.33% - 127.87%],212,36,518,05-26-2020
77,CA- SACRAMENTO,122.99,1058,937,1252,89.59,179.39,1058 [937 - 1252],122.99% [89.59% - 179.39%],2056,459,4755,05-26-2020
78,CA- SALINAS,121.87,167,149,199,88.95,175.96,167 [149 - 199],121.87% [88.95% - 175.96%],332,71,761,05-26-2020
79,CA- SAN BERNARDINO,110.25,998,878,1262,86.4,164.9,998 [878 - 1262],110.25% [86.4% - 164.9%],1749,370,4909,05-26-2020
80,CA- SAN DIEGO,114.05,1348,1189,1639,87.75,167.36,1348 [1189 - 1639],114.05% [87.75% - 167.36%],2394,545,6144,05-26-2020
81,CA- SAN FRANCISCO,104.7,623,556,707,86.33,127.8,623 [556 - 707],104.7% [86.33% - 127.8%],1253,321,2425,05-26-2020
82,CA- SAN JOSE,130.27,752,672,850,93.02,175.27,752 [672 - 850],130.27% [93.02% - 175.27%],1521,394,2883,05-26-2020
83,CA- SAN LUIS OBISPO,118.06,89,79,109,87.46,176.93,89 [79 - 109],118.06% [87.46% - 176.93%],173,34,442,05-26-2020
85,CA- SAN MATEO CO.,107.53,366,327,413,87.12,132.15,366 [327 - 413],107.53% [87.12% - 132.15%],742,192,1406,05-26-2020
86,CA- SANTA BARBARA,109.41,147,130,184,86.0,159.81,147 [130 - 184],109.41% [86.0% - 159.81%],284,58,771,05-26-2020
87,CA- SANTA CRUZ,148.28,119,107,138,96.16,219.83,119 [107 - 138],148.28% [96.16% - 219.83%],245,58,502,05-26-2020
89,CA- SANTA ROSA,103.1,214,191,247,85.53,127.66,214 [191 - 247],103.1% [85.53% - 127.66%],429,103,887,05-26-2020
91,CA- STOCKTON,128.45,258,230,303,91.1,186.3,258 [230 - 303],128.45% [91.1% - 186.3%],514,118,1130,05-26-2020
96,CA- VENTURA,113.04,270,238,339,86.74,170.4,270 [238 - 339],113.04% [86.74% - 170.4%],519,106,1422,05-26-2020
101,CO- BOULDER,91.8,28,26,39,83.79,123.37,28 [26 - 39],91.8% [83.79% - 123.37%],56,18,206,05-26-2020
102,CO- COLORADO SPRINGS,89.53,49,45,75,83.48,121.16,49 [45 - 75],89.53% [83.48% - 121.16%],98,36,426,05-26-2020
103,CO- DENVER,90.2,238,216,340,83.24,118.81,238 [216 - 340],90.2% [83.24% - 118.81%],487,155,1854,05-26-2020
104,CO- FORT COLLINS,86.6,21,19,30,81.88,106.29,21 [19 - 30],86.6% [81.88% - 106.29%],42,12,168,05-26-2020
105,CO- GRAND JUNCTION,87.52,28,25,39,81.01,106.01,28 [25 - 39],87.52% [81.01% - 106.01%],59,8,206,05-26-2020
106,CO- GREELEY,86.48,21,20,35,82.45,109.73,21 [20 - 35],86.48% [82.45% - 109.73%],50,19,231,05-26-2020
107,CO- PUEBLO,82.25,7,6,11,80.0,89.02,7 [6 - 11],82.25% [80.0% - 89.02%],17,0,72,05-26-2020
109,CT- BRIDGEPORT,91.21,82,74,104,83.13,109.26,82 [74 - 104],91.21% [83.13% - 109.26%],189,53,496,05-26-2020
