date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
06-21-2020,67,16,252
06-22-2020,67,15,253
06-23-2020,67,15,254
06-24-2020,67,15,254
06-25-2020,67,15,255
06-26-2020,66,14,255
06-27-2020,66,14,255
06-28-2020,66,14,255
06-29-2020,66,14,255
06-30-2020,66,14,255
07-01-2020,65,13,255
07-02-2020,65,13,254
07-03-2020,65,13,254
07-04-2020,65,13,253
07-05-2020,65,13,252
07-06-2020,64,13,251
07-07-2020,64,12,250
07-08-2020,64,12,249
07-09-2020,64,12,247
07-10-2020,63,12,246
07-11-2020,63,12,244
07-12-2020,63,12,243
07-13-2020,62,11,241
07-14-2020,62,11,239
07-15-2020,62,11,237
07-16-2020,61,11,235
07-17-2020,61,11,233
07-18-2020,61,11,230
07-19-2020,60,11,228
07-20-2020,60,10,226
07-21-2020,60,10,223
07-22-2020,59,10,221
07-23-2020,59,10,218
07-24-2020,59,10,215
07-25-2020,58,10,213
07-26-2020,58,10,210
07-27-2020,58,10,207
07-28-2020,57,9,204
07-29-2020,57,9,201
07-30-2020,57,9,198
07-31-2020,56,9,195
08-01-2020,56,9,192
08-02-2020,56,9,189
08-03-2020,55,9,186
08-04-2020,55,9,183
08-05-2020,55,9,180
08-06-2020,54,9,177
08-07-2020,54,8,174
08-08-2020,53,8,171
08-09-2020,53,8,168
08-10-2020,53,8,165
08-11-2020,52,8,162
08-12-2020,52,8,158
08-13-2020,51,8,155
08-14-2020,51,8,152
08-15-2020,51,8,149
