HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Hospitalizations (Range),Projected Demand (Range),Last Update
1,AL- BIRMINGHAM,81.62,134,120,189,80.37,85.75,134 [120 - 189],81.62% [80.37% - 85.75%],05-12-2020
2,AL- DOTHAN,80.0,0,0,1,80.0,80.53,0 [0 - 1],80.0% [80.0% - 80.53%],05-12-2020
5,AL- HUNTSVILLE,81.1,14,14,25,80.37,84.47,14 [14 - 25],81.1% [80.37% - 84.47%],05-12-2020
6,AL- MOBILE,81.66,42,39,56,80.7,84.52,42 [39 - 56],81.66% [80.7% - 84.52%],05-12-2020
7,AL- MONTGOMERY,80.97,14,12,21,80.0,84.01,14 [12 - 21],80.97% [80.0% - 84.01%],05-12-2020
9,AL- TUSCALOOSA,81.46,14,13,18,80.4,84.71,14 [13 - 18],81.46% [80.4% - 84.71%],05-12-2020
11,AZ- MESA,88.61,168,152,207,83.13,100.86,168 [152 - 207],88.61% [83.13% - 100.86%],05-12-2020
12,AZ- PHOENIX,85.53,415,374,512,81.99,93.43,415 [374 - 512],85.53% [81.99% - 93.43%],05-12-2020
14,AZ- SUN CITY,83.6,26,24,33,81.23,88.64,26 [24 - 33],83.6% [81.23% - 88.64%],05-12-2020
15,AZ- TUCSON,84.3,105,94,132,81.43,91.05,105 [94 - 132],84.3% [81.43% - 91.05%],05-12-2020
16,AR- FORT SMITH,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
18,AR- JONESBORO,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
19,AR- LITTLE ROCK,80.15,3,3,14,80.05,81.37,3 [3 - 14],80.15% [80.05% - 81.37%],05-12-2020
21,AR- SPRINGDALE,80.0,0,0,1,80.0,81.14,0 [0 - 1],80.0% [80.0% - 81.14%],05-12-2020
22,AR- TEXARKANA,80.0,0,0,0,80.0,80.61,0 [0 - 0],80.0% [80.0% - 80.61%],05-12-2020
23,CA- ORANGE CO.,82.95,224,202,300,80.93,89.32,224 [202 - 300],82.95% [80.93% - 89.32%],05-12-2020
25,CA- BAKERSFIELD,81.1,35,32,49,80.3,83.57,35 [32 - 49],81.1% [80.3% - 83.57%],05-12-2020
31,CA- CHICO,80.92,0,0,6,80.0,85.62,0 [0 - 6],80.92% [80.0% - 85.62%],05-12-2020
33,CA- CONTRA COSTA CO.,88.25,163,147,213,82.6,104.66,163 [147 - 213],88.25% [82.6% - 104.66%],05-12-2020
43,CA- FRESNO,81.92,42,37,59,80.44,86.44,42 [37 - 59],81.92% [80.44% - 86.44%],05-12-2020
56,CA- LOS ANGELES,82.65,658,592,880,80.83,88.43,658 [592 - 880],82.65% [80.83% - 88.43%],05-12-2020
58,CA- MODESTO,84.58,76,68,103,81.28,94.72,76 [68 - 103],84.58% [81.28% - 94.72%],05-12-2020
62,CA- NAPA,84.96,28,25,36,80.86,94.78,28 [25 - 36],84.96% [80.86% - 94.78%],05-12-2020
65,CA- ALAMEDA CO.,87.34,246,222,320,82.34,101.84,246 [222 - 320],87.34% [82.34% - 101.84%],05-12-2020
69,CA- PALM SPR/RANCHO MIR.,82.0,21,19,28,80.57,86.36,21 [19 - 28],82.0% [80.57% - 86.36%],05-12-2020
73,CA- REDDING,82.24,21,19,31,80.46,87.95,21 [19 - 31],82.24% [80.46% - 87.95%],05-12-2020
77,CA- SACRAMENTO,85.77,273,245,361,81.63,97.91,273 [245 - 361],85.77% [81.63% - 97.91%],05-12-2020
78,CA- SALINAS,85.24,35,32,49,81.39,96.39,35 [32 - 49],85.24% [81.39% - 96.39%],05-12-2020
79,CA- SAN BERNARDINO,83.4,191,172,259,81.05,90.88,191 [172 - 259],83.4% [81.05% - 90.88%],05-12-2020
80,CA- SAN DIEGO,84.45,308,277,414,81.35,94.23,308 [277 - 414],84.45% [81.35% - 94.23%],05-12-2020
81,CA- SAN FRANCISCO,84.34,218,197,282,81.38,92.81,218 [197 - 282],84.34% [81.38% - 92.81%],05-12-2020
82,CA- SAN JOSE,89.27,276,249,358,82.91,107.33,276 [249 - 358],89.27% [82.91% - 107.33%],05-12-2020
83,CA- SAN LUIS OBISPO,85.08,21,19,27,81.1,94.69,21 [19 - 27],85.08% [81.1% - 94.69%],05-12-2020
85,CA- SAN MATEO CO.,85.06,131,119,171,81.63,94.8,131 [119 - 171],85.06% [81.63% - 94.8%],05-12-2020
86,CA- SANTA BARBARA,83.39,28,25,38,80.62,90.25,28 [25 - 38],83.39% [80.62% - 90.25%],05-12-2020
87,CA- SANTA CRUZ,90.8,35,32,47,83.34,111.75,35 [32 - 47],90.8% [83.34% - 111.75%],05-12-2020
89,CA- SANTA ROSA,83.35,56,51,77,80.97,90.64,56 [51 - 77],83.35% [80.97% - 90.64%],05-12-2020
91,CA- STOCKTON,86.72,70,63,92,81.88,100.6,70 [63 - 92],86.72% [81.88% - 100.6%],05-12-2020
96,CA- VENTURA,83.72,56,51,76,81.21,91.7,56 [51 - 76],83.72% [81.21% - 91.7%],05-12-2020
101,CO- BOULDER,88.19,35,32,42,81.89,97.47,35 [32 - 42],88.19% [81.89% - 97.47%],05-12-2020
102,CO- COLORADO SPRINGS,86.5,65,58,77,81.74,94.3,65 [58 - 77],86.5% [81.74% - 94.3%],05-12-2020
103,CO- DENVER,87.36,350,313,417,81.88,96.62,350 [313 - 417],87.36% [81.88% - 96.62%],05-12-2020
104,CO- FORT COLLINS,84.35,27,25,32,81.41,90.17,27 [25 - 32],84.35% [81.41% - 90.17%],05-12-2020
105,CO- GRAND JUNCTION,86.6,49,44,56,81.39,92.5,49 [44 - 56],86.6% [81.39% - 92.5%],05-12-2020
106,CO- GREELEY,85.2,35,32,42,81.16,91.07,35 [32 - 42],85.2% [81.16% - 91.07%],05-12-2020
107,CO- PUEBLO,81.17,7,6,9,80.0,82.76,7 [6 - 9],81.17% [80.0% - 82.76%],05-12-2020
109,CT- BRIDGEPORT,89.36,154,140,195,84.13,105.6,154 [140 - 195],89.36% [84.13% - 105.6%],05-12-2020
110,CT- HARTFORD,84.89,154,139,208,81.47,96.31,154 [139 - 208],84.89% [81.47% - 96.31%],05-12-2020
111,CT- NEW HAVEN,85.68,217,198,290,82.52,98.77,217 [198 - 290],85.68% [82.52% - 98.77%],05-12-2020
112,DE- WILMINGTON,84.91,85,78,102,82.04,90.69,85 [78 - 102],84.91% [82.04% - 90.69%],05-12-2020
113,DC- WASHINGTON,97.68,966,886,1099,87.94,112.81,966 [886 - 1099],97.68% [87.94% - 112.81%],05-12-2020
115,FL- BRADENTON,80.97,0,0,3,80.0,83.81,0 [0 - 3],80.97% [80.0% - 83.81%],05-12-2020
116,FL- CLEARWATER,80.77,7,7,11,80.24,82.5,7 [7 - 11],80.77% [80.24% - 82.5%],05-12-2020
118,FL- FORT LAUDERDALE,81.11,91,82,128,80.34,84.02,91 [82 - 128],81.11% [80.34% - 84.02%],05-12-2020
119,FL- FORT MYERS,80.74,25,23,39,80.37,83.27,25 [23 - 39],80.74% [80.37% - 83.27%],05-12-2020
120,FL- GAINESVILLE,80.41,7,6,11,80.0,82.12,7 [6 - 11],80.41% [80.0% - 82.12%],05-12-2020
122,FL- HUDSON,80.43,2,1,6,80.24,82.64,2 [1 - 6],80.43% [80.24% - 82.64%],05-12-2020
123,FL- JACKSONVILLE,80.64,28,26,42,80.14,82.63,28 [26 - 42],80.64% [80.14% - 82.63%],05-12-2020
124,FL- LAKELAND,80.92,7,7,10,80.37,82.81,7 [7 - 10],80.92% [80.37% - 82.81%],05-12-2020
127,FL- MIAMI,81.05,111,101,157,80.36,83.98,111 [101 - 157],81.05% [80.36% - 83.98%],05-12-2020
129,FL- OCALA,80.55,7,6,10,80.0,82.49,7 [6 - 10],80.55% [80.0% - 82.49%],05-12-2020
130,FL- ORLANDO,80.71,69,61,98,80.14,82.61,69 [61 - 98],80.71% [80.14% - 82.61%],05-12-2020
131,FL- ORMOND BEACH,80.27,0,0,4,80.06,81.75,0 [0 - 4],80.27% [80.06% - 81.75%],05-12-2020
133,FL- PANAMA CITY,80.0,0,0,1,80.0,81.05,0 [0 - 1],80.0% [80.0% - 81.05%],05-12-2020
134,FL- PENSACOLA,80.61,13,11,18,80.0,81.96,13 [11 - 18],80.61% [80.0% - 81.96%],05-12-2020
137,FL- SARASOTA,80.51,7,7,11,80.0,82.56,7 [7 - 11],80.51% [80.0% - 82.56%],05-12-2020
139,FL- ST PETERSBURG,80.64,7,7,10,80.19,82.13,7 [7 - 10],80.64% [80.19% - 82.13%],05-12-2020
140,FL- TALLAHASSEE,81.05,28,24,43,80.0,84.56,28 [24 - 43],81.05% [80.0% - 84.56%],05-12-2020
141,FL- TAMPA,80.78,29,27,42,80.35,82.82,29 [27 - 42],80.78% [80.35% - 82.82%],05-12-2020
142,GA- ALBANY,85.51,56,50,67,80.75,92.42,56 [50 - 67],85.51% [80.75% - 92.42%],05-12-2020
144,GA- ATLANTA,86.79,812,731,1050,82.15,99.64,812 [731 - 1050],86.79% [82.15% - 99.64%],05-12-2020
145,GA- AUGUSTA,80.92,21,18,29,80.04,83.05,21 [18 - 29],80.92% [80.04% - 83.05%],05-12-2020
146,GA- COLUMBUS,82.19,21,20,27,80.79,84.92,21 [20 - 27],82.19% [80.79% - 84.92%],05-12-2020
147,GA- MACON,80.78,14,12,31,80.0,85.59,14 [12 - 31],80.78% [80.0% - 85.59%],05-12-2020
148,GA- ROME,85.08,35,32,46,81.37,95.85,35 [32 - 46],85.08% [81.37% - 95.85%],05-12-2020
149,GA- SAVANNAH,81.29,20,19,32,80.63,84.71,20 [19 - 32],81.29% [80.63% - 84.71%],05-12-2020
151,ID- BOISE,80.49,7,7,11,80.19,81.93,7 [7 - 11],80.49% [80.19% - 81.93%],05-12-2020
152,ID- IDAHO FALLS,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
154,IL- AURORA,101.67,110,100,134,87.21,129.34,110 [100 - 134],101.67% [87.21% - 129.34%],05-12-2020
155,IL- BLUE ISLAND,90.39,261,237,312,83.86,103.3,261 [237 - 312],90.39% [83.86% - 103.3%],05-12-2020
156,IL- CHICAGO,90.28,876,794,1047,83.83,103.06,876 [794 - 1047],90.28% [83.83% - 103.06%],05-12-2020
158,IL- ELGIN,104.06,257,234,309,89.02,134.33,257 [234 - 309],104.06% [89.02% - 134.33%],05-12-2020
161,IL- EVANSTON,94.55,348,316,416,85.46,112.62,348 [316 - 416],94.55% [85.46% - 112.62%],05-12-2020
163,IL- HINSDALE,95.43,166,151,200,85.64,114.91,166 [151 - 200],95.43% [85.64% - 114.91%],05-12-2020
164,IL- JOLIET,97.73,232,210,279,86.49,120.35,232 [210 - 279],97.73% [86.49% - 120.35%],05-12-2020
166,IL- MELROSE PARK,95.09,462,418,554,85.56,114.0,462 [418 - 554],95.09% [85.56% - 114.0%],05-12-2020
170,IL- PEORIA,83.76,65,57,84,80.91,89.79,65 [57 - 84],83.76% [80.91% - 89.79%],05-12-2020
171,IL- ROCKFORD,90.29,157,143,194,84.05,104.76,157 [143 - 194],90.29% [84.05% - 104.76%],05-12-2020
172,IL- SPRINGFIELD,82.02,46,39,67,80.24,86.6,46 [39 - 67],82.02% [80.24% - 86.6%],05-12-2020
173,IL- URBANA,83.33,33,29,43,80.58,89.34,33 [29 - 43],83.33% [80.58% - 89.34%],05-12-2020
175,IL- BLOOMINGTON,91.0,27,24,34,82.25,107.34,27 [24 - 34],91.0% [82.25% - 107.34%],05-12-2020
179,IN- EVANSVILLE,81.06,21,18,22,80.0,81.27,21 [18 - 22],81.06% [80.0% - 81.27%],05-12-2020
180,IN- FORT WAYNE,81.95,42,40,53,80.95,85.11,42 [40 - 53],81.95% [80.95% - 85.11%],05-12-2020
181,IN- GARY,97.49,258,234,305,86.44,115.92,258 [234 - 305],97.49% [86.44% - 115.92%],05-12-2020
183,IN- INDIANAPOLIS,88.74,560,496,707,81.95,103.7,560 [496 - 707],88.74% [81.95% - 103.7%],05-12-2020
184,IN- LAFAYETTE,83.85,26,22,34,80.0,91.34,26 [22 - 34],83.85% [80.0% - 91.34%],05-12-2020
185,IN- MUNCIE,85.15,21,18,24,80.0,90.98,21 [18 - 24],85.15% [80.0% - 90.98%],05-12-2020
186,IN- MUNSTER,94.53,164,151,195,86.15,111.2,164 [151 - 195],94.53% [86.15% - 111.2%],05-12-2020
187,IN- SOUTH BEND,85.58,82,75,104,82.09,93.67,82 [75 - 104],85.58% [82.09% - 93.67%],05-12-2020
188,IN- TERRE HAUTE,81.71,9,6,12,80.0,83.9,9 [6 - 12],81.71% [80.0% - 83.9%],05-12-2020
190,IA- CEDAR RAPIDS,88.7,94,84,114,82.24,99.8,94 [84 - 114],88.7% [82.24% - 99.8%],05-12-2020
191,IA- DAVENPORT,82.39,52,46,63,80.54,85.53,52 [46 - 63],82.39% [80.54% - 85.53%],05-12-2020
192,IA- DES MOINES,84.16,134,119,177,81.12,92.24,134 [119 - 177],84.16% [81.12% - 92.24%],05-12-2020
193,IA- DUBUQUE,85.33,27,25,31,81.28,89.54,27 [25 - 31],85.33% [81.28% - 89.54%],05-12-2020
194,IA- IOWA CITY,84.7,88,79,107,81.24,90.91,88 [79 - 107],84.7% [81.24% - 90.91%],05-12-2020
195,IA- MASON CITY,80.85,0,0,4,80.0,83.27,0 [0 - 4],80.85% [80.0% - 83.27%],05-12-2020
196,IA- SIOUX CITY,82.92,32,28,41,80.53,87.33,32 [28 - 41],82.92% [80.53% - 87.33%],05-12-2020
197,IA- WATERLOO,84.46,22,19,31,80.94,91.89,22 [19 - 31],84.46% [80.94% - 91.89%],05-12-2020
200,KS- TOPEKA,81.87,28,26,47,80.58,88.4,28 [26 - 47],81.87% [80.58% - 88.4%],05-12-2020
201,KS- WICHITA,81.22,59,53,83,80.36,84.26,59 [53 - 83],81.22% [80.36% - 84.26%],05-12-2020
203,KY- COVINGTON,83.63,35,31,44,80.0,88.99,35 [31 - 44],83.63% [80.0% - 88.99%],05-12-2020
204,KY- LEXINGTON,81.65,83,72,141,80.38,88.57,83 [72 - 141],81.65% [80.38% - 88.57%],05-12-2020
205,KY- LOUISVILLE,82.98,140,126,192,80.83,89.63,140 [126 - 192],82.98% [80.83% - 89.63%],05-12-2020
207,KY- OWENSBORO,80.0,0,0,2,80.0,84.24,0 [0 - 2],80.0% [80.0% - 84.24%],05-12-2020
208,KY- PADUCAH,80.2,0,0,0,80.0,80.37,0 [0 - 0],80.2% [80.0% - 80.37%],05-12-2020
209,LA- ALEXANDRIA,80.0,0,0,0,80.0,80.61,0 [0 - 0],80.0% [80.0% - 80.61%],05-12-2020
210,LA- BATON ROUGE,81.29,29,25,41,80.24,84.52,29 [25 - 41],81.29% [80.24% - 84.52%],05-12-2020
212,LA- HOUMA,81.78,7,7,11,80.0,84.85,7 [7 - 11],81.78% [80.0% - 84.85%],05-12-2020
213,LA- LAFAYETTE,80.29,0,0,3,80.0,81.2,0 [0 - 3],80.29% [80.0% - 81.2%],05-12-2020
214,LA- LAKE CHARLES,80.0,0,0,0,80.0,80.69,0 [0 - 0],80.0% [80.0% - 80.69%],05-12-2020
216,LA- METAIRIE,83.64,33,30,44,80.79,90.78,33 [30 - 44],83.64% [80.79% - 90.78%],05-12-2020
217,LA- MONROE,80.0,0,0,0,80.0,80.65,0 [0 - 0],80.0% [80.0% - 80.65%],05-12-2020
218,LA- NEW ORLEANS,82.58,59,53,75,80.54,87.01,59 [53 - 75],82.58% [80.54% - 87.01%],05-12-2020
219,LA- SHREVEPORT,80.23,0,0,3,80.0,80.8,0 [0 - 3],80.23% [80.0% - 80.8%],05-12-2020
220,LA- SLIDELL,86.11,28,25,35,80.4,95.67,28 [25 - 35],86.11% [80.4% - 95.67%],05-12-2020
221,ME- BANGOR,80.18,0,0,1,80.0,80.92,0 [0 - 1],80.18% [80.0% - 80.92%],05-12-2020
222,ME- PORTLAND,81.29,29,26,39,80.38,83.5,29 [26 - 39],81.29% [80.38% - 83.5%],05-12-2020
223,MD- BALTIMORE,94.29,961,868,1152,85.46,112.01,961 [868 - 1152],94.29% [85.46% - 112.01%],05-12-2020
225,MD- SALISBURY,89.08,81,72,97,81.81,99.21,81 [72 - 97],89.08% [81.81% - 99.21%],05-12-2020
226,MD- TAKOMA PARK,112.45,413,380,471,95.23,140.92,413 [380 - 471],112.45% [95.23% - 140.92%],05-12-2020
227,MA- BOSTON,87.87,863,782,1078,82.78,100.95,863 [782 - 1078],87.87% [82.78% - 100.95%],05-12-2020
230,MA- SPRINGFIELD,85.53,84,77,106,81.75,94.24,84 [77 - 106],85.53% [81.75% - 94.24%],05-12-2020
231,MA- WORCESTER,88.26,133,121,168,82.8,102.17,133 [121 - 168],88.26% [82.8% - 102.17%],05-12-2020
232,MI- ANN ARBOR,81.61,49,44,63,80.4,84.6,49 [44 - 63],81.61% [80.4% - 84.6%],05-12-2020
233,MI- DEARBORN,81.39,21,19,26,80.3,83.71,21 [19 - 26],81.39% [80.3% - 83.71%],05-12-2020
234,MI- DETROIT,81.59,71,63,90,80.34,84.38,71 [63 - 90],81.59% [80.34% - 84.38%],05-12-2020
235,MI- FLINT,81.15,9,8,14,80.0,83.47,9 [8 - 14],81.15% [80.0% - 83.47%],05-12-2020
