HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Last Update
1,AL- BIRMINGHAM,91.28,922,783,1515,87.63,94.93,05-05-2020
2,AL- DOTHAN,86.04,71,59,154,82.6,89.48,05-05-2020
5,AL- HUNTSVILLE,89.82,176,149,348,86.23,93.41,05-05-2020
6,AL- MOBILE,91.14,305,259,550,87.49,94.79,05-05-2020
7,AL- MONTGOMERY,89.82,142,120,267,86.23,93.41,05-05-2020
9,AL- TUSCALOOSA,90.99,102,87,178,87.35,94.63,05-05-2020
11,AZ- MESA,100.89,401,343,614,96.85,104.93,05-05-2020
12,AZ- PHOENIX,92.9,950,811,1474,89.18,96.62,05-05-2020
14,AZ- SUN CITY,88.78,66,56,102,85.23,92.33,05-05-2020
15,AZ- TUCSON,88.81,210,178,391,85.26,92.36,05-05-2020
16,AR- FORT SMITH,83.46,39,33,109,80.12,86.8,05-05-2020
18,AR- JONESBORO,83.15,24,20,59,79.82,86.48,05-05-2020
19,AR- LITTLE ROCK,88.18,456,388,691,84.65,91.71,05-05-2020
21,AR- SPRINGDALE,85.94,55,45,137,82.5,89.38,05-05-2020
22,AR- TEXARKANA,83.83,33,28,81,80.48,87.18,05-05-2020
23,CA- ORANGE CO.,98.55,1384,1183,2069,94.61,102.49,05-05-2020
25,CA- BAKERSFIELD,88.07,279,237,533,84.55,91.59,05-05-2020
31,CA- CHICO,94.02,83,70,148,90.26,97.78,05-05-2020
33,CA- CONTRA COSTA CO.,114.86,693,601,822,110.27,119.45,05-05-2020
43,CA- FRESNO,93.97,307,261,574,90.21,97.73,05-05-2020
56,CA- LOS ANGELES,96.57,4012,3430,5987,92.71,100.43,05-05-2020
58,CA- MODESTO,108.32,474,406,644,103.99,112.65,05-05-2020
62,CA- NAPA,104.86,138,118,184,100.67,109.05,05-05-2020
65,CA- ALAMEDA CO.,110.16,1012,878,1189,105.75,114.57,05-05-2020
69,CA- PALM SPR/RANCHO MIR.,93.16,131,112,201,89.43,96.89,05-05-2020
73,CA- REDDING,92.46,129,110,189,88.76,96.16,05-05-2020
77,CA- SACRAMENTO,109.74,1395,1198,1872,105.35,114.13,05-05-2020
78,CA- SALINAS,110.07,232,200,299,105.67,114.47,05-05-2020
79,CA- SAN BERNARDINO,102.57,1268,1082,1940,98.47,106.67,05-05-2020
80,CA- SAN DIEGO,104.19,1660,1421,2411,100.02,108.36,05-05-2020
81,CA- SAN FRANCISCO,97.74,893,775,1052,93.83,101.65,05-05-2020
82,CA- SAN JOSE,116.12,1090,948,1267,111.48,120.76,05-05-2020
83,CA- SAN LUIS OBISPO,104.61,106,91,155,100.43,108.79,05-05-2020
85,CA- SAN MATEO CO.,99.8,530,461,617,95.81,103.79,05-05-2020
86,CA- SANTA BARBARA,98.95,175,149,268,94.99,102.91,05-05-2020
87,CA- SANTA CRUZ,128.83,171,148,207,123.68,133.98,05-05-2020
89,CA- SANTA ROSA,96.45,301,260,369,92.59,100.31,05-05-2020
91,CA- STOCKTON,114.31,357,307,455,109.74,118.88,05-05-2020
96,CA- VENTURA,102.83,346,296,520,98.72,106.94,05-05-2020
101,CO- BOULDER,111.19,142,122,192,106.74,115.64,05-05-2020
102,CO- COLORADO SPRINGS,110.14,301,257,446,105.73,114.55,05-05-2020
103,CO- DENVER,108.2,1324,1138,1781,103.87,112.53,05-05-2020
104,CO- FORT COLLINS,99.1,116,99,164,95.14,103.06,05-05-2020
105,CO- GRAND JUNCTION,98.6,140,120,180,94.66,102.54,05-05-2020
106,CO- GREELEY,100.81,156,134,218,96.78,104.84,05-05-2020
107,CO- PUEBLO,85.82,41,35,74,82.39,89.25,05-05-2020
110,CT- HARTFORD,137.92,1854,1595,2398,132.4,143.44,05-05-2020
111,CT- NEW HAVEN,131.29,1971,1713,2306,126.04,136.54,05-05-2020
112,DE- WILMINGTON,102.24,402,343,591,98.15,106.33,05-05-2020
113,DC- WASHINGTON,123.46,2325,1984,3588,118.52,128.4,05-05-2020
115,FL- BRADENTON,97.0,113,97,177,93.12,100.88,05-05-2020
116,FL- CLEARWATER,90.97,171,146,273,87.33,94.61,05-05-2020
118,FL- FORT LAUDERDALE,95.44,1313,1125,1862,91.62,99.26,05-05-2020
119,FL- FORT MYERS,93.62,505,431,760,89.88,97.36,05-05-2020
120,FL- GAINESVILLE,90.01,176,149,286,86.41,93.61,05-05-2020
122,FL- HUDSON,91.58,138,118,222,87.92,95.24,05-05-2020
123,FL- JACKSONVILLE,91.14,529,451,919,87.49,94.79,05-05-2020
124,FL- LAKELAND,93.17,133,113,219,89.44,96.9,05-05-2020
127,FL- MIAMI,94.81,1564,1341,2175,91.02,98.6,05-05-2020
129,FL- OCALA,92.54,163,139,275,88.84,96.24,05-05-2020
130,FL- ORLANDO,92.27,1234,1051,2030,88.58,95.96,05-05-2020
131,FL- ORMOND BEACH,88.11,128,109,209,84.59,91.63,05-05-2020
133,FL- PANAMA CITY,85.09,29,24,70,81.69,88.49,05-05-2020
134,FL- PENSACOLA,88.71,194,165,359,85.16,92.26,05-05-2020
137,FL- SARASOTA,90.98,151,129,238,87.34,94.62,05-05-2020
139,FL- ST PETERSBURG,89.14,138,118,221,85.57,92.71,05-05-2020
140,FL- TALLAHASSEE,90.89,282,238,487,87.25,94.53,05-05-2020
141,FL- TAMPA,92.43,511,436,814,88.73,96.13,05-05-2020
142,GA- ALBANY,97.73,181,155,220,93.82,101.64,05-05-2020
144,GA- ATLANTA,119.59,4640,3969,6752,114.81,124.37,05-05-2020
145,GA- AUGUSTA,89.26,218,184,428,85.69,92.83,05-05-2020
146,GA- COLUMBUS,94.91,178,152,292,91.11,98.71,05-05-2020
147,GA- MACON,95.88,340,287,588,92.04,99.72,05-05-2020
148,GA- ROME,108.16,200,171,278,103.83,112.49,05-05-2020
149,GA- SAVANNAH,92.95,254,214,512,89.23,96.67,05-05-2020
154,IL- AURORA,113.43,170,146,229,108.89,117.97,05-05-2020
155,IL- BLUE ISLAND,95.59,386,332,512,91.77,99.41,05-05-2020
156,IL- CHICAGO,95.41,1297,1116,1717,91.59,99.23,05-05-2020
158,IL- ELGIN,116.6,388,334,517,111.94,121.26,05-05-2020
161,IL- EVANSTON,101.82,518,446,686,97.75,105.89,05-05-2020
163,IL- HINSDALE,103.39,250,215,333,99.25,107.53,05-05-2020
164,IL- JOLIET,107.56,356,306,480,103.26,111.86,05-05-2020
166,IL- MELROSE PARK,102.73,690,593,916,98.62,106.84,05-05-2020
170,IL- PEORIA,87.75,133,112,252,84.24,91.26,05-05-2020
171,IL- ROCKFORD,99.95,296,252,435,95.95,103.95,05-05-2020
172,IL- SPRINGFIELD,85.56,132,110,284,82.14,88.98,05-05-2020
173,IL- URBANA,88.24,79,66,161,84.71,91.77,05-05-2020
