date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
06-21-2020,3060,1064,8031
06-22-2020,3048,1054,7990
06-23-2020,3037,1047,7915
06-24-2020,3023,1033,7870
06-25-2020,3008,1019,7814
06-26-2020,2979,1006,7749
06-27-2020,2957,992,7681
06-28-2020,2931,982,7602
06-29-2020,2915,973,7538
06-30-2020,2894,959,7471
07-01-2020,2876,945,7393
07-02-2020,2865,932,7333
07-03-2020,2839,920,7260
07-04-2020,2827,910,7177
07-05-2020,2799,902,7089
07-06-2020,2775,890,7010
07-07-2020,2765,887,6935
07-08-2020,2749,875,6868
07-09-2020,2722,871,6781
07-10-2020,2703,859,6698
07-11-2020,2694,852,6618
07-12-2020,2661,846,6524
07-13-2020,2642,843,6444
07-14-2020,2615,841,6357
07-15-2020,2586,833,6270
07-16-2020,2563,825,6196
07-17-2020,2541,820,6110
07-18-2020,2518,808,6020
07-19-2020,2496,801,5947
07-20-2020,2471,797,5868
07-21-2020,2443,786,5792
07-22-2020,2423,779,5705
07-23-2020,2399,775,5626
07-24-2020,2374,768,5559
07-25-2020,2347,760,5490
07-26-2020,2319,754,5414
07-27-2020,2299,740,5331
07-28-2020,2275,736,5258
07-29-2020,2249,730,5174
07-30-2020,2215,727,5097
07-31-2020,2186,716,5021
08-01-2020,2147,706,4955
08-02-2020,2109,702,4878
08-03-2020,2076,696,4804
08-04-2020,2043,686,4741
08-05-2020,2014,680,4667
08-06-2020,1983,675,4595
08-07-2020,1939,665,4533
08-08-2020,1916,660,4475
08-09-2020,1884,655,4401
08-10-2020,1855,646,4338
08-11-2020,1830,638,4269
08-12-2020,1801,633,4206
08-13-2020,1765,631,4137
08-14-2020,1728,626,4075
08-15-2020,1695,620,4021
