HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Last Update
1,AL- BIRMINGHAM,90,467,419,551,86.4,93.6,04-27-2020
2,AL- DOTHAN,81,7,6,16,77.76,84.24,04-27-2020
5,AL- HUNTSVILLE,87,75,64,89,83.52,90.48,04-27-2020
6,AL- MOBILE,89,147,131,173,85.44,92.56,04-27-2020
7,AL- MONTGOMERY,87,61,54,72,83.52,90.48,04-27-2020
9,AL- TUSCALOOSA,87,36,32,46,83.52,90.48,04-27-2020
11,AZ- MESA,97,187,169,217,93.12,100.88,04-27-2020
12,AZ- PHOENIX,91,456,410,529,87.36,94.64,04-27-2020
14,AZ- SUN CITY,87,29,26,34,83.52,90.48,04-27-2020
15,AZ- TUCSON,86,94,84,111,82.56,89.44,04-27-2020
16,AR- FORT SMITH,80,0,0,2,76.8,83.2,04-27-2020
18,AR- JONESBORO,80,7,6,8,76.8,83.2,04-27-2020
19,AR- LITTLE ROCK,84,149,134,180,80.64,87.36,04-27-2020
21,AR- SPRINGDALE,82,14,12,18,78.72,85.28,04-27-2020
22,AR- TEXARKANA,80,2,1,3,76.8,83.2,04-27-2020
23,CA- ORANGE CO.,90,452,406,537,86.4,93.6,04-27-2020
25,CA- BAKERSFIELD,83,75,67,90,79.68,86.32,04-27-2020
31,CA- CHICO,84,17,16,21,80.64,87.36,04-27-2020
33,CA- CONTRA COSTA CO.,109,326,294,378,104.64,113.36,04-27-2020
43,CA- FRESNO,86,82,72,99,82.56,89.44,04-27-2020
56,CA- LOS ANGELES,89,1324,1187,1570,85.44,92.56,04-27-2020
58,CA- MODESTO,97,163,146,193,93.12,100.88,04-27-2020
62,CA- NAPA,96,49,43,60,92.16,99.84,04-27-2020
65,CA- ALAMEDA CO.,106,495,447,574,101.76,110.24,04-27-2020
69,CA- PALM SPR/RANCHO MIR.,87,39,35,47,83.52,90.48,04-27-2020
73,CA- REDDING,86,35,31,42,82.56,89.44,04-27-2020
77,CA- SACRAMENTO,99,510,457,600,95.04,102.96,04-27-2020
78,CA- SALINAS,99,87,78,102,95.04,102.96,04-27-2020
79,CA- SAN BERNARDINO,92,398,356,474,88.32,95.68,04-27-2020
80,CA- SAN DIEGO,94,579,519,684,90.24,97.76,04-27-2020
81,CA- SAN FRANCISCO,95,433,390,501,91.2,98.8,04-27-2020
82,CA- SAN JOSE,114,566,512,653,109.44,118.56,04-27-2020
83,CA- SAN LUIS OBISPO,96,38,35,45,92.16,99.84,04-27-2020
85,CA- SAN MATEO CO.,98,271,245,313,94.08,101.92,04-27-2020
86,CA- SANTA BARBARA,91,59,53,70,87.36,94.64,04-27-2020
87,CA- SANTA CRUZ,119,74,67,87,114.24,123.76,04-27-2020
89,CA- SANTA ROSA,92,126,114,148,88.32,95.68,04-27-2020
91,CA- STOCKTON,104,139,124,163,99.84,108.16,04-27-2020
96,CA- VENTURA,93,115,104,136,89.28,96.72,04-27-2020
101,CO- BOULDER,114,83,76,95,109.44,118.56,04-27-2020
102,CO- COLORADO SPRINGS,109,160,144,182,104.64,113.36,04-27-2020
103,CO- DENVER,113,833,756,941,108.48,117.52,04-27-2020
104,CO- FORT COLLINS,99,64,59,74,95.04,102.96,04-27-2020
105,CO- GRAND JUNCTION,111,122,112,136,106.56,115.44,04-27-2020
106,CO- GREELEY,101,87,79,100,96.96,105.04,04-27-2020
107,CO- PUEBLO,84,21,19,24,80.64,87.36,04-27-2020
110,CT- HARTFORD,98,282,254,333,94.08,101.92,04-27-2020
111,CT- NEW HAVEN,106,428,384,499,101.76,110.24,04-27-2020
112,DE- WILMINGTON,92,116,102,139,88.32,95.68,04-27-2020
113,DC- WASHINGTON,103,690,618,825,98.88,107.12,04-27-2020
115,FL- BRADENTON,94,52,47,61,90.24,97.76,04-27-2020
116,FL- CLEARWATER,89,78,70,90,85.44,92.56,04-27-2020
118,FL- FORT LAUDERDALE,94,696,628,802,90.24,97.76,04-27-2020
119,FL- FORT MYERS,92,246,222,285,88.32,95.68,04-27-2020
120,FL- GAINESVILLE,87,75,65,89,83.52,90.48,04-27-2020
122,FL- HUDSON,89,60,54,70,85.44,92.56,04-27-2020
123,FL- JACKSONVILLE,88,215,192,256,84.48,91.52,04-27-2020
124,FL- LAKELAND,90,60,54,70,86.4,93.6,04-27-2020
127,FL- MIAMI,94,855,774,983,90.24,97.76,04-27-2020
129,FL- OCALA,90,75,67,87,86.4,93.6,04-27-2020
130,FL- ORLANDO,90,567,510,660,86.4,93.6,04-27-2020
131,FL- ORMOND BEACH,86,59,54,69,82.56,89.44,04-27-2020
133,FL- PANAMA CITY,82,7,6,9,78.72,85.28,04-27-2020
134,FL- PENSACOLA,86,78,70,96,82.56,89.44,04-27-2020
137,FL- SARASOTA,89,71,63,81,85.44,92.56,04-27-2020
139,FL- ST PETERSBURG,87,63,57,73,83.52,90.48,04-27-2020
