HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Hospitalizations (Range),Projected Demand (Range),Last Update
1,AL- BIRMINGHAM,86.15,274,241,346,81.14,96.66,274 [241 - 346],86.15% [81.14% - 96.66%],05-12-2020
2,AL- DOTHAN,81.13,7,6,14,80.0,87.91,7 [6 - 14],81.13% [80.0% - 87.91%],05-12-2020
5,AL- HUNTSVILLE,85.8,57,51,70,81.01,93.88,57 [51 - 70],85.8% [81.01% - 93.88%],05-12-2020
6,AL- MOBILE,84.84,71,64,93,81.93,93.9,71 [64 - 93],84.84% [81.93% - 93.9%],05-12-2020
7,AL- MONTGOMERY,84.76,35,32,47,80.97,93.45,35 [32 - 47],84.76% [80.97% - 93.45%],05-12-2020
9,AL- TUSCALOOSA,84.37,21,20,31,81.4,96.03,21 [20 - 31],84.37% [81.4% - 96.03%],05-12-2020
11,AZ- MESA,104.5,259,237,329,90.76,146.26,259 [237 - 329],104.5% [90.76% - 146.26%],05-12-2020
12,AZ- PHOENIX,95.51,638,583,806,86.77,122.03,638 [583 - 806],95.51% [86.77% - 122.03%],05-12-2020
14,AZ- SUN CITY,90.27,41,38,53,84.44,107.78,41 [38 - 53],90.27% [84.44% - 107.78%],05-12-2020
15,AZ- TUCSON,92.51,170,155,227,84.83,118.19,170 [155 - 227],92.51% [84.83% - 118.19%],05-12-2020
16,AR- FORT SMITH,80.0,0,0,5,80.0,82.42,0 [0 - 5],80.0% [80.0% - 82.42%],05-12-2020
18,AR- JONESBORO,80.0,0,0,0,80.0,81.33,0 [0 - 0],80.0% [80.0% - 81.33%],05-12-2020
19,AR- LITTLE ROCK,82.12,56,49,75,80.21,86.29,56 [49 - 75],82.12% [80.21% - 86.29%],05-12-2020
21,AR- SPRINGDALE,82.31,7,6,9,80.0,84.82,7 [6 - 9],82.31% [80.0% - 84.82%],05-12-2020
22,AR- TEXARKANA,80.9,0,0,4,80.0,84.08,0 [0 - 4],80.9% [80.0% - 84.08%],05-12-2020
23,CA- ORANGE CO.,86.71,273,247,376,82.5,102.85,273 [247 - 376],86.71% [82.5% - 102.85%],05-12-2020
25,CA- BAKERSFIELD,82.63,48,44,72,80.94,89.96,48 [44 - 72],82.63% [80.94% - 89.96%],05-12-2020
31,CA- CHICO,83.54,7,7,15,81.41,98.12,7 [7 - 15],83.54% [81.41% - 98.12%],05-12-2020
33,CA- CONTRA COSTA CO.,95.63,158,142,206,85.34,127.53,158 [142 - 206],95.63% [85.34% - 127.53%],05-12-2020
43,CA- FRESNO,84.46,53,47,79,81.1,97.61,53 [47 - 79],84.46% [81.1% - 97.61%],05-12-2020
56,CA- LOS ANGELES,85.87,773,699,1073,82.14,100.39,773 [699 - 1073],85.87% [82.14% - 100.39%],05-12-2020
58,CA- MODESTO,90.48,94,84,130,83.03,115.54,94 [84 - 130],90.48% [83.03% - 115.54%],05-12-2020
62,CA- NAPA,89.93,28,25,39,81.89,112.82,28 [25 - 39],89.93% [81.89% - 112.82%],05-12-2020
65,CA- ALAMEDA CO.,93.69,235,214,306,84.82,121.37,235 [214 - 306],93.69% [84.82% - 121.37%],05-12-2020
