HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Last Update
1,AL- BIRMINGHAM,90.51,444,395,557,82.64,108.81,444 [395 - 557],90.51% [82.64% - 108.81%],05-18-2020
2,AL- DOTHAN,83.68,21,19,33,80.6,94.01,21 [19 - 33],83.68% [80.6% - 94.01%],05-18-2020
5,AL- HUNTSVILLE,89.37,85,76,113,82.45,108.35,85 [76 - 113],89.37% [82.45% - 108.35%],05-18-2020
6,AL- MOBILE,87.08,101,91,135,82.38,102.02,101 [91 - 135],87.08% [82.38% - 102.02%],05-18-2020
7,AL- MONTGOMERY,88.98,70,63,94,82.33,109.37,70 [63 - 94],88.98% [82.33% - 109.37%],05-18-2020
9,AL- TUSCALOOSA,91.09,53,47,68,81.7,111.06,53 [47 - 68],91.09% [81.7% - 111.06%],05-18-2020
11,AZ- MESA,100.89,208,191,278,88.59,147.68,208 [191 - 278],100.89% [88.59% - 147.68%],05-18-2020
12,AZ- PHOENIX,93.28,514,469,682,85.43,122.84,514 [469 - 682],93.28% [85.43% - 122.84%],05-18-2020
14,AZ- SUN CITY,88.77,35,33,47,83.58,108.4,35 [33 - 47],88.77% [83.58% - 108.4%],05-18-2020
15,AZ- TUCSON,90.92,140,127,200,83.65,120.81,140 [127 - 200],90.92% [83.65% - 120.81%],05-18-2020
16,AR- FORT SMITH,80.64,0,0,6,80.0,86.09,0 [0 - 6],80.64% [80.0% - 86.09%],05-18-2020
18,AR- JONESBORO,80.91,0,0,3,80.0,84.65,0 [0 - 3],80.91% [80.0% - 84.65%],05-18-2020
19,AR- LITTLE ROCK,83.94,106,93,144,80.54,92.82,106 [93 - 144],83.94% [80.54% - 92.82%],05-18-2020
21,AR- SPRINGDALE,83.12,14,13,19,80.76,88.99,14 [13 - 19],83.12% [80.76% - 88.99%],05-18-2020
22,AR- TEXARKANA,83.51,14,13,21,80.92,91.43,14 [13 - 21],83.51% [80.92% - 91.43%],05-18-2020
23,CA- ORANGE CO.,86.69,252,224,335,81.53,101.08,252 [224 - 335],86.69% [81.53% - 101.08%],05-18-2020
25,CA- BAKERSFIELD,82.75,49,44,69,80.5,89.73,49 [44 - 69],82.75% [80.5% - 89.73%],05-18-2020
31,CA- CHICO,84.37,7,6,14,80.0,97.03,7 [6 - 14],84.37% [80.0% - 97.03%],05-18-2020
33,CA- CONTRA COSTA CO.,94.28,134,119,169,83.1,118.84,134 [119 - 169],94.28% [83.1% - 118.84%],05-18-2020
43,CA- FRESNO,84.39,49,43,72,80.57,97.13,49 [43 - 72],84.39% [80.57% - 97.13%],05-18-2020
56,CA- LOS ANGELES,85.87,721,640,960,81.3,98.75,721 [640 - 960],85.87% [81.3% - 98.75%],05-18-2020
58,CA- MODESTO,90.34,84,75,111,81.8,111.82,84 [75 - 111],90.34% [81.8% - 111.82%],05-18-2020
62,CA- NAPA,88.54,21,19,30,81.37,109.21,21 [19 - 30],88.54% [81.37% - 109.21%],05-18-2020
65,CA- ALAMEDA CO.,92.47,200,177,250,82.78,113.56,200 [177 - 250],92.47% [82.78% - 113.56%],05-18-2020
69,CA- PALM SPR/RANCHO MIR.,84.71,21,19,29,81.04,95.19,21 [19 - 29],84.71% [81.04% - 95.19%],05-18-2020
73,CA- REDDING,85.04,21,19,29,80.83,95.62,21 [19 - 29],85.04% [80.83% - 95.62%],05-18-2020
