date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
06-21-2020,7,4,47
06-22-2020,7,4,47
06-23-2020,7,4,45
06-24-2020,7,2,45
06-25-2020,7,0,41
06-26-2020,7,0,41
06-27-2020,7,0,41
06-28-2020,7,0,38
06-29-2020,7,0,38
06-30-2020,7,0,36
07-01-2020,7,0,36
07-02-2020,7,0,36
07-03-2020,3,0,36
07-04-2020,3,0,32
07-05-2020,3,0,29
07-06-2020,3,0,29
07-07-2020,3,0,29
07-08-2020,3,0,29
07-09-2020,3,0,29
07-10-2020,3,0,29
07-11-2020,3,0,29
07-12-2020,3,0,27
07-13-2020,3,0,27
07-14-2020,3,0,25
07-15-2020,3,0,25
07-16-2020,3,0,25
07-17-2020,3,0,25
07-18-2020,3,0,25
07-19-2020,3,0,25
07-20-2020,3,0,25
07-21-2020,3,0,24
07-22-2020,3,0,22
07-23-2020,3,0,22
07-24-2020,3,0,22
07-25-2020,3,0,18
07-26-2020,3,0,18
07-27-2020,3,0,18
07-28-2020,3,0,18
07-29-2020,3,0,18
07-30-2020,3,0,18
07-31-2020,3,0,18
08-01-2020,3,0,18
08-02-2020,3,0,17
08-03-2020,3,0,17
08-04-2020,3,0,17
08-05-2020,3,0,17
08-06-2020,3,0,17
08-07-2020,3,0,15
08-08-2020,3,0,15
08-09-2020,3,0,15
08-10-2020,3,0,15
08-11-2020,3,0,15
08-12-2020,3,0,15
08-13-2020,3,0,15
08-14-2020,3,0,15
08-15-2020,3,0,15
