HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,83.47,289,257,363,81.11,88.74,289 [257 - 363],83.47% [81.11% - 88.74%],293,94,738,05-26-2020
2,AL- DOTHAN,80.49,2,1,7,80.0,82.94,2 [1 - 7],80.49% [80.0% - 82.94%],6,0,39,05-26-2020
5,AL- HUNTSVILLE,82.77,50,45,62,80.96,86.6,50 [45 - 62],82.77% [80.96% - 86.6%],52,18,124,05-26-2020
6,AL- MOBILE,82.72,73,66,92,81.02,86.58,73 [66 - 92],82.72% [81.02% - 86.58%],77,29,188,05-26-2020
7,AL- MONTGOMERY,82.4,34,31,47,80.84,87.5,34 [31 - 47],82.4% [80.84% - 87.5%],37,13,116,05-26-2020
9,AL- TUSCALOOSA,82.93,26,23,35,80.8,88.62,26 [23 - 35],82.93% [80.8% - 88.62%],29,8,86,05-26-2020
11,AZ- MESA,86.64,128,118,166,83.23,98.18,128 [118 - 166],86.64% [83.23% - 98.18%],131,64,360,05-26-2020
12,AZ- PHOENIX,84.3,322,296,417,82.1,91.79,322 [296 - 417],84.3% [82.1% - 91.79%],325,159,893,05-26-2020
14,AZ- SUN CITY,82.77,19,18,26,81.36,87.53,19 [18 - 26],82.77% [81.36% - 87.53%],22,11,61,05-26-2020
15,AZ- TUCSON,83.24,80,73,107,81.39,89.71,80 [73 - 107],83.24% [81.39% - 89.71%],81,35,245,05-26-2020
16,AR- FORT SMITH,80.42,0,0,5,80.0,81.87,0 [0 - 5],80.42% [80.0% - 81.87%],5,0,24,05-26-2020
18,AR- JONESBORO,80.82,6,6,7,80.11,81.77,6 [6 - 7],80.82% [80.11% - 81.77%],7,1,16,05-26-2020
19,AR- LITTLE ROCK,82.99,170,151,200,80.83,86.13,170 [151 - 200],82.99% [80.83% - 86.13%],172,48,354,05-26-2020
21,AR- SPRINGDALE,81.37,10,9,13,80.28,83.12,10 [9 - 13],81.37% [80.28% - 83.12%],14,3,33,05-26-2020
22,AR- TEXARKANA,80.52,0,0,2,80.0,81.63,0 [0 - 2],80.52% [80.0% - 81.63%],5,0,16,05-26-2020
23,CA- ORANGE CO.,88.37,636,565,781,82.59,99.84,636 [565 - 781],88.37% [82.59% - 99.84%],640,198,1518,05-26-2020
25,CA- BAKERSFIELD,83.29,114,101,144,80.94,88.19,114 [101 - 144],83.29% [80.94% - 88.19%],118,34,296,05-26-2020
31,CA- CHICO,85.87,32,29,42,81.25,93.91,32 [29 - 42],85.87% [81.25% - 93.91%],37,8,89,05-26-2020
33,CA- CONTRA COSTA CO.,101.86,433,389,506,87.29,125.68,433 [389 - 506],101.86% [87.29% - 125.68%],437,146,915,05-26-2020
43,CA- FRESNO,85.92,132,117,166,81.66,94.76,132 [117 - 166],85.92% [81.66% - 94.76%],135,38,337,05-26-2020
56,CA- LOS ANGELES,86.4,1874,1665,2298,82.2,94.14,1874 [1665 - 2298],86.4% [82.2% - 94.14%],1588,546,3508,05-26-2020
58,CA- MODESTO,93.26,225,200,274,84.13,110.6,225 [200 - 274],93.26% [84.13% - 110.6%],227,71,526,05-26-2020
62,CA- NAPA,93.26,74,66,89,84.47,109.38,74 [66 - 89],93.26% [84.47% - 109.38%],77,26,171,05-26-2020
65,CA- ALAMEDA CO.,99.33,649,583,756,86.51,120.01,649 [583 - 756],99.33% [86.51% - 120.01%],652,220,1352,05-26-2020
69,CA- PALM SPR/RANCHO MIR.,85.77,57,51,71,81.71,93.77,57 [51 - 71],85.77% [81.71% - 93.77%],60,18,145,05-26-2020
73,CA- REDDING,87.26,75,67,90,82.03,95.8,75 [67 - 90],87.26% [82.03% - 95.8%],78,22,171,05-26-2020
77,CA- SACRAMENTO,95.97,759,678,911,85.08,115.83,759 [678 - 911],95.97% [85.08% - 115.83%],763,243,1714,05-26-2020
78,CA- SALINAS,94.85,113,101,137,84.54,113.54,113 [101 - 137],94.85% [84.54% - 113.54%],117,36,266,05-26-2020
79,CA- SAN BERNARDINO,89.79,562,499,694,83.01,103.56,562 [499 - 694],89.79% [83.01% - 103.56%],566,174,1362,05-26-2020
80,CA- SAN DIEGO,92.38,896,797,1086,83.9,108.35,896 [797 - 1086],92.38% [83.9% - 108.35%],870,274,1994,05-26-2020
81,CA- SAN FRANCISCO,91.36,572,514,666,83.82,103.52,572 [514 - 666],91.36% [83.82% - 103.52%],576,194,1193,05-26-2020
82,CA- SAN JOSE,104.09,725,652,840,88.29,129.11,725 [652 - 840],104.09% [88.29% - 129.11%],729,251,1486,05-26-2020
83,CA- SAN LUIS OBISPO,93.28,58,52,71,83.95,110.7,58 [52 - 71],93.28% [83.95% - 110.7%],60,18,140,05-26-2020
85,CA- SAN MATEO CO.,93.12,351,316,406,84.49,106.74,351 [316 - 406],93.12% [84.49% - 106.74%],353,121,721,05-26-2020
86,CA- SANTA BARBARA,89.2,85,76,105,82.69,101.95,85 [76 - 105],89.2% [82.69% - 101.95%],88,26,212,05-26-2020
87,CA- SANTA CRUZ,108.49,99,88,117,89.47,140.72,99 [88 - 117],108.49% [89.47% - 140.72%],102,34,218,05-26-2020
89,CA- SANTA ROSA,89.48,173,155,205,83.06,100.42,173 [155 - 205],89.48% [83.06% - 100.42%],176,57,380,05-26-2020
91,CA- STOCKTON,98.44,192,172,230,85.93,120.83,192 [172 - 230],98.44% [85.93% - 120.83%],196,63,434,05-26-2020
96,CA- VENTURA,90.53,162,144,199,83.18,104.92,162 [144 - 199],90.53% [83.18% - 104.92%],165,50,392,05-26-2020
101,CO- BOULDER,89.16,42,39,53,83.79,103.58,42 [39 - 53],89.16% [83.79% - 103.58%],43,18,112,05-26-2020
102,CO- COLORADO SPRINGS,87.97,79,72,100,82.8,100.0,79 [72 - 100],87.97% [82.8% - 100.0%],82,29,207,05-26-2020
103,CO- DENVER,88.49,401,365,501,83.41,101.9,401 [365 - 501],88.49% [83.41% - 101.9%],405,163,1046,05-26-2020
104,CO- FORT COLLINS,84.82,28,27,37,82.19,93.15,28 [27 - 37],84.82% [82.19% - 93.15%],30,14,84,05-26-2020
105,CO- GRAND JUNCTION,87.11,50,45,63,81.89,97.68,50 [45 - 63],87.11% [81.89% - 97.68%],56,15,140,05-26-2020
