HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Hospitalizations (Range),Projected Demand (Range),Last Update
1,AL- BIRMINGHAM,84.74,396,355,536,81.65,94.99,396 [355 - 536],84.74% [81.65% - 94.99%],05-12-2020
2,AL- DOTHAN,81.79,21,17,30,80.08,86.4,21 [17 - 30],81.79% [80.08% - 86.4%],05-12-2020
5,AL- HUNTSVILLE,84.25,76,69,102,81.86,92.39,76 [69 - 102],84.25% [81.86% - 92.39%],05-12-2020
6,AL- MOBILE,84.29,118,106,155,81.51,92.01,118 [106 - 155],84.29% [81.51% - 92.01%],05-12-2020
7,AL- MONTGOMERY,83.37,47,43,72,80.97,92.74,47 [43 - 72],83.37% [80.97% - 92.74%],05-12-2020
9,AL- TUSCALOOSA,83.46,31,29,49,81.0,94.53,31 [29 - 49],83.46% [81.0% - 94.53%],05-12-2020
11,AZ- MESA,101.74,427,389,538,89.8,136.06,427 [389 - 538],101.74% [89.8% - 136.06%],05-12-2020
12,AZ- PHOENIX,93.95,1052,956,1321,86.14,115.72,1052 [956 - 1321],93.95% [86.14% - 115.72%],05-12-2020
14,AZ- SUN CITY,89.11,71,65,90,84.07,103.46,71 [65 - 90],89.11% [84.07% - 103.46%],05-12-2020
15,AZ- TUCSON,91.35,283,255,370,84.48,111.81,283 [255 - 370],91.35% [84.48% - 111.81%],05-12-2020
16,AR- FORT SMITH,80.52,4,3,9,80.0,83.28,4 [3 - 9],80.52% [80.0% - 83.28%],05-12-2020
18,AR- JONESBORO,80.68,0,0,4,80.0,82.65,0 [0 - 4],80.68% [80.0% - 82.65%],05-12-2020
19,AR- LITTLE ROCK,82.09,117,102,158,80.35,86.29,117 [102 - 158],82.09% [80.35% - 86.29%],05-12-2020
21,AR- SPRINGDALE,81.69,13,12,19,80.95,84.54,13 [12 - 19],81.69% [80.95% - 84.54%],05-12-2020
