HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Last Update
1,AL- BIRMINGHAM,90.3,1005,895,1198,82.78,105.83,1005 [895 - 1198],90.3% [82.78% - 105.83%],05-18-2020
2,AL- DOTHAN,85.34,67,59,93,81.2,97.92,67 [59 - 93],85.34% [81.2% - 97.92%],05-18-2020
5,AL- HUNTSVILLE,91.31,209,185,268,83.19,112.23,209 [185 - 268],91.31% [83.19% - 112.23%],05-18-2020
6,AL- MOBILE,89.28,263,233,337,82.63,106.18,263 [233 - 337],89.28% [82.63% - 106.18%],05-18-2020
7,AL- MONTGOMERY,91.72,177,157,223,82.52,111.31,177 [157 - 223],91.72% [82.52% - 111.31%],05-18-2020
9,AL- TUSCALOOSA,92.6,122,107,149,82.51,110.96,122 [107 - 149],92.6% [82.51% - 110.96%],05-18-2020
11,AZ- MESA,104.44,479,436,611,89.9,150.45,479 [436 - 611],104.44% [89.9% - 150.45%],05-18-2020
12,AZ- PHOENIX,93.54,1171,1064,1490,85.41,120.77,1171 [1064 - 1490],93.54% [85.41% - 120.77%],05-18-2020
14,AZ- SUN CITY,90.27,79,72,102,84.07,109.63,79 [72 - 102],90.27% [84.07% - 109.63%],05-18-2020
15,AZ- TUCSON,93.58,339,306,458,84.56,125.17,339 [306 - 458],93.58% [84.56% - 125.17%],05-18-2020
16,AR- FORT SMITH,83.03,35,30,47,80.08,88.12,35 [30 - 47],83.03% [80.08% - 88.12%],05-18-2020
18,AR- JONESBORO,82.0,16,14,23,80.11,86.86,16 [14 - 23],82.0% [80.11% - 86.86%],05-18-2020
19,AR- LITTLE ROCK,85.13,292,254,365,80.71,93.5,292 [254 - 365],85.13% [80.71% - 93.5%],05-18-2020
21,AR- SPRINGDALE,84.19,42,37,57,80.76,92.49,42 [37 - 57],84.19% [80.76% - 92.49%],05-18-2020
22,AR- TEXARKANA,85.32,48,43,63,80.92,94.59,48 [43 - 63],85.32% [80.92% - 94.59%],05-18-2020
23,CA- ORANGE CO.,87.59,577,508,767,81.63,103.84,577 [508 - 767],87.59% [81.63% - 103.84%],05-18-2020
25,CA- BAKERSFIELD,83.14,110,96,163,80.5,92.28,110 [96 - 163],83.14% [80.5% - 92.28%],05-18-2020
31,CA- CHICO,85.77,31,27,47,80.62,100.94,31 [27 - 47],85.77% [80.62% - 100.94%],05-18-2020
33,CA- CONTRA COSTA CO.,94.38,283,251,346,83.15,116.35,283 [251 - 346],94.38% [83.15% - 116.35%],05-18-2020
43,CA- FRESNO,85.46,122,106,178,80.83,101.24,122 [106 - 178],85.46% [80.83% - 101.24%],05-18-2020
56,CA- LOS ANGELES,85.75,1636,1438,2186,81.25,98.28,1636 [1438 - 2186],85.75% [81.25% - 98.28%],05-18-2020
58,CA- MODESTO,91.21,190,167,248,82.09,113.74,190 [167 - 248],91.21% [82.09% - 113.74%],05-18-2020
62,CA- NAPA,89.95,53,46,70,81.03,109.21,53 [46 - 70],89.95% [81.03% - 109.21%],05-18-2020
65,CA- ALAMEDA CO.,92.52,419,372,510,82.72,111.16,419 [372 - 510],92.52% [82.72% - 111.16%],05-18-2020
69,CA- PALM SPR/RANCHO MIR.,85.44,54,48,74,81.14,97.38,54 [48 - 74],85.44% [81.14% - 97.38%],05-18-2020
73,CA- REDDING,84.89,48,43,67,80.83,96.17,48 [43 - 67],84.89% [80.83% - 96.17%],05-18-2020
77,CA- SACRAMENTO,92.45,592,523,754,82.72,115.45,592 [523 - 754],92.45% [82.72% - 115.45%],05-18-2020
