HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,85.23,438,397,457,81.86,86.61,438 [397 - 457],85.23% [81.86% - 86.61%],441,157,558,06-30-2020
2,AL- DOTHAN,87.0,91,83,97,82.48,89.86,91 [83 - 97],87.0% [82.48% - 89.86%],92,33,131,06-30-2020
5,AL- HUNTSVILLE,86.66,122,111,129,82.23,88.56,122 [111 - 129],86.66% [82.23% - 88.56%],125,42,161,06-30-2020
6,AL- MOBILE,86.66,188,172,200,82.63,89.0,188 [172 - 200],86.66% [82.63% - 89.0%],190,75,257,06-30-2020
7,AL- MONTGOMERY,86.0,91,82,95,81.68,87.7,91 [82 - 95],86.0% [81.68% - 87.7%],92,26,119,06-30-2020
9,AL- TUSCALOOSA,85.2,49,45,52,81.4,86.91,49 [45 - 52],85.2% [81.4% - 86.91%],51,14,69,06-30-2020
11,AZ- MESA,95.46,303,286,328,89.34,103.33,303 [286 - 328],95.46% [89.34% - 103.33%],306,185,462,06-30-2020
12,AZ- PHOENIX,90.1,763,718,825,86.1,95.29,763 [718 - 825],90.1% [86.1% - 95.29%],765,462,1158,06-30-2020
14,AZ- SUN CITY,86.51,49,46,54,83.83,89.75,49 [46 - 54],86.51% [83.83% - 89.75%],52,31,79,06-30-2020
15,AZ- TUCSON,90.3,257,241,280,85.74,96.28,257 [241 - 280],90.3% [85.74% - 96.28%],260,145,411,06-30-2020
16,AR- FORT SMITH,83.24,37,35,39,81.95,84.06,37 [35 - 39],83.24% [81.95% - 84.06%],41,25,52,06-30-2020
18,AR- JONESBORO,82.93,23,22,25,81.77,84.2,23 [22 - 25],82.93% [81.77% - 84.2%],26,16,38,06-30-2020
19,AR- LITTLE ROCK,82.27,128,120,139,81.25,83.6,128 [120 - 139],82.27% [81.25% - 83.6%],131,72,208,06-30-2020
21,AR- SPRINGDALE,85.97,60,57,64,83.78,88.23,60 [57 - 64],85.97% [83.78% - 88.23%],63,40,87,06-30-2020
22,AR- TEXARKANA,84.73,43,41,46,82.86,86.22,43 [41 - 46],84.73% [82.86% - 86.22%],46,28,61,06-30-2020
23,CA- ORANGE CO.,86.41,487,437,521,81.82,89.23,487 [437 - 521],86.41% [81.82% - 89.23%],490,139,706,06-30-2020
25,CA- BAKERSFIELD,84.83,172,152,189,80.86,87.74,172 [152 - 189],84.83% [80.86% - 87.74%],174,31,280,06-30-2020
31,CA- CHICO,87.22,42,38,47,81.25,91.56,42 [38 - 47],87.22% [81.25% - 91.56%],46,8,74,06-30-2020
33,CA- CONTRA COSTA CO.,86.49,126,114,134,82.2,89.04,126 [114 - 134],86.49% [82.2% - 89.04%],130,44,181,06-30-2020
43,CA- FRESNO,88.04,180,159,200,81.31,93.32,180 [159 - 200],88.04% [81.31% - 93.32%],183,30,304,06-30-2020
56,CA- LOS ANGELES,85.64,1402,1253,1502,81.43,88.88,1402 [1253 - 1502],85.64% [81.43% - 88.88%],1397,354,2202,06-30-2020
58,CA- MODESTO,87.5,126,113,135,82.04,90.7,126 [113 - 135],87.5% [82.04% - 90.7%],128,35,184,06-30-2020
62,CA- NAPA,86.08,35,32,37,81.55,88.76,35 [32 - 37],86.08% [81.55% - 88.76%],35,9,51,06-30-2020
65,CA- ALAMEDA CO.,85.61,187,170,198,81.92,87.78,187 [170 - 198],85.61% [81.92% - 87.78%],189,65,263,06-30-2020
69,CA- PALM SPR/RANCHO MIR.,84.79,49,44,52,81.33,86.84,49 [44 - 52],84.79% [81.33% - 86.84%],50,14,72,06-30-2020
73,CA- REDDING,84.09,42,38,46,80.74,86.38,42 [38 - 46],84.09% [80.74% - 86.38%],44,8,69,06-30-2020
77,CA- SACRAMENTO,87.37,349,314,371,82.26,90.35,349 [314 - 371],87.37% [82.26% - 90.35%],352,108,495,06-30-2020
78,CA- SALINAS,86.83,49,45,53,81.89,89.58,49 [45 - 53],86.83% [81.89% - 89.58%],54,15,76,06-30-2020
79,CA- SAN BERNARDINO,88.28,474,425,507,82.28,91.97,474 [425 - 507],88.28% [82.28% - 91.97%],478,132,692,06-30-2020
80,CA- SAN DIEGO,87.66,535,480,572,82.15,91.02,535 [480 - 572],87.66% [82.15% - 91.02%],539,151,775,06-30-2020
81,CA- SAN FRANCISCO,83.31,166,151,176,81.14,84.59,166 [151 - 176],83.31% [81.14% - 84.59%],167,58,233,06-30-2020
82,CA- SAN JOSE,86.77,202,183,215,82.31,89.42,202 [183 - 215],86.77% [82.31% - 89.42%],204,70,285,06-30-2020
83,CA- SAN LUIS OBISPO,87.62,28,26,31,81.54,91.18,28 [26 - 31],87.62% [81.54% - 91.18%],34,7,51,06-30-2020
85,CA- SAN MATEO CO.,83.7,97,88,103,81.26,85.12,97 [88 - 103],83.7% [81.26% - 85.12%],99,34,138,06-30-2020
86,CA- SANTA BARBARA,86.6,63,57,67,81.45,89.83,63 [57 - 67],86.6% [81.45% - 89.83%],63,14,95,06-30-2020
87,CA- SANTA CRUZ,89.55,28,26,31,82.79,93.37,28 [26 - 31],89.55% [82.79% - 93.37%],34,10,48,06-30-2020
89,CA- SANTA ROSA,83.16,56,51,60,81.02,84.41,56 [51 - 60],83.16% [81.02% - 84.41%],58,19,82,06-30-2020
91,CA- STOCKTON,87.56,77,70,82,82.26,90.54,77 [70 - 82],87.56% [82.26% - 90.54%],80,24,112,06-30-2020
96,CA- VENTURA,87.83,119,107,128,82.03,91.38,119 [107 - 128],87.83% [82.03% - 91.38%],123,32,179,06-30-2020
101,CO- BOULDER,91.13,49,47,52,86.11,94.32,49 [47 - 52],91.13% [86.11% - 94.32%],52,29,68,06-30-2020
102,CO- COLORADO SPRINGS,94.1,143,133,150,86.96,98.45,143 [133 - 150],94.1% [86.96% - 98.45%],145,72,191,06-30-2020
103,CO- DENVER,90.06,476,444,498,85.63,92.98,476 [444 - 498],90.06% [85.63% - 92.98%],480,269,620,06-30-2020
104,CO- FORT COLLINS,90.35,63,59,67,85.01,94.24,63 [59 - 67],90.35% [85.01% - 94.24%],66,32,91,06-30-2020
105,CO- GRAND JUNCTION,86.27,47,43,50,82.53,88.46,47 [43 - 50],86.27% [82.53% - 88.46%],49,20,67,06-30-2020
106,CO- GREELEY,88.38,62,58,65,84.38,90.68,62 [58 - 65],88.38% [84.38% - 90.68%],65,34,83,06-30-2020
107,CO- PUEBLO,84.08,28,26,30,81.25,85.51,28 [26 - 30],84.08% [81.25% - 85.51%],32,10,44,06-30-2020
109,CT- BRIDGEPORT,92.2,203,186,240,84.72,107.14,203 [186 - 240],92.2% [84.72% - 107.14%],206,80,460,06-30-2020
110,CT- HARTFORD,97.17,555,505,656,86.27,117.65,555 [505 - 656],97.17% [86.27% - 117.65%],559,204,1226,06-30-2020
111,CT- NEW HAVEN,93.27,509,462,607,84.75,110.4,509 [462 - 607],93.27% [84.75% - 110.4%],511,183,1171,06-30-2020
112,DE- WILMINGTON,88.05,147,142,152,86.02,89.77,147 [142 - 152],88.05% [86.02% - 89.77%],149,112,182,06-30-2020
113,DC- WASHINGTON,89.95,543,521,559,87.27,91.73,543 [521 - 559],89.95% [87.27% - 91.73%],546,399,644,06-30-2020
115,FL- BRADENTON,98.28,125,112,134,85.5,106.52,125 [112 - 134],98.28% [85.5% - 106.52%],129,39,188,06-30-2020
116,FL- CLEARWATER,92.54,202,181,216,84.03,98.08,202 [181 - 216],92.54% [84.03% - 98.08%],205,66,296,06-30-2020
118,FL- FORT LAUDERDALE,93.81,1103,992,1178,84.05,100.4,1103 [992 - 1178],93.81% [84.05% - 100.4%],1200,352,1775,06-30-2020
119,FL- FORT MYERS,93.05,496,444,531,84.13,99.21,496 [444 - 531],93.05% [84.13% - 99.21%],499,158,735,06-30-2020
120,FL- GAINESVILLE,92.38,224,201,240,83.8,98.14,224 [201 - 240],92.38% [83.8% - 98.14%],227,70,334,06-30-2020
122,FL- HUDSON,93.5,166,149,177,84.23,99.41,166 [149 - 177],93.5% [84.23% - 99.41%],169,53,243,06-30-2020
123,FL- JACKSONVILLE,92.59,615,555,657,84.56,98.12,615 [555 - 657],92.59% [84.56% - 98.12%],618,224,890,06-30-2020
124,FL- LAKELAND,96.11,169,152,181,85.15,103.13,169 [152 - 181],96.11% [85.15% - 103.13%],172,55,247,06-30-2020
