date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
06-21-2020,26,9,46
06-22-2020,27,9,46
06-23-2020,28,10,46
06-24-2020,29,10,45
06-25-2020,30,10,45
06-26-2020,30,11,45
06-27-2020,31,11,44
06-28-2020,31,12,43
06-29-2020,31,12,42
06-30-2020,32,12,42
07-01-2020,32,13,42
07-02-2020,32,13,42
07-03-2020,31,13,41
07-04-2020,31,14,41
07-05-2020,31,14,41
07-06-2020,31,14,41
07-07-2020,30,15,40
07-08-2020,30,15,40
07-09-2020,29,16,39
07-10-2020,29,16,39
07-11-2020,28,16,38
07-12-2020,27,16,38
07-13-2020,27,17,37
07-14-2020,26,17,36
07-15-2020,25,17,35
07-16-2020,25,16,34
07-17-2020,24,16,33
07-18-2020,24,15,33
07-19-2020,23,14,32
07-20-2020,22,14,31
07-21-2020,21,13,30
07-22-2020,21,12,30
07-23-2020,20,11,29
07-24-2020,20,11,28
07-25-2020,20,10,28
07-26-2020,19,9,27
07-27-2020,19,9,26
07-28-2020,18,8,26
07-29-2020,17,8,25
07-30-2020,17,7,25
07-31-2020,16,7,24
08-01-2020,16,6,23
08-02-2020,15,6,23
08-03-2020,14,6,22
08-04-2020,14,5,21
08-05-2020,13,5,21
08-06-2020,12,5,21
08-07-2020,12,4,20
08-08-2020,11,4,19
08-09-2020,10,3,19
08-10-2020,10,3,19
08-11-2020,9,3,18
08-12-2020,9,3,18
08-13-2020,8,3,18
08-14-2020,8,3,17
08-15-2020,7,2,17
