HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Last Update
1,AL- BIRMINGHAM,81,1044,1026,1062,74.52,87.48,01-22-2020
2,AL- DOTHAN,80,0,0,0,73.6,86.4,01-22-2020
5,AL- HUNTSVILLE,80,126,124,128,73.6,86.4,01-22-2020
6,AL- MOBILE,81,233,229,237,74.52,87.48,01-22-2020
7,AL- MONTGOMERY,80,64,63,65,73.6,86.4,01-22-2020
9,AL- TUSCALOOSA,81,77,76,78,74.52,87.48,01-22-2020
11,AZ- MESA,84,666,655,677,77.28,90.72,01-22-2020
12,AZ- PHOENIX,82,1513,1486,1540,75.44,88.56,01-22-2020
14,AZ- SUN CITY,81,111,110,112,74.52,87.48,01-22-2020
15,AZ- TUCSON,81,252,248,256,74.52,87.48,01-22-2020
16,AR- FORT SMITH,80,0,0,0,73.6,86.4,01-22-2020
18,AR- JONESBORO,80,0,0,0,73.6,86.4,01-22-2020
19,AR- LITTLE ROCK,80,350,344,356,73.6,86.4,01-22-2020
21,AR- SPRINGDALE,80,33,33,33,73.6,86.4,01-22-2020
22,AR- TEXARKANA,80,0,0,0,73.6,86.4,01-22-2020
23,CA- ORANGE CO.,83,1742,1712,1772,76.36,89.64,01-22-2020
25,CA- BAKERSFIELD,81,251,247,255,74.52,87.48,01-22-2020
31,CA- CHICO,80,35,35,35,73.6,86.4,01-22-2020
33,CA- CONTRA COSTA CO.,91,1624,1597,1651,83.72,98.28,01-22-2020
43,CA- FRESNO,81,308,303,313,74.52,87.48,01-22-2020
56,CA- LOS ANGELES,83,5209,5119,5299,76.36,89.64,01-22-2020
58,CA- MODESTO,85,655,644,666,78.2,91.8,01-22-2020
62,CA- NAPA,85,238,234,242,78.2,91.8,01-22-2020
65,CA- ALAMEDA CO.,90,2517,2474,2560,82.8,97.2,01-22-2020
69,CA- PALM SPR/RANCHO MIR.,82,149,147,151,75.44,88.56,01-22-2020
73,CA- REDDING,82,168,166,170,75.44,88.56,01-22-2020
77,CA- SACRAMENTO,86,2107,2071,2143,79.12,92.88,01-22-2020
78,CA- SALINAS,86,358,352,364,79.12,92.88,01-22-2020
79,CA- SAN BERNARDINO,83,1421,1396,1446,76.36,89.64,01-22-2020
80,CA- SAN DIEGO,84,2291,2252,2330,77.28,90.72,01-22-2020
81,CA- SAN FRANCISCO,86,2230,2192,2268,79.12,92.88,01-22-2020
82,CA- SAN JOSE,94,3065,3012,3118,86.48,101.52,01-22-2020
83,CA- SAN LUIS OBISPO,85,161,159,163,78.2,91.8,01-22-2020
85,CA- SAN MATEO CO.,87,1453,1428,1478,80.04,93.96,01-22-2020
86,CA- SANTA BARBARA,83,204,201,207,76.36,89.64,01-22-2020
87,CA- SANTA CRUZ,94,364,358,370,86.48,101.52,01-22-2020
89,CA- SANTA ROSA,84,574,565,583,77.28,90.72,01-22-2020
91,CA- STOCKTON,88,617,607,627,80.96,95.04,01-22-2020
96,CA- VENTURA,84,434,427,441,77.28,90.72,01-22-2020
101,CO- BOULDER,87,238,234,242,80.04,93.96,01-22-2020
102,CO- COLORADO SPRINGS,84,350,344,356,77.28,90.72,01-22-2020
103,CO- DENVER,86,2268,2229,2307,79.12,92.88,01-22-2020
104,CO- FORT COLLINS,84,173,170,176,77.28,90.72,01-22-2020
105,CO- GRAND JUNCTION,88,434,427,441,80.96,95.04,01-22-2020
106,CO- GREELEY,83,209,206,212,76.36,89.64,01-22-2020
107,CO- PUEBLO,80,35,35,35,73.6,86.4,01-22-2020
110,CT- HARTFORD,85,1202,1181,1223,78.2,91.8,01-22-2020
111,CT- NEW HAVEN,89,2601,2557,2645,81.88,96.12,01-22-2020
112,DE- WILMINGTON,83,490,482,498,76.36,89.64,01-22-2020
113,DC- WASHINGTON,280,76846,75529,78163,257.6,302.4,01-22-2020
115,FL- BRADENTON,83,161,159,163,76.36,89.64,01-22-2020
116,FL- CLEARWATER,81,202,199,205,74.52,87.48,01-22-2020
118,FL- FORT LAUDERDALE,83,1855,1823,1887,76.36,89.64,01-22-2020
119,FL- FORT MYERS,82,625,614,636,75.44,88.56,01-22-2020
120,FL- GAINESVILLE,81,182,179,185,74.52,87.48,01-22-2020
122,FL- HUDSON,81,149,146,152,74.52,87.48,01-22-2020
123,FL- JACKSONVILLE,81,532,523,541,74.52,87.48,01-22-2020
124,FL- LAKELAND,81,147,145,149,74.52,87.48,01-22-2020
127,FL- MIAMI,83,2373,2332,2414,76.36,89.64,01-22-2020
129,FL- OCALA,81,154,152,156,74.52,87.48,01-22-2020
130,FL- ORLANDO,81,1369,1345,1393,74.52,87.48,01-22-2020
131,FL- ORMOND BEACH,81,153,151,155,74.52,87.48,01-22-2020
133,FL- PANAMA CITY,80,3,3,3,73.6,86.4,01-22-2020
134,FL- PENSACOLA,81,227,223,231,74.52,87.48,01-22-2020
137,FL- SARASOTA,81,177,174,180,74.52,87.48,01-22-2020
139,FL- ST PETERSBURG,81,163,160,166,74.52,87.48,01-22-2020
140,FL- TALLAHASSEE,80,133,131,135,73.6,86.4,01-22-2020
141,FL- TAMPA,82,608,598,618,75.44,88.56,01-22-2020
142,GA- ALBANY,86,504,496,512,79.12,92.88,01-22-2020
144,GA- ATLANTA,87,6208,6102,6314,80.04,93.96,01-22-2020
145,GA- AUGUSTA,81,196,193,199,74.52,87.48,01-22-2020
146,GA- COLUMBUS,81,85,84,86,74.52,87.48,01-22-2020
147,GA- MACON,80,147,145,149,73.6,86.4,01-22-2020
148,GA- ROME,86,321,316,326,79.12,92.88,01-22-2020
149,GA- SAVANNAH,81,175,172,178,74.52,87.48,01-22-2020
154,IL- AURORA,87,257,253,261,80.04,93.96,01-22-2020
155,IL- BLUE ISLAND,83,679,668,690,76.36,89.64,01-22-2020
156,IL- CHICAGO,83,2275,2236,2314,76.36,89.64,01-22-2020
158,IL- ELGIN,88,649,638,660,80.96,95.04,01-22-2020
161,IL- EVANSTON,85,903,888,918,78.2,91.8,01-22-2020
163,IL- HINSDALE,85,420,413,427,78.2,91.8,01-22-2020
164,IL- JOLIET,86,551,542,560,79.12,92.88,01-22-2020
166,IL- MELROSE PARK,85,1182,1162,1202,78.2,91.8,01-22-2020
170,IL- PEORIA,80,116,114,118,73.6,86.4,01-22-2020
171,IL- ROCKFORD,82,276,271,281,75.44,88.56,01-22-2020
172,IL- SPRINGFIELD,80,42,42,42,73.6,86.4,01-22-2020
173,IL- URBANA,80,42,42,42,73.6,86.4,01-22-2020
175,IL- BLOOMINGTON,82,42,42,42,75.44,88.56,01-22-2020
179,IN- EVANSVILLE,80,0,0,0,73.6,86.4,01-22-2020
180,IN- FORT WAYNE,80,0,0,0,73.6,86.4,01-22-2020
181,IN- GARY,80,7,7,7,73.6,86.4,01-22-2020
183,IN- INDIANAPOLIS,80,25,25,25,73.6,86.4,01-22-2020
184,IN- LAFAYETTE,80,0,0,0,73.6,86.4,01-22-2020
185,IN- MUNCIE,80,0,0,0,73.6,86.4,01-22-2020
186,IN- MUNSTER,80,63,62,64,73.6,86.4,01-22-2020
187,IN- SOUTH BEND,80,7,7,7,73.6,86.4,01-22-2020
188,IN- TERRE HAUTE,80,0,0,0,73.6,86.4,01-22-2020
191,IA- DAVENPORT,80,42,42,42,73.6,86.4,01-22-2020
192,IA- DES MOINES,80,155,152,158,73.6,86.4,01-22-2020
193,IA- DUBUQUE,81,66,65,67,74.52,87.48,01-22-2020
194,IA- IOWA CITY,81,140,138,142,74.52,87.48,01-22-2020
195,IA- MASON CITY,80,0,0,0,73.6,86.4,01-22-2020
196,IA- SIOUX CITY,80,10,10,10,73.6,86.4,01-22-2020
197,IA- WATERLOO,80,42,42,42,73.6,86.4,01-22-2020
200,KS- TOPEKA,81,112,110,114,74.52,87.48,01-22-2020
201,KS- WICHITA,80,119,117,121,73.6,86.4,01-22-2020
203,KY- COVINGTON,84,306,301,311,77.28,90.72,01-22-2020
204,KY- LEXINGTON,82,823,809,837,75.44,88.56,01-22-2020
205,KY- LOUISVILLE,82,663,651,675,75.44,88.56,01-22-2020
207,KY- OWENSBORO,80,0,0,0,73.6,86.4,01-22-2020
208,KY- PADUCAH,80,0,0,0,73.6,86.4,01-22-2020
209,LA- ALEXANDRIA,80,39,39,39,73.6,86.4,01-22-2020
210,LA- BATON ROUGE,83,578,568,588,76.36,89.64,01-22-2020
212,LA- HOUMA,84,217,214,220,77.28,90.72,01-22-2020
213,LA- LAFAYETTE,80,90,88,92,73.6,86.4,01-22-2020
214,LA- LAKE CHARLES,80,42,42,42,73.6,86.4,01-22-2020
216,LA- METAIRIE,95,1057,1039,1075,87.4,102.6,01-22-2020
217,LA- MONROE,80,0,0,0,73.6,86.4,01-22-2020
218,LA- NEW ORLEANS,91,1872,1839,1905,83.72,98.28,01-22-2020
219,LA- SHREVEPORT,80,126,124,128,73.6,86.4,01-22-2020
221,ME- BANGOR,80,21,21,21,73.6,86.4,01-22-2020
222,ME- PORTLAND,82,419,412,426,75.44,88.56,01-22-2020
223,MD- BALTIMORE,85,2344,2302,2386,78.2,91.8,01-22-2020
225,MD- SALISBURY,83,203,200,206,76.36,89.64,01-22-2020
226,MD- TAKOMA PARK,93,1176,1156,1196,85.56,100.44,01-22-2020
227,MA- BOSTON,86,4631,4552,4710,79.12,92.88,01-22-2020
230,MA- SPRINGFIELD,83,429,422,436,76.36,89.64,01-22-2020
231,MA- WORCESTER,85,677,666,688,78.2,91.8,01-22-2020
232,MI- ANN ARBOR,84,1123,1104,1142,77.28,90.72,01-22-2020
233,MI- DEARBORN,84,502,494,510,77.28,90.72,01-22-2020
234,MI- DETROIT,85,1626,1599,1653,78.2,91.8,01-22-2020
235,MI- FLINT,83,284,280,288,76.36,89.64,01-22-2020
238,MI- KALAMAZOO,80,48,47,49,73.6,86.4,01-22-2020
239,MI- LANSING,82,208,205,211,75.44,88.56,01-22-2020
240,MI- MARQUETTE,80,0,0,0,73.6,86.4,01-22-2020
242,MI- MUSKEGON,80,11,11,11,73.6,86.4,01-22-2020
243,MI- PETOSKEY,80,0,0,0,73.6,86.4,01-22-2020
244,MI- PONTIAC,85,427,420,434,78.2,91.8,01-22-2020
245,MI- ROYAL OAK,83,714,702,726,76.36,89.64,01-22-2020
246,MI- SAGINAW,80,48,47,49,73.6,86.4,01-22-2020
248,MI- ST JOSEPH,81,28,28,28,74.52,87.48,01-22-2020
249,MI- TRAVERSE CITY,80,0,0,0,73.6,86.4,01-22-2020
250,MN- DULUTH,80,0,0,0,73.6,86.4,01-22-2020
251,MN- MINNEAPOLIS,81,832,818,846,74.52,87.48,01-22-2020
253,MN- ROCHESTER,80,70,69,71,73.6,86.4,01-22-2020
254,MN- ST CLOUD,80,42,42,42,73.6,86.4,01-22-2020
256,MN- ST PAUL,82,321,316,326,75.44,88.56,01-22-2020
257,MS- GULFPORT,86,343,338,348,79.12,92.88,01-22-2020
258,MS- HATTIESBURG,83,268,264,272,76.36,89.64,01-22-2020
259,MS- JACKSON,81,546,537,555,74.52,87.48,01-22-2020
261,MS- OXFORD,80,0,0,0,73.6,86.4,01-22-2020
262,MS- TUPELO,80,105,104,106,73.6,86.4,01-22-2020
263,MO- CAPE GIRARDEAU,80,0,0,0,73.6,86.4,01-22-2020
264,MO- COLUMBIA,80,42,42,42,73.6,86.4,01-22-2020
267,MO- JOPLIN,80,0,0,0,73.6,86.4,01-22-2020
268,MO- KANSAS CITY,82,1183,1163,1203,75.44,88.56,01-22-2020
270,MO- SPRINGFIELD,80,42,42,42,73.6,86.4,01-22-2020
273,MO- ST LOUIS,80,525,516,534,73.6,86.4,01-22-2020
274,MT- BILLINGS,80,133,131,135,73.6,86.4,01-22-2020
275,MT- GREAT FALLS,80,0,0,0,73.6,86.4,01-22-2020
276,MT- MISSOULA,80,70,69,71,73.6,86.4,01-22-2020
277,NE- LINCOLN,82,307,302,312,75.44,88.56,01-22-2020
278,NE- OMAHA,85,2225,2187,2263,78.2,91.8,01-22-2020
279,NV- LAS VEGAS,85,1600,1573,1627,78.2,91.8,01-22-2020
280,NV- RENO,83,376,369,383,76.36,89.64,01-22-2020
281,NH- LEBANON,82,154,152,156,75.44,88.56,01-22-2020
282,NH- MANCHESTER,82,322,317,327,75.44,88.56,01-22-2020
