HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound,Last Update
1,AL- BIRMINGHAM,82,1313,1313,1313,01-22-2020
2,AL- DOTHAN,80,0,0,0,01-22-2020
5,AL- HUNTSVILLE,82,241,240,241,01-22-2020
6,AL- MOBILE,81,392,392,392,01-22-2020
7,AL- MONTGOMERY,81,189,189,189,01-22-2020
9,AL- TUSCALOOSA,81,119,119,119,01-22-2020
11,AZ- MESA,85,807,806,807,01-22-2020
12,AZ- PHOENIX,83,1916,1912,1916,01-22-2020
14,AZ- SUN CITY,82,135,135,135,01-22-2020
15,AZ- TUCSON,82,367,366,367,01-22-2020
16,AR- FORT SMITH,80,0,0,0,01-22-2020
18,AR- JONESBORO,80,0,0,0,01-22-2020
19,AR- LITTLE ROCK,80,369,369,369,01-22-2020
21,AR- SPRINGDALE,80,49,49,49,01-22-2020
22,AR- TEXARKANA,80,0,0,0,01-22-2020
23,CA- ORANGE CO.,83,2030,2027,2031,01-22-2020
25,CA- BAKERSFIELD,81,351,351,351,01-22-2020
31,CA- CHICO,81,77,77,77,01-22-2020
33,CA- CONTRA COSTA CO.,90,1500,1499,1500,01-22-2020
43,CA- FRESNO,82,378,377,378,01-22-2020
56,CA- LOS ANGELES,83,5929,5920,5930,01-22-2020
58,CA- MODESTO,86,790,790,790,01-22-2020
62,CA- NAPA,85,238,238,238,01-22-2020
65,CA- ALAMEDA CO.,89,2263,2261,2264,01-22-2020
69,CA- PALM SPR/RANCHO MIR.,82,187,187,187,01-22-2020
73,CA- REDDING,82,168,168,168,01-22-2020
77,CA- SACRAMENTO,86,2302,2296,2303,01-22-2020
78,CA- SALINAS,87,420,420,420,01-22-2020
79,CA- SAN BERNARDINO,84,1791,1789,1791,01-22-2020
80,CA- SAN DIEGO,85,2528,2523,2528,01-22-2020
81,CA- SAN FRANCISCO,85,2007,2003,2007,01-22-2020
82,CA- SAN JOSE,92,2564,2561,2564,01-22-2020
83,CA- SAN LUIS OBISPO,85,161,161,161,01-22-2020
85,CA- SAN MATEO CO.,86,1230,1229,1230,01-22-2020
86,CA- SANTA BARBARA,83,249,248,249,01-22-2020
87,CA- SANTA CRUZ,94,364,364,364,01-22-2020
89,CA- SANTA ROSA,84,574,574,575,01-22-2020
91,CA- STOCKTON,88,651,651,651,01-22-2020
96,CA- VENTURA,84,504,504,504,01-22-2020
101,CO- BOULDER,87,238,238,238,01-22-2020
102,CO- COLORADO SPRINGS,85,392,392,392,01-22-2020
103,CO- DENVER,86,2221,2221,2221,01-22-2020
104,CO- FORT COLLINS,84,189,189,189,01-22-2020
105,CO- GRAND JUNCTION,87,376,376,376,01-22-2020
106,CO- GREELEY,83,217,217,217,01-22-2020
107,CO- PUEBLO,81,58,58,58,01-22-2020
110,CT- HARTFORD,86,1493,1493,1494,01-22-2020
111,CT- NEW HAVEN,88,2333,2331,2333,01-22-2020
112,DE- WILMINGTON,84,532,532,532,01-22-2020
113,DC- WASHINGTON,280,76846,76846,76846,01-22-2020
115,FL- BRADENTON,83,161,161,161,01-22-2020
116,FL- CLEARWATER,82,246,246,246,01-22-2020
118,FL- FORT LAUDERDALE,83,2131,2129,2131,01-22-2020
119,FL- FORT MYERS,82,771,766,771,01-22-2020
120,FL- GAINESVILLE,81,224,224,224,01-22-2020
122,FL- HUDSON,82,200,200,200,01-22-2020
123,FL- JACKSONVILLE,81,656,655,656,01-22-2020
124,FL- LAKELAND,82,184,184,184,01-22-2020
