HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Last Update
1,AL- BIRMINGHAM,280,116440,114414,118466,257.6,302.4,01-22-2020
2,AL- DOTHAN,238,11534,11281,11787,218.96,257.04,01-22-2020
5,AL- HUNTSVILLE,280,25075,24624,25526,257.6,302.4,01-22-2020
6,AL- MOBILE,280,39380,38695,40065,257.6,302.4,01-22-2020
7,AL- MONTGOMERY,280,20436,20065,20807,257.6,302.4,01-22-2020
9,AL- TUSCALOOSA,280,13660,13421,13899,257.6,302.4,01-22-2020
11,AZ- MESA,280,27720,27245,28195,257.6,302.4,01-22-2020
12,AZ- PHOENIX,280,106050,104232,107868,257.6,302.4,01-22-2020
14,AZ- SUN CITY,280,11080,10886,11274,257.6,302.4,01-22-2020
15,AZ- TUCSON,280,35025,34420,35630,257.6,302.4,01-22-2020
16,AR- FORT SMITH,198,7960,7778,8142,182.16,213.84,01-22-2020
18,AR- JONESBORO,147,3286,3214,3358,135.24,158.76,01-22-2020
19,AR- LITTLE ROCK,195,41286,40487,42085,179.4,210.6,01-22-2020
21,AR- SPRINGDALE,215,7678,7507,7849,197.8,232.2,01-22-2020
22,AR- TEXARKANA,185,5582,5459,5705,170.2,199.8,01-22-2020
23,CA- ORANGE CO.,280,107114,105278,108950,257.6,302.4,01-22-2020
25,CA- BAKERSFIELD,274,39991,39146,40836,252.07999999999998,295.92,01-22-2020
31,CA- CHICO,280,8960,8807,9113,257.6,302.4,01-22-2020
33,CA- CONTRA COSTA CO.,280,28042,27562,28522,257.6,302.4,01-22-2020
43,CA- FRESNO,280,31962,31415,32509,257.6,302.4,01-22-2020
56,CA- LOS ANGELES,279,347242,341290,353194,256.68,301.32,01-22-2020
58,CA- MODESTO,280,24066,23654,24478,257.6,302.4,01-22-2020
62,CA- NAPA,280,8148,8009,8287,257.6,302.4,01-22-2020
65,CA- ALAMEDA CO.,280,47306,46496,48116,257.6,302.4,01-22-2020
69,CA- PALM SPR/RANCHO MIR.,280,14637,14385,14889,257.6,302.4,01-22-2020
73,CA- REDDING,280,14659,14400,14918,257.6,302.4,01-22-2020
77,CA- SACRAMENTO,280,66976,65828,68124,257.6,302.4,01-22-2020
78,CA- SALINAS,280,11102,10912,11292,257.6,302.4,01-22-2020
79,CA- SAN BERNARDINO,280,80948,79561,82335,257.6,302.4,01-22-2020
80,CA- SAN DIEGO,280,98462,96775,100149,257.6,302.4,01-22-2020
81,CA- SAN FRANCISCO,280,69222,68005,70439,257.6,302.4,01-22-2020
82,CA- SAN JOSE,279,42364,41638,43090,256.68,301.32,01-22-2020
83,CA- SAN LUIS OBISPO,280,6384,6275,6493,257.6,302.4,01-22-2020
85,CA- SAN MATEO CO.,280,36648,36001,37295,257.6,302.4,01-22-2020
86,CA- SANTA BARBARA,280,13524,13293,13755,257.6,302.4,01-22-2020
87,CA- SANTA CRUZ,280,5026,4940,5112,257.6,302.4,01-22-2020
89,CA- SANTA ROSA,280,25890,25444,26336,257.6,302.4,01-22-2020
91,CA- STOCKTON,280,14882,14627,15137,257.6,302.4,01-22-2020
96,CA- VENTURA,279,22022,21645,22399,256.68,301.32,01-22-2020
101,CO- BOULDER,280,6650,6536,6764,257.6,302.4,01-22-2020
102,CO- COLORADO SPRINGS,280,14490,14242,14738,257.6,302.4,01-22-2020
103,CO- DENVER,280,66878,65732,68024,257.6,302.4,01-22-2020
104,CO- FORT COLLINS,280,8946,8793,9099,257.6,302.4,01-22-2020
105,CO- GRAND JUNCTION,280,11080,10890,11270,257.6,302.4,01-22-2020
106,CO- GREELEY,280,10878,10692,11064,257.6,302.4,01-22-2020
107,CO- PUEBLO,215,6393,6263,6523,197.8,232.2,01-22-2020
110,CT- HARTFORD,279,45584,44803,46365,256.68,301.32,01-22-2020
111,CT- NEW HAVEN,280,53920,52996,54844,257.6,302.4,01-22-2020
112,DE- WILMINGTON,280,26068,25622,26514,257.6,302.4,01-22-2020
113,DC- WASHINGTON,280,76846,75529,78163,257.6,302.4,01-22-2020
115,FL- BRADENTON,280,9926,9756,10096,257.6,302.4,01-22-2020
116,FL- CLEARWATER,280,21992,21600,22384,257.6,302.4,01-22-2020
118,FL- FORT LAUDERDALE,280,121786,119699,123873,257.6,302.4,01-22-2020
119,FL- FORT MYERS,280,53564,52646,54482,257.6,302.4,01-22-2020
120,FL- GAINESVILLE,280,23923,23482,24364,257.6,302.4,01-22-2020
122,FL- HUDSON,280,17135,16835,17435,257.6,302.4,01-22-2020
123,FL- JACKSONVILLE,280,66965,65787,68143,257.6,302.4,01-22-2020
124,FL- LAKELAND,280,14952,14696,15208,257.6,302.4,01-22-2020
127,FL- MIAMI,280,150948,148361,153535,257.6,302.4,01-22-2020
129,FL- OCALA,280,19068,18740,19396,257.6,302.4,01-22-2020
130,FL- ORLANDO,280,144016,141530,146502,257.6,302.4,01-22-2020
131,FL- ORMOND BEACH,258,17702,17348,18056,237.36,278.64,01-22-2020
133,FL- PANAMA CITY,226,5276,5160,5392,207.92,244.08,01-22-2020
134,FL- PENSACOLA,280,28792,28229,29355,257.6,302.4,01-22-2020
137,FL- SARASOTA,280,19384,19038,19730,257.6,302.4,01-22-2020
139,FL- ST PETERSBURG,275,18921,18547,19295,253.0,297.0,01-22-2020
140,FL- TALLAHASSEE,280,36056,35409,36703,257.6,302.4,01-22-2020
141,FL- TAMPA,280,59311,58289,60333,257.6,302.4,01-22-2020
142,GA- ALBANY,280,14692,14437,14947,257.6,302.4,01-22-2020
144,GA- ATLANTA,279,167706,164832,170580,256.68,301.32,01-22-2020
145,GA- AUGUSTA,280,31908,31319,32497,257.6,302.4,01-22-2020
146,GA- COLUMBUS,280,17626,17324,17928,257.6,302.4,01-22-2020
147,GA- MACON,280,31304,30768,31840,257.6,302.4,01-22-2020
148,GA- ROME,280,10248,10073,10423,257.6,302.4,01-22-2020
149,GA- SAVANNAH,280,28812,28319,29305,257.6,302.4,01-22-2020
154,IL- AURORA,280,7378,7252,7504,257.6,302.4,01-22-2020
155,IL- BLUE ISLAND,280,35504,34896,36112,257.6,302.4,01-22-2020
156,IL- CHICAGO,280,119840,117786,121894,257.6,302.4,01-22-2020
158,IL- ELGIN,280,15204,14944,15464,257.6,302.4,01-22-2020
161,IL- EVANSTON,280,33824,33245,34403,257.6,302.4,01-22-2020
163,IL- HINSDALE,280,15400,15136,15664,257.6,302.4,01-22-2020
164,IL- JOLIET,280,18564,18246,18882,257.6,302.4,01-22-2020
166,IL- MELROSE PARK,280,43316,42574,44058,257.6,302.4,01-22-2020
170,IL- PEORIA,258,18967,18569,19365,237.36,278.64,01-22-2020
171,IL- ROCKFORD,280,21434,21067,21801,257.6,302.4,01-22-2020
172,IL- SPRINGFIELD,227,20815,20364,21266,208.84,245.16,01-22-2020
173,IL- URBANA,270,10917,10679,11155,248.4,291.6,01-22-2020
175,IL- BLOOMINGTON,280,3738,3674,3802,257.6,302.4,01-22-2020
179,IN- EVANSVILLE,154,8316,8133,8499,141.68,166.32,01-22-2020
180,IN- FORT WAYNE,147,8093,7914,8272,135.24,158.76,01-22-2020
181,IN- GARY,92,1188,1166,1210,84.64,99.36,01-22-2020
183,IN- INDIANAPOLIS,91,4169,4084,4254,83.72,98.28,01-22-2020
184,IN- LAFAYETTE,86,278,272,284,79.12,92.88,01-22-2020
185,IN- MUNCIE,98,436,427,445,90.16,105.84,01-22-2020
186,IN- MUNSTER,131,3965,3895,4035,120.52,141.48,01-22-2020
187,IN- SOUTH BEND,112,2828,2769,2887,103.03999999999999,120.96000000000001,01-22-2020
188,IN- TERRE HAUTE,92,373,365,381,84.64,99.36,01-22-2020
191,IA- DAVENPORT,200,14865,14545,15185,184.0,216.0,01-22-2020
192,IA- DES MOINES,280,40535,39745,41325,257.6,302.4,01-22-2020
193,IA- DUBUQUE,280,6932,6802,7062,257.6,302.4,01-22-2020
194,IA- IOWA CITY,211,16251,15944,16558,194.12,227.88,01-22-2020
195,IA- MASON CITY,171,3714,3634,3794,157.32,184.68,01-22-2020
196,IA- SIOUX CITY,228,9636,9435,9837,209.76,246.24,01-22-2020
197,IA- WATERLOO,280,7462,7309,7615,257.6,302.4,01-22-2020
200,KS- TOPEKA,280,21658,21287,22029,257.6,302.4,01-22-2020
201,KS- WICHITA,280,57625,56437,58813,257.6,302.4,01-22-2020
203,KY- COVINGTON,280,15414,15150,15678,257.6,302.4,01-22-2020
204,KY- LEXINGTON,280,72884,71635,74133,257.6,302.4,01-22-2020
205,KY- LOUISVILLE,280,67424,66269,68579,257.6,302.4,01-22-2020
207,KY- OWENSBORO,280,6608,6495,6721,257.6,302.4,01-22-2020
208,KY- PADUCAH,280,20661,20272,21050,257.6,302.4,01-22-2020
209,LA- ALEXANDRIA,234,8682,8498,8866,215.28,252.72,01-22-2020
210,LA- BATON ROUGE,280,34720,34125,35315,257.6,302.4,01-22-2020
212,LA- HOUMA,280,9814,9646,9982,257.6,302.4,01-22-2020
213,LA- LAFAYETTE,269,23996,23504,24488,247.48,290.52,01-22-2020
214,LA- LAKE CHARLES,243,7829,7660,7998,223.56,262.44,01-22-2020
216,LA- METAIRIE,280,14129,13887,14371,257.6,302.4,01-22-2020
217,LA- MONROE,211,6676,6530,6822,194.12,227.88,01-22-2020
218,LA- NEW ORLEANS,267,28799,28255,29343,245.64,288.36,01-22-2020
219,LA- SHREVEPORT,233,24577,24074,25080,214.36,251.64,01-22-2020
221,ME- BANGOR,185,6506,6368,6644,170.2,199.8,01-22-2020
222,ME- PORTLAND,259,30883,30317,31449,238.28,279.72,01-22-2020
223,MD- BALTIMORE,280,94430,92812,96048,257.6,302.4,01-22-2020
225,MD- SALISBURY,280,13118,12894,13342,257.6,302.4,01-22-2020
226,MD- TAKOMA PARK,280,18018,17710,18326,257.6,302.4,01-22-2020
227,MA- BOSTON,280,153776,151140,156412,257.6,302.4,01-22-2020
230,MA- SPRINGFIELD,280,22414,22030,22798,257.6,302.4,01-22-2020
231,MA- WORCESTER,280,22988,22594,23382,257.6,302.4,01-22-2020
232,MI- ANN ARBOR,280,45696,44913,46479,257.6,302.4,01-22-2020
233,MI- DEARBORN,280,23007,22613,23401,257.6,302.4,01-22-2020
234,MI- DETROIT,280,65215,64097,66333,257.6,302.4,01-22-2020
235,MI- FLINT,280,18564,18246,18882,257.6,302.4,01-22-2020
238,MI- KALAMAZOO,280,17606,17252,17960,257.6,302.4,01-22-2020
239,MI- LANSING,280,21490,21122,21858,257.6,302.4,01-22-2020
240,MI- MARQUETTE,188,2760,2697,2823,172.96,203.04,01-22-2020
242,MI- MUSKEGON,280,6444,6316,6572,257.6,302.4,01-22-2020
243,MI- PETOSKEY,280,4410,4327,4493,257.6,302.4,01-22-2020
244,MI- PONTIAC,280,16572,16288,16856,257.6,302.4,01-22-2020
245,MI- ROYAL OAK,280,36981,36347,37615,257.6,302.4,01-22-2020
246,MI- SAGINAW,252,20668,20235,21101,231.84,272.16,01-22-2020
248,MI- ST JOSEPH,280,4115,4043,4187,257.6,302.4,01-22-2020
249,MI- TRAVERSE CITY,280,5982,5860,6104,257.6,302.4,01-22-2020
250,MN- DULUTH,168,5519,5396,5642,154.56,181.44,01-22-2020
251,MN- MINNEAPOLIS,280,108227,106184,110270,257.6,302.4,01-22-2020
253,MN- ROCHESTER,176,15301,15001,15601,161.92,190.08,01-22-2020
254,MN- ST CLOUD,270,7857,7696,8018,248.4,291.6,01-22-2020
256,MN- ST PAUL,280,31990,31442,32538,257.6,302.4,01-22-2020
257,MS- GULFPORT,280,10822,10637,11007,257.6,302.4,01-22-2020
258,MS- HATTIESBURG,280,16940,16650,17230,257.6,302.4,01-22-2020
