HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound,Last Update
1,AL- BIRMINGHAM,173,42170,42134,42172,01-22-2020
2,AL- DOTHAN,119,2630,2628,2630,01-22-2020
5,AL- HUNTSVILLE,152,6993,6983,6995,01-22-2020
6,AL- MOBILE,164,12404,12394,12404,01-22-2020
7,AL- MONTGOMERY,154,5938,5931,5938,01-22-2020
9,AL- TUSCALOOSA,165,4463,4460,4464,01-22-2020
11,AZ- MESA,280,23126,23103,23127,01-22-2020
12,AZ- PHOENIX,217,55333,55266,55336,01-22-2020
14,AZ- SUN CITY,174,4051,4047,4052,01-22-2020
15,AZ- TUCSON,166,11328,11315,11328,01-22-2020
16,AR- FORT SMITH,103,1468,1468,1468,01-22-2020
18,AR- JONESBORO,95,728,728,728,01-22-2020
19,AR- LITTLE ROCK,128,15199,15186,15201,01-22-2020
21,AR- SPRINGDALE,111,1676,1674,1677,01-22-2020
22,AR- TEXARKANA,104,1214,1214,1214,01-22-2020
23,CA- ORANGE CO.,226,60252,60188,60255,01-22-2020
25,CA- BAKERSFIELD,135,10204,10194,10205,01-22-2020
31,CA- CHICO,173,3042,3038,3042,01-22-2020
33,CA- CONTRA COSTA CO.,280,28042,28042,28042,01-22-2020
43,CA- FRESNO,177,11434,11419,11434,01-22-2020
56,CA- LOS ANGELES,212,176704,176517,176711,01-22-2020
58,CA- MODESTO,280,20845,20823,20847,01-22-2020
62,CA- NAPA,280,6911,6903,6911,01-22-2020
65,CA- ALAMEDA CO.,280,47306,47306,47306,01-22-2020
69,CA- PALM SPR/RANCHO MIR.,179,5563,5558,5563,01-22-2020
73,CA- REDDING,183,6167,6163,6167,01-22-2020
77,CA- SACRAMENTO,280,62036,61984,62037,01-22-2020
78,CA- SALINAS,280,10415,10406,10416,01-22-2020
79,CA- SAN BERNARDINO,250,52201,52142,52204,01-22-2020
80,CA- SAN DIEGO,278,75648,75574,75654,01-22-2020
81,CA- SAN FRANCISCO,263,55265,55226,55267,01-22-2020
82,CA- SAN JOSE,279,42364,42364,42364,01-22-2020
83,CA- SAN LUIS OBISPO,280,5058,5054,5058,01-22-2020
85,CA- SAN MATEO CO.,280,33931,33906,33931,01-22-2020
86,CA- SANTA BARBARA,224,7412,7405,7412,01-22-2020
87,CA- SANTA CRUZ,280,5026,5026,5026,01-22-2020
89,CA- SANTA ROSA,233,16335,16322,16335,01-22-2020
91,CA- STOCKTON,280,14774,14767,14775,01-22-2020
96,CA- VENTURA,260,15179,15165,15179,01-22-2020
101,CO- BOULDER,280,6409,6407,6410,01-22-2020
102,CO- COLORADO SPRINGS,280,12956,12943,12956,01-22-2020
103,CO- DENVER,280,63172,63132,63175,01-22-2020
104,CO- FORT COLLINS,256,6130,6125,6132,01-22-2020
105,CO- GRAND JUNCTION,272,9212,9210,9212,01-22-2020
106,CO- GREELEY,259,7642,7636,7643,01-22-2020
107,CO- PUEBLO,124,1815,1813,1815,01-22-2020
110,CT- HARTFORD,279,38672,38649,38674,01-22-2020
111,CT- NEW HAVEN,280,53239,53212,53239,01-22-2020
