HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound,Last Update
1,AL- BIRMINGHAM,81,854,811,896,05-23-2020
2,AL- DOTHAN,92,854,811,896,05-23-2020
5,AL- HUNTSVILLE,88,714,678,749,05-23-2020
6,AL- MOBILE,85,798,758,837,05-23-2020
7,AL- MONTGOMERY,90,896,851,940,05-23-2020
9,AL- TUSCALOOSA,96,784,744,823,05-23-2020
11,AZ- MESA,88,952,904,999,05-23-2020
12,AZ- PHOENIX,82,882,837,926,05-23-2020
14,AZ- SUN CITY,100,924,877,970,05-23-2020
15,AZ- TUCSON,86,896,851,940,05-23-2020
16,AR- FORT SMITH,92,798,758,837,05-23-2020
18,AR- JONESBORO,98,938,891,984,05-23-2020
19,AR- LITTLE ROCK,82,812,771,852,05-23-2020
21,AR- SPRINGDALE,93,798,758,837,05-23-2020
22,AR- TEXARKANA,97,868,824,911,05-23-2020
23,CA- ORANGE CO.,82,980,931,1029,05-23-2020
25,CA- BAKERSFIELD,84,826,784,867,05-23-2020
31,CA- CHICO,104,714,678,749,05-23-2020
33,CA- CONTRA COSTA CO.,87,812,771,852,05-23-2020
43,CA- FRESNO,87,882,837,926,05-23-2020
56,CA- LOS ANGELES,80,784,744,823,05-23-2020
58,CA- MODESTO,88,784,744,823,05-23-2020
62,CA- NAPA,108,868,824,911,05-23-2020
65,CA- ALAMEDA CO.,84,854,811,896,05-23-2020
69,CA- PALM SPR/RANCHO MIR.,94,784,744,823,05-23-2020
73,CA- REDDING,94,672,638,705,05-23-2020
77,CA- SACRAMENTO,83,812,771,852,05-23-2020
78,CA- SALINAS,101,756,718,793,05-23-2020
79,CA- SAN BERNARDINO,81,616,585,646,05-23-2020
80,CA- SAN DIEGO,81,700,665,735,05-23-2020
81,CA- SAN FRANCISCO,83,994,944,1043,05-23-2020
82,CA- SAN JOSE,85,882,837,926,05-23-2020
83,CA- SAN LUIS OBISPO,113,812,771,852,05-23-2020
85,CA- SAN MATEO CO.,86,882,837,926,05-23-2020
86,CA- SANTA BARBARA,97,868,824,911,05-23-2020
87,CA- SANTA CRUZ,122,896,851,940,05-23-2020
89,CA- SANTA ROSA,89,980,931,1029,05-23-2020
91,CA- STOCKTON,93,700,665,735,05-23-2020
96,CA- VENTURA,90,826,784,867,05-23-2020
101,CO- BOULDER,112,742,704,779,05-23-2020
102,CO- COLORADO SPRINGS,94,728,691,764,05-23-2020
103,CO- DENVER,83,966,917,1014,05-23-2020
104,CO- FORT COLLINS,104,756,718,793,05-23-2020
105,CO- GRAND JUNCTION,101,826,784,867,05-23-2020
106,CO- GREELEY,99,882,837,926,05-23-2020
107,CO- PUEBLO,101,826,784,867,05-23-2020
109,CT- BRIDGEPORT,89,980,931,1029,05-23-2020
110,CT- HARTFORD,84,840,798,882,05-23-2020
111,CT- NEW HAVEN,83,742,704,779,05-23-2020
112,DE- WILMINGTON,89,840,798,882,05-23-2020
113,DC- WASHINGTON,83,980,931,1029,05-23-2020
115,FL- BRADENTON,103,854,811,896,05-23-2020
116,FL- CLEARWATER,86,700,665,735,05-23-2020
118,FL- FORT LAUDERDALE,81,952,904,999,05-23-2020
119,FL- FORT MYERS,84,896,851,940,05-23-2020
120,FL- GAINESVILLE,88,910,864,955,05-23-2020
122,FL- HUDSON,93,924,877,970,05-23-2020
123,FL- JACKSONVILLE,83,840,798,882,05-23-2020
124,FL- LAKELAND,94,882,837,926,05-23-2020
127,FL- MIAMI,81,714,678,749,05-23-2020
129,FL- OCALA,91,770,731,808,05-23-2020
130,FL- ORLANDO,81,812,771,852,05-23-2020
131,FL- ORMOND BEACH,88,742,704,779,05-23-2020
133,FL- PANAMA CITY,105,826,784,867,05-23-2020
134,FL- PENSACOLA,86,868,824,911,05-23-2020
137,FL- SARASOTA,90,826,784,867,05-23-2020
