HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Hospitalizations (Range),Projected Demand (Range),Last Update
1,AL- BIRMINGHAM,81.7,140,126,184,80.43,85.03,140 [126 - 184],81.7% [80.43% - 85.03%],05-12-2020
2,AL- DOTHAN,80.0,0,0,1,80.0,80.53,0 [0 - 1],80.0% [80.0% - 80.53%],05-12-2020
5,AL- HUNTSVILLE,81.1,14,14,23,80.37,83.62,14 [14 - 23],81.1% [80.37% - 83.62%],05-12-2020
6,AL- MOBILE,81.66,42,39,52,80.7,83.75,42 [39 - 52],81.66% [80.7% - 83.75%],05-12-2020
7,AL- MONTGOMERY,80.97,14,13,20,80.39,83.56,14 [13 - 20],80.97% [80.39% - 83.56%],05-12-2020
9,AL- TUSCALOOSA,81.46,14,14,18,80.7,84.11,14 [14 - 18],81.46% [80.7% - 84.11%],05-12-2020
11,AZ- MESA,87.27,140,127,168,82.98,95.91,140 [127 - 168],87.27% [82.98% - 95.91%],05-12-2020
12,AZ- PHOENIX,84.64,348,316,419,81.87,90.24,348 [316 - 419],84.64% [81.87% - 90.24%],05-12-2020
14,AZ- SUN CITY,83.02,21,20,26,81.23,86.54,21 [20 - 26],83.02% [81.23% - 86.54%],05-12-2020
15,AZ- TUCSON,83.57,87,79,106,81.11,88.12,87 [79 - 106],83.57% [81.11% - 88.12%],05-12-2020
16,AR- FORT SMITH,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
18,AR- JONESBORO,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
19,AR- LITTLE ROCK,80.39,19,16,30,80.1,81.56,19 [16 - 30],80.39% [80.1% - 81.56%],05-12-2020
21,AR- SPRINGDALE,80.0,0,0,1,80.0,81.14,0 [0 - 1],80.0% [80.0% - 81.14%],05-12-2020
22,AR- TEXARKANA,80.0,0,0,0,80.0,80.61,0 [0 - 0],80.0% [80.0% - 80.61%],05-12-2020
23,CA- ORANGE CO.,82.94,224,203,285,81.03,88.01,224 [203 - 285],82.94% [81.03% - 88.01%],05-12-2020
25,CA- BAKERSFIELD,81.03,32,29,43,80.3,82.93,32 [29 - 43],81.03% [80.3% - 82.93%],05-12-2020
31,CA- CHICO,80.92,0,0,4,80.0,84.53,0 [0 - 4],80.92% [80.0% - 84.53%],05-12-2020
33,CA- CONTRA COSTA CO.,88.59,168,152,211,83.1,102.87,168 [152 - 211],88.59% [83.1% - 102.87%],05-12-2020
43,CA- FRESNO,81.91,42,38,54,80.53,85.34,42 [38 - 54],81.91% [80.53% - 85.34%],05-12-2020
56,CA- LOS ANGELES,82.63,652,590,832,80.94,87.29,652 [590 - 832],82.63% [80.94% - 87.29%],05-12-2020
58,CA- MODESTO,84.27,70,64,93,81.51,92.45,70 [64 - 93],84.27% [81.51% - 92.45%],05-12-2020
