HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Hospitalizations (Range),Projected Demand (Range),Last Update
1,AL- BIRMINGHAM,85.32,238,208,299,81.01,94.04,238 [208 - 299],85.32% [81.01% - 94.04%],05-12-2020
2,AL- DOTHAN,80.89,7,6,13,80.0,85.42,7 [6 - 13],80.89% [80.0% - 85.42%],05-12-2020
5,AL- HUNTSVILLE,84.87,50,44,59,80.8,91.28,50 [44 - 59],84.87% [80.8% - 91.28%],05-12-2020
6,AL- MOBILE,84.07,55,50,73,81.72,91.34,55 [50 - 73],84.07% [81.72% - 91.34%],05-12-2020
7,AL- MONTGOMERY,84.01,31,28,40,80.97,90.48,31 [28 - 40],84.01% [80.97% - 90.48%],05-12-2020
9,AL- TUSCALOOSA,83.64,21,20,28,81.4,92.12,21 [20 - 28],83.64% [81.4% - 92.12%],05-12-2020
11,AZ- MESA,100.41,218,199,276,89.19,134.14,218 [199 - 276],100.41% [89.19% - 134.14%],05-12-2020
12,AZ- PHOENIX,92.92,531,486,673,85.83,114.53,531 [486 - 673],92.92% [85.83% - 114.53%],05-12-2020
14,AZ- SUN CITY,88.54,34,32,44,83.83,102.72,34 [32 - 44],88.54% [83.83% - 102.72%],05-12-2020
15,AZ- TUCSON,90.32,140,127,185,84.0,110.27,140 [127 - 185],90.32% [84.0% - 110.27%],05-12-2020
16,AR- FORT SMITH,80.0,0,0,1,80.0,81.09,0 [0 - 1],80.0% [80.0% - 81.09%],05-12-2020
18,AR- JONESBORO,80.0,0,0,0,80.0,81.33,0 [0 - 0],80.0% [80.0% - 81.33%],05-12-2020
19,AR- LITTLE ROCK,82.12,56,49,73,80.21,85.91,56 [49 - 73],82.12% [80.21% - 85.91%],05-12-2020
21,AR- SPRINGDALE,82.31,7,6,9,80.0,83.6,7 [6 - 9],82.31% [80.0% - 83.6%],05-12-2020
