HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Hospitalizations (Range),Projected Demand (Range),Last Update
1,AL- BIRMINGHAM,83.52,147,132,181,81.01,87.8,147 [132 - 181],83.52% [81.01% - 87.8%],05-12-2020
2,AL- DOTHAN,80.0,0,0,2,80.0,80.75,0 [0 - 2],80.0% [80.0% - 80.75%],05-12-2020
5,AL- HUNTSVILLE,81.83,14,14,20,80.8,85.37,14 [14 - 20],81.83% [80.8% - 85.37%],05-12-2020
6,AL- MOBILE,83.01,42,39,49,81.4,85.53,42 [39 - 49],83.01% [81.4% - 85.53%],05-12-2020
7,AL- MONTGOMERY,81.94,14,14,18,80.97,85.37,14 [14 - 18],81.94% [80.97% - 85.37%],05-12-2020
9,AL- TUSCALOOSA,82.91,14,14,17,81.4,85.81,14 [14 - 17],82.91% [81.4% - 85.81%],05-12-2020
11,AZ- MESA,90.2,106,98,126,85.56,100.66,106 [98 - 126],90.2% [85.56% - 100.66%],05-12-2020
12,AZ- PHOENIX,86.65,269,249,321,83.55,93.36,269 [249 - 321],86.65% [83.55% - 93.36%],05-12-2020
14,AZ- SUN CITY,84.22,14,14,18,82.22,88.52,14 [14 - 18],84.22% [82.22% - 88.52%],05-12-2020
15,AZ- TUCSON,85.05,68,62,81,82.22,90.26,68 [62 - 81],85.05% [82.22% - 90.26%],05-12-2020
16,AR- FORT SMITH,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
18,AR- JONESBORO,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-12-2020
19,AR- LITTLE ROCK,81.59,43,37,50,80.21,83.34,43 [37 - 50],81.59% [80.21% - 83.34%],05-12-2020
21,AR- SPRINGDALE,80.0,0,0,1,80.0,82.27,0 [0 - 1],80.0% [80.0% - 82.27%],05-12-2020
22,AR- TEXARKANA,80.0,0,0,0,80.0,80.2,0 [0 - 0],80.0% [80.0% - 80.2%],05-12-2020
23,CA- ORANGE CO.,85.9,227,207,276,82.61,92.9,227 [207 - 276],85.9% [82.61% - 92.9%],05-12-2020
25,CA- BAKERSFIELD,82.16,35,32,43,80.86,84.45,35 [32 - 43],82.16% [80.86% - 84.45%],05-12-2020
31,CA- CHICO,81.84,0,0,3,80.94,86.72,0 [0 - 3],81.84% [80.94% - 86.72%],05-12-2020
33,CA- CONTRA COSTA CO.,98.86,182,166,219,88.29,120.14,182 [166 - 219],98.86% [88.29% - 120.14%],05-12-2020
43,CA- FRESNO,83.84,42,38,52,81.1,88.1,42 [38 - 52],83.84% [81.1% - 88.1%],05-12-2020
56,CA- LOS ANGELES,85.42,673,614,818,82.39,91.82,673 [614 - 818],85.42% [82.39% - 91.82%],05-12-2020
58,CA- MODESTO,88.58,70,64,88,83.32,99.49,70 [64 - 88],88.58% [83.32% - 99.49%],05-12-2020
62,CA- NAPA,90.24,28,25,33,82.75,101.82,28 [25 - 33],90.24% [82.75% - 101.82%],05-12-2020
65,CA- ALAMEDA CO.,96.97,278,255,334,87.46,116.05,278 [255 - 334],96.97% [87.46% - 116.05%],05-12-2020
69,CA- PALM SPR/RANCHO MIR.,83.86,19,18,23,81.61,88.45,19 [18 - 23],83.86% [81.61% - 88.45%],05-12-2020
73,CA- REDDING,85.18,23,20,29,81.57,91.46,23 [20 - 29],85.18% [81.57% - 91.46%],05-12-2020
77,CA- SACRAMENTO,92.34,294,268,354,85.16,106.36,294 [268 - 354],92.34% [85.16% - 106.36%],05-12-2020
78,CA- SALINAS,90.48,35,33,45,84.41,102.82,35 [33 - 45],90.48% [84.41% - 102.82%],05-12-2020
79,CA- SAN BERNARDINO,86.51,187,172,230,82.87,94.37,187 [172 - 230],86.51% [82.87% - 94.37%],05-12-2020
80,CA- SAN DIEGO,89.57,336,306,407,84.07,100.69,336 [306 - 407],89.57% [84.07% - 100.69%],05-12-2020
81,CA- SAN FRANCISCO,90.12,248,227,297,84.47,101.39,248 [227 - 297],90.12% [84.47% - 101.39%],05-12-2020
82,CA- SAN JOSE,102.67,330,303,394,90.18,127.26,330 [303 - 394],102.67% [90.18% - 127.26%],05-12-2020
83,CA- SAN LUIS OBISPO,90.16,21,19,26,84.39,101.49,21 [19 - 26],90.16% [84.39% - 101.49%],05-12-2020
85,CA- SAN MATEO CO.,92.18,154,141,185,85.38,105.48,154 [141 - 185],92.18% [85.38% - 105.48%],05-12-2020
86,CA- SANTA BARBARA,86.79,28,26,35,82.69,93.87,28 [26 - 35],86.79% [82.69% - 93.87%],05-12-2020
87,CA- SANTA CRUZ,101.66,35,32,44,90.03,129.3,35 [32 - 44],101.66% [90.03% - 129.3%],05-12-2020
89,CA- SANTA ROSA,87.38,63,58,78,83.22,96.23,63 [58 - 78],87.38% [83.22% - 96.23%],05-12-2020
91,CA- STOCKTON,94.4,70,64,86,85.74,110.2,70 [64 - 86],94.4% [85.74% - 110.2%],05-12-2020
96,CA- VENTURA,87.45,56,52,69,83.24,96.21,56 [52 - 69],87.45% [83.24% - 96.21%],05-12-2020
101,CO- BOULDER,94.63,36,33,43,86.95,109.05,36 [33 - 43],94.63% [86.95% - 109.05%],05-12-2020
102,CO- COLORADO SPRINGS,90.98,64,57,75,85.02,103.09,64 [57 - 75],90.98% [85.02% - 103.09%],05-12-2020
103,CO- DENVER,94.07,374,341,438,86.95,107.97,374 [341 - 438],94.07% [86.95% - 107.97%],05-12-2020
104,CO- FORT COLLINS,87.7,25,24,30,84.07,95.49,25 [24 - 30],87.7% [84.07% - 95.49%],05-12-2020
105,CO- GRAND JUNCTION,94.0,55,51,64,86.57,106.26,55 [51 - 64],94.0% [86.57% - 106.26%],05-12-2020
106,CO- GREELEY,88.54,34,31,41,84.12,97.5,34 [31 - 41],88.54% [84.12% - 97.5%],05-12-2020
